연도/시기,부문(섹터),애널리스트 이름,소속 증권사,평가 등급,핵심 투자 관점 및 시그니처 분석
2025 하반기,2차전지 & 화학/정유,김현수,하나증권,2025년 상반기 1위,양극재 수출 단가 및 마진 데이터 현미경 트래킹에 독보적이며  과열 국면에서 냉철한 옥석 가리기로 업계에서 가장 신뢰받는 2차전지 애널리스트.
2025 하반기,2차전지 & 화학/정유,윤재성,하나증권,2025년 하반기 정유/화학 부문 1위,전통 정유/화학 및 친환경 배터리 소재 소재화 전환 분석이 전문이며 중장기 에너지 원자재 가격 추정 모델링 강자.
2025 하반기,유틸리티 & 에너지인프라,문경원,메리츠증권,2025년 하반기 유틸리티 부문 1위,미국 AI 데이터센터발 전력기기 인프라 슈퍼사이클을 선제 발굴했으며  한국전력 정상화 시나리오의 국내 최고 권위자.
2025 하반기,중공업 & 방산/우주항공,최광식,다올투자증권,2025년 하반기 조선/중공업 및 방산/기계 부문 2관왕 1위,글로벌 상선 및 K-방산 수주 데이터를 데이터베이스화하여 정밀 계량화된 인도 스케줄 및 마진 추정법 제시.
2025 하반기,중공업 & 방산/우주항공,이동헌,신한투자증권,2025년 상반기 방산·우주·기계 부문 초대 1위,유럽 및 중동 수출 계약과 우주항공청 연계 위성 비즈니스 모델 발굴에 선도적이며 대형 기계 장비 밸류에이션 전문가.
2025 하반기,반도체 & 전기전자/IT,김선우,메리츠증권,2025년 하반기 반도체 부문 1위,HBM(고대역폭 메모리) 독점 구조 변동 예측 및 글로벌 빅테크 서버 수요 동향에 정통하며  2026 반도체 초호황 사이클 적중.
2025 하반기,반도체 & 전기전자/IT,김동원,KB증권,2025년 상반기 반도체·스마트폰 부문 1위 (2관왕),삼성/하이닉스 메모리 공급 조절 타이밍과 글로벌 스마트폰 IT 패널(OLED) 공급망 재편 추적력 독보적.
2025 하반기,반도체 & 전기전자/IT,양승수,메리츠증권,2025년 하반기 전기전자·스마트폰 부문 1위,온디바이스 AI 폰 및 HBM 기판 등 핵심 후공정 IT 기기 벤더 공급 단가 및 출하량 추적 분야 최고 평점.
2025 하반기,소비재, 엔터·레저 & 바이오,박상준,키움증권,2025년 하반기 음식료·담배 부문 1위,매달 관세청 품목별 수출 데이터를 추출/파싱하는 현미경 실적 트래킹 강자이며 K-푸드 랠리 선도 분석가.
2025 하반기,소비재, 엔터·레저 & 바이오,임수진,키움증권,2025년 하반기 주니어 베스트 애널리스트 톱10,하이브  YG 등 대형 기획사 아티스트 팬덤 유입 데이터와 마카오/인천 카지노 월별 드랍액 데이터 추적 최고 전문가.
2025 하반기,소비재, 엔터·레저 & 바이오,지인해,신한투자증권,2025년 하반기 엔터·레저·미디어 부문 1위,글로벌 미디어 플랫폼 및 웹툰  글로벌 콘텐츠 IP 판권 밸류에이션 분석이 정교하며 업계 최장수 베스트 애널리스트.
2025 하반기,소비재, 엔터·레저 & 바이오,엄민용,신한투자증권,2025년 하반기 제약·바이오·의료기기 부문 1위,K-바이오 임상 성공 가능성과 글로벌 기술 수출(L/O) 계약 가치를 파이프라인별 현가 계산 모델링으로 정교하게 산출.
