ticker,period,balance,balance_ratio,listed_shares
000080,2025-04-01,177716,0.25,70133611
000080,2025-05-01,225278,0.32,70133611
000080,2025-06-01,328525,0.47,70133611
000080,2025-07-01,414802,0.59,70133611
000080,2025-08-01,1164810,1.66,70133611
000080,2025-09-01,1638253,2.34,70133611
000080,2025-10-01,1740432,2.48,70133611
000080,2025-11-01,1910515,2.72,70133611
000080,2025-12-01,1986336,2.83,70133611
000080,2026-01-01,2336281,3.33,70133611
000080,2026-02-01,2562268,3.65,70133611
000080,2026-03-01,2415130,3.44,70133611
000080,2026-04-01,2415360,3.44,70133611
000080,2026-05-01,2476710,3.53,70133611
000080,2026-06-01,2362900,3.37,70133611
000100,2025-04-01,389789,0.49,80209064
000100,2025-05-01,358522,0.45,80209064
000100,2025-06-01,460612,0.58,79968437
000100,2025-07-01,565361,0.71,79968437
000100,2025-08-01,825803,1.03,79968437
000100,2025-09-01,1271355,1.59,79968437
000100,2025-10-01,1159549,1.45,79968437
000100,2025-11-01,863517,1.08,79968437
000100,2025-12-01,934295,1.17,79968437
000100,2026-01-01,1006700,1.26,79968437
000100,2026-02-01,391291,0.49,79647601
000100,2026-03-01,212517,0.27,79647601
000100,2026-04-01,550696,0.69,79647601
000100,2026-05-01,1266072,1.59,79647601
000100,2026-06-01,1569505,1.97,79647601
000120,2025-04-01,7500,0.03,22812344
000120,2025-05-01,0,0.0,22812344
000120,2025-06-01,0,0.0,22812344
000120,2025-07-01,4546,0.02,22812344
000120,2025-08-01,4546,0.02,22812344
000120,2025-09-01,13992,0.06,22812344
000120,2025-10-01,35125,0.15,22812344
000120,2025-11-01,3009,0.01,22812344
000120,2025-12-01,2998,0.01,22812344
000120,2026-01-01,7635,0.03,22812344
000120,2026-02-01,50093,0.22,22812344
000120,2026-03-01,16856,0.07,22812344
000120,2026-04-01,49073,0.22,22812344
000120,2026-05-01,42278,0.19,22812344
000120,2026-06-01,30566,0.13,22812344
000150,2025-04-01,51536,0.31,16523835
000150,2025-05-01,19391,0.12,16523835
000150,2025-06-01,20876,0.13,16523835
000150,2025-07-01,2512,0.02,16523835
000150,2025-08-01,27222,0.16,16523835
000150,2025-09-01,10026,0.06,16523835
000150,2025-10-01,18238,0.11,16523835
000150,2025-11-01,39222,0.24,16193835
000150,2025-12-01,45687,0.28,16193835
000150,2026-01-01,10753,0.07,16193835
000150,2026-02-01,30356,0.19,16193835
000150,2026-03-01,26161,0.16,16193835
000150,2026-04-01,12182,0.08,16193835
000150,2026-05-01,17033,0.11,16193835
000150,2026-06-01,27977,0.17,16193835
000155,2025-04-01,1625,0.04,3996462
000155,2025-05-01,0,0.0,3996462
000155,2025-06-01,6633,0.17,3996462
000155,2025-07-01,14375,0.36,3996462
000155,2025-08-01,0,0.0,3996462
000155,2025-09-01,26985,0.68,3996462
000155,2025-10-01,13845,0.35,3996462
000155,2025-11-01,28649,0.72,3996462
000155,2025-12-01,39935,1.0,3996462
000155,2026-01-01,40730,1.02,3996462
000155,2026-02-01,3704,0.09,3996462
000155,2026-03-01,4987,0.12,3996462
000155,2026-04-01,1081,0.03,3996462
000155,2026-05-01,0,0.0,3996462
000155,2026-06-01,0,0.0,3996462
000210,2025-04-01,27501,0.13,20955884
000210,2025-05-01,34645,0.17,20955884
000210,2025-06-01,51470,0.25,20955884
000210,2025-07-01,132811,0.63,20955884
000210,2025-08-01,20894,0.1,20955884
000210,2025-09-01,8783,0.04,20955884
000210,2025-10-01,47044,0.22,20955884
000210,2025-11-01,16323,0.08,20955884
000210,2025-12-01,37687,0.18,20955884
000210,2026-01-01,20111,0.1,20955884
