Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1995-05-02,906.04,1,9.04,0.0101,896.16,906.86,896.16,29127080,438377000000,
1995-05-03,920.73,1,14.69,0.0162,906.02,929.83,906.02,32060260,633936000000,
1995-05-04,922.05,1,1.32,0.0014,920.66,929.08,920.66,28524250,519499000000,
1995-05-06,918.46,2,-3.59,-0.0039,921.57,927.36,918.45,16102620,317819000000,
1995-05-08,910.39,2,-8.07,-0.0088,917.84,917.84,909.47,20899020,361304000000,
1995-05-09,903.01,2,-7.38,-0.0081,910.2,914.52,901.86,21157120,364657000000,
1995-05-10,891.87,2,-11.14,-0.0123,903.18,904.6,891.77,15925170,285046000000,
1995-05-11,884.79,2,-7.08,-0.0079,891.15,893.17,884.13,18953750,316046000000,
1995-05-12,886.11,1,1.32,0.0015,884.33,889.11,878.49,19513790,305093000000,
1995-05-13,890.11,1,4.0,0.0045,886.74,896.3,886.74,21292380,307711000000,
1995-05-15,887.11,2,-3.0,-0.0034,890.23,894.48,887.09,24671830,350949000000,
1995-05-16,885.33,2,-1.78,-0.002,887.49,891.05,884.8,18832910,284954000000,
1995-05-17,886.2,1,0.87,0.001,885.04,892.91,884.53,20734290,316817000000,
1995-05-18,880.4,2,-5.8,-0.0065,885.41,888.4,879.57,17311830,270795000000,
1995-05-19,876.01,2,-4.39,-0.005,881.03,883.88,875.02,16372600,252834000000,
1995-05-20,875.68,2,-0.33,-0.0004,876.32,876.32,869.63,9714210,146977000000,
1995-05-22,864.13,2,-11.55,-0.0132,875.0,875.0,863.64,11841760,179966000000,
1995-05-23,856.89,2,-7.24,-0.0084,862.83,865.12,856.89,16552030,247201000000,
1995-05-24,848.63,2,-8.26,-0.0096,857.12,859.25,847.26,15894070,249356000000,
1995-05-25,862.18,1,13.55,0.016,848.17,862.18,839.81,19776030,293781000000,
1995-05-26,850.76,2,-11.42,-0.0132,861.54,861.54,850.28,17438250,259134000000,
1995-05-27,847.09,2,-3.67,-0.0043,850.74,850.74,843.7,9333930,143738000000,
1995-05-29,887.5,1,40.41,0.0476999999999999,850.36,888.28,850.36,30181400,447766000000,
1995-05-30,881.8,2,-5.7,-0.0064,881.44,881.8,877.77,2405310,31326000000,
1995-05-31,882.5,1,0.7,0.0008,881.44,883.9,877.77,25589450,387972000000,
1995-06-01,891.43,1,8.93,0.0101,882.57,891.8,882.57,25558390,402441000000,
1995-06-02,894.24,1,2.81,0.0032,891.45,902.93,891.45,22859600,384326000000,
1995-06-03,890.08,2,-4.16,-0.0046999999999999,894.14,894.14,887.74,15024320,237715000000,
1995-06-05,899.04,1,8.96,0.0101,889.31,899.13,888.53,21867920,398583000000,
1995-06-07,899.36,1,0.32,0.0004,898.98,904.94,897.83,20695460,384930000000,
1995-06-08,890.68,2,-8.68,-0.0097,899.61,903.62,890.61,19349790,375687000000,
1995-06-09,886.83,2,-3.85,-0.0043,889.92,890.79,885.15,19130620,345655000000,
1995-06-10,886.31,2,-0.52,-0.0006,887.19,891.71,886.17,11963450,214373000000,
1995-06-12,884.4,2,-1.91,-0.0022,884.6,887.84,883.98,15940340,270387000000,
1995-06-13,887.32,1,2.92,0.0033,887.08,892.57,887.08,17932900,309421000000,
1995-06-14,886.56,2,-0.76,-0.0009,887.99,890.23,884.72,19556550,337332000000,
1995-06-15,880.91,2,-5.65,-0.0064,885.83,886.56,880.9,20310850,331306000000,
1995-06-16,879.24,2,-1.67,-0.0019,880.8,882.31,877.61,18816380,310876000000,
1995-06-17,880.67,1,1.43,0.0016,879.28,882.79,879.28,14825130,249004000000,
1995-06-19,886.31,1,5.64,0.0064,880.87,886.31,879.92,20992310,359700000000,
1995-06-20,884.35,2,-1.96,-0.0022,885.79,888.81,883.16,20841720,357657000000,
1995-06-21,878.82,2,-5.53,-0.0063,883.49,883.69,878.59,19343930,325300000000,
1995-06-22,871.18,2,-7.64,-0.0087,877.65,879.32,869.34,18384010,320037000000,
1995-06-23,871.96,1,0.78,0.0009,871.14,873.14,866.13,17978810,319818000000,
1995-06-24,872.46,1,0.5,0.0006,872.0,874.9,869.07,13813190,249082000000,
1995-06-26,868.77,2,-3.69,-0.0042,871.99,873.09,867.91,21520050,402438000000,
1995-06-28,872.68,1,3.91,0.0045,866.64,887.11,859.11,19138550,384285000000,
1995-06-29,883.9,1,11.22,0.0129,872.9,883.92,872.9,18661870,329491000000,
1995-06-30,894.41,1,10.51,0.0118999999999999,880.64,894.45,879.04,25262500,448383000000,
1995-07-01,909.59,1,15.18,0.017,894.94,910.25,894.94,31099870,703503000000,
1995-07-03,914.1,1,4.51,0.005,909.64,914.12,907.05,37023240,735928000000,
1995-07-04,907.68,2,-6.42,-0.0069999999999999,914.14,914.14,904.93,35246560,584488000000,
1995-07-05,904.98,2,-2.7,-0.003,907.66,911.9,904.78,37322850,635258000000,
1995-07-06,914.95,1,9.97,0.011,905.51,915.03,904.56,48264000,808628000000,
1995-07-07,942.39,1,27.44,0.03,915.23,942.39,915.23,55076370,962937000000,
1995-07-08,946.98,1,4.59,0.0049,942.8,953.19,942.8,41506750,712424000000,
1995-07-10,961.84,1,14.86,0.0157,946.99,966.76,946.91,63389250,1056532000000,
1995-07-11,959.99,2,-1.85,-0.0019,962.02,978.99,956.58,66187490,1134592000000,
1995-07-12,962.22,1,2.23,0.0023,960.35,967.69,953.92,48433870,830489000000,
1995-07-13,977.29,1,15.07,0.0157,962.32,984.18,962.32,70797980,1206653000000,
1995-07-14,972.02,2,-5.27,-0.0054,977.42,986.67,968.77,85171250,1189912000000,
1995-07-15,966.48,2,-5.54,-0.0056999999999999,972.03,972.54,966.44,44658210,658415000000,
1995-07-18,961.01,2,-5.47,-0.0056999999999999,966.53,975.47,961.01,62423430,933632000000,
1995-07-19,950.11,2,-10.9,-0.0113,961.11,961.25,948.37,51297660,806463000000,
1995-07-20,961.41,1,11.3,0.0118999999999999,950.63,961.42,949.92,53559140,880932000000,
1995-07-21,964.56,1,3.15,0.0033,961.65,970.56,958.74,60236660,1018910000000,
1995-07-22,963.25,2,-1.31,-0.0014,964.38,968.37,959.31,30205870,562138000000,
1995-07-24,965.36,1,2.11,0.0022,962.94,968.89,962.91,48280030,853019000000,
1995-07-25,953.53,2,-11.83,-0.0123,964.72,966.77,953.27,39705690,718808000000,
1995-07-26,945.99,2,-7.54,-0.0079,953.43,957.44,944.32,36659240,638193000000,
