,Open,High,Low,Close,Volume,Adj Close
2009-12-31,1035.0,1052.25,1032.75,1039.75,29084.0,1039.75
2010-01-04,1043.0,1065.5,1041.25,1049.5,25947.0,1049.5
2010-01-05,1047.0,1056.0,1042.0,1052.25,21073.0,1052.25
2010-01-06,1050.0,1058.5,1042.75,1050.5,17567.0,1050.5
2010-01-07,1050.5,1052.0,1016.5,1017.75,11750.0,1017.75
2010-01-08,1018.25,1018.25,1005.0,1013.0,11750.0,1013.0
2010-01-11,1014.0,1022.0,997.5,1001.75,11750.0,1001.75
2010-01-12,999.5,1001.25,962.0,969.5,11750.0,969.5
2010-01-13,965.5,983.75,964.0,983.5,1939.0,983.5
2010-01-14,983.75,984.25,967.5,968.5,80001.0,968.5
2010-01-15,983.5,988.75,971.75,974.0,76864.0,974.0
2010-01-19,974.0,984.0,962.75,963.5,77967.0,963.5
2010-01-20,963.75,971.0,940.75,950.0,91082.0,950.0
2010-01-21,950.0,959.5,948.5,954.0,63882.0,954.0
2010-01-22,956.0,957.0,945.5,951.5,54161.0,951.5
2010-01-25,955.0,956.0,935.25,940.5,72563.0,940.5
2010-01-26,941.0,949.5,932.5,947.5,81769.0,947.5
2010-01-27,945.75,946.5,928.5,929.0,73154.0,929.0
2010-01-28,931.25,937.5,921.0,931.75,82360.0,931.75
2010-01-29,931.5,936.75,913.75,914.0,85062.0,914.0
2010-02-01,915.25,924.75,908.25,909.75,84217.0,909.75
2010-02-02,911.25,930.0,905.25,925.5,91665.0,925.5
2010-02-03,926.5,934.0,908.0,908.0,81861.0,908.0
2010-02-04,911.25,916.0,900.0,914.0,92907.0,914.0
2010-02-05,914.0,921.5,909.0,913.5,104735.0,913.5
2010-02-08,919.75,939.75,918.75,929.5,95026.0,929.5
2010-02-09,929.5,944.0,920.0,924.5,120623.0,924.5
2010-02-10,924.0,939.75,918.75,937.5,116039.0,937.5
2010-02-11,938.0,950.5,936.0,943.0,108012.0,943.0
2010-02-12,942.0,946.5,926.0,945.0,80635.0,945.0
2010-02-16,948.0,966.0,945.25,965.5,82989.0,965.5
2010-02-17,963.5,964.0,948.0,951.5,71599.0,951.5
2010-02-18,952.0,957.75,942.0,948.0,60035.0,948.0
2010-02-19,939.5,948.5,931.75,945.0,50516.0,945.0
2010-02-22,946.25,962.5,944.25,961.5,78385.0,961.5
2010-02-23,960.0,978.75,952.0,952.5,90583.0,952.5
2010-02-24,952.5,963.0,945.25,955.5,62137.0,955.5
2010-02-25,954.75,957.0,934.75,941.5,37834.0,941.5
2010-02-26,940.5,953.25,937.75,951.0,22885.0,951.0
2010-03-01,954.25,959.0,944.0,952.5,12750.0,952.5
2010-03-02,952.0,959.5,948.5,954.25,9441.0,954.25
2010-03-03,954.75,962.5,954.0,954.5,8676.0,954.5
2010-03-04,952.0,952.0,928.0,932.5,6843.0,932.5
2010-03-05,934.75,939.5,929.75,934.75,3818.0,934.75
2010-03-08,938.0,944.75,932.0,940.5,1461.0,940.5
2010-03-09,941.0,941.0,929.0,941.5,865.0,941.5
2010-03-10,941.25,956.75,936.75,952.0,572.0,952.0
2010-03-11,956.0,956.0,924.75,925.5,409.0,925.5
2010-03-12,931.5,934.0,924.0,926.0,66451.0,926.0
2010-03-15,926.25,933.25,921.75,930.0,55498.0,930.0
2010-03-16,930.5,948.0,930.5,945.0,71579.0,945.0
2010-03-17,944.0,962.25,942.0,959.0,69677.0,959.0
2010-03-18,957.5,962.5,947.25,959.5,64849.0,959.5
2010-03-19,959.5,964.0,952.25,961.75,45955.0,961.75
2010-03-22,959.75,975.0,956.5,968.5,67630.0,968.5
2010-03-23,966.75,976.5,964.75,968.0,62583.0,968.0
2010-03-24,967.75,967.75,953.25,960.0,60563.0,960.0
2010-03-25,958.0,966.5,942.0,942.5,79415.0,942.5
2010-03-26,942.75,955.0,941.75,952.0,62101.0,952.0
2010-03-29,952.5,977.5,951.5,967.5,96574.0,967.5
2010-03-30,967.5,974.25,960.25,974.0,76370.0,974.0
2010-03-31,972.0,977.0,930.5,941.0,131018.0,941.0
2010-04-01,940.0,947.0,932.5,942.0,30.0,942.0
2010-04-05,942.0,946.0,932.75,936.0,47924.0,936.0
2010-04-06,936.0,944.75,932.75,944.5,53024.0,944.5
2010-04-07,942.5,957.0,938.75,952.5,74371.0,952.5
2010-04-08,950.25,953.75,945.25,946.5,64665.0,946.5
2010-04-09,946.0,963.75,943.25,952.25,89029.0,952.25
2010-04-12,954.5,965.5,952.75,960.0,107406.0,960.0
2010-04-13,958.25,972.25,954.25,968.0,123181.0,968.0
2010-04-14,968.0,976.0,965.0,969.0,92109.0,969.0
2010-04-15,968.5,985.5,964.25,984.0,91261.0,984.0
2010-04-16,983.0,989.75,978.25,985.25,67874.0,985.25
2010-04-19,981.5,985.25,972.25,976.75,52032.0,976.75
2010-04-20,977.5,987.75,977.5,984.0,39834.0,984.0
2010-04-21,985.0,1005.0,983.0,995.5,48564.0,995.5
2010-04-22,995.0,1005.0,991.0,1004.25,34834.0,1004.25
2010-04-23,1002.25,1006.5,996.5,1000.0,32219.0,1000.0
2010-04-26,996.0,1009.5,995.25,998.75,42125.0,998.75
2010-04-27,997.75,1001.0,981.5,982.75,37245.0,982.75
2010-04-28,982.0,992.0,977.5,982.75,43069.0,982.75
2010-04-29,983.0,995.25,982.75,985.75,35022.0,985.75
2010-04-30,985.0,992.25,983.0,989.5,13964.0,989.5
2010-05-03,988.25,992.0,973.25,975.75,15217.0,975.75
2010-05-04,975.25,980.5,963.75,977.0,11422.0,977.0
2010-05-05,978.5,983.0,967.25,968.25,9530.0,968.25
2010-05-06,969.0,973.0,941.5,945.5,7481.0,945.5
2010-05-07,945.75,955.5,940.0,951.25,3834.0,951.25
2010-05-10,954.25,960.25,951.0,952.75,2194.0,952.75
2010-05-11,953.0,961.0,946.5,958.25,1532.0,958.25
2010-05-12,958.75,967.75,955.0,959.5,1034.0,959.5
2010-05-13,958.25,965.75,956.0,960.5,839.0,960.5
2010-05-14,960.5,960.5,946.75,948.0,59375.0,948.0
2010-05-17,954.0,955.0,937.5,941.0,62149.0,941.0
2010-05-18,943.0,949.5,936.0,939.5,59875.0,939.5
2010-05-19,938.5,948.5,935.75,938.5,77434.0,938.5
2010-05-20,941.5,947.75,931.0,944.0,80994.0,944.0
2010-05-21,944.75,950.5,939.0,941.0,64210.0,941.0
2010-05-24,941.0,952.5,940.0,940.5,60987.0,940.5
2010-05-25,939.0,941.0,927.5,930.5,59077.0,930.5
2010-05-26,934.25,939.75,933.0,938.0,51696.0,938.0
2010-05-27,936.75,953.75,936.0,951.75,65148.0,951.75
2010-05-28,951.75,956.0,936.5,937.75,68360.0,937.75
2010-06-01,939.25,943.75,930.5,932.0,57229.0,932.0
2010-06-02,931.5,936.75,930.5,932.5,47760.0,932.5
2010-06-03,934.0,957.5,933.5,955.0,87817.0,955.0
2010-06-04,955.0,958.25,931.5,935.0,78812.0,935.0
2010-06-07,934.0,939.0,928.25,935.0,71789.0,935.0
2010-06-08,934.0,937.5,926.0,931.0,77801.0,931.0
2010-06-09,929.75,951.75,926.25,943.5,108439.0,943.5
2010-06-10,942.75,952.0,930.5,935.0,93353.0,935.0
2010-06-11,935.0,947.0,930.5,946.25,65189.0,946.25
2010-06-14,945.0,958.75,944.75,951.5,69139.0,951.5
2010-06-15,949.75,961.75,947.25,949.5,58688.0,949.5
2010-06-16,949.5,961.75,949.0,957.75,47071.0,957.75
2010-06-17,957.0,964.0,951.0,952.0,53904.0,952.0
2010-06-18,953.5,961.25,952.5,961.0,48574.0,961.0
2010-06-21,965.25,971.5,958.75,963.25,48323.0,963.25
2010-06-22,963.25,970.0,961.75,965.5,37116.0,965.5
2010-06-23,964.25,966.25,957.0,958.0,44664.0,958.0
2010-06-24,958.0,965.0,955.25,955.5,36751.0,955.5
2010-06-25,956.0,960.75,955.0,957.0,33554.0,957.0
2010-06-28,958.25,961.0,953.25,955.0,48179.0,955.0
2010-06-29,957.5,961.0,946.0,947.25,36315.0,947.25
2010-06-30,948.5,973.0,945.0,948.5,12654.0,948.5
2010-07-01,948.5,954.25,943.25,953.5,7003.0,953.5
2010-07-02,951.0,967.25,950.5,962.75,5497.0,962.75
2010-07-06,962.5,976.25,959.5,964.25,2499.0,964.25
2010-07-07,964.0,994.5,964.0,993.0,4037.0,993.0
2010-07-08,989.5,1022.25,987.75,1012.5,2660.0,1012.5
2010-07-09,1012.5,1030.0,1010.75,1025.5,2387.0,1025.5
2010-07-12,1024.75,1043.0,1017.5,1031.75,1476.0,1031.75
2010-07-13,1034.0,1040.5,1026.5,1030.5,1519.0,1030.5
2010-07-14,1030.5,1038.5,1025.75,1036.0,29398.0,1036.0
2010-07-15,995.75,1021.75,989.0,1019.0,36600.0,1019.0
2010-07-16,1018.0,1027.0,1013.0,1019.5,22257.0,1019.5
2010-07-19,1007.25,1022.25,1003.5,1008.0,26417.0,1008.0
2010-07-20,1006.75,1014.25,998.5,1011.75,20147.0,1011.75
2010-07-21,1012.0,1020.0,1007.5,1015.25,19617.0,1015.25
2010-07-22,1013.5,1026.0,1008.75,1016.0,24284.0,1016.0
2010-07-23,1015.25,1022.0,1012.0,1017.0,16530.0,1017.0
