,Open,High,Low,Close,Volume,Adj Close
2009-12-31,538.75,545.0,534.25,536.25,0.0,536.25
2010-01-04,539.5,554.25,538.75,550.75,0.0,550.75
2010-01-05,549.25,553.5,544.25,546.75,0.0,546.75
2010-01-06,545.75,560.25,544.0,560.5,0.0,560.5
2010-01-07,559.5,560.25,548.75,550.25,0.0,550.25
2010-01-08,550.25,562.0,540.75,560.0,0.0,560.0
2010-01-11,560.0,566.25,556.5,566.0,0.0,566.0
2010-01-12,563.0,563.0,518.0,534.0,0.0,534.0
2010-01-13,532.25,537.0,520.0,534.75,0.0,534.75
2010-01-14,536.0,536.5,525.25,527.0,0.0,527.0
2010-01-15,526.0,526.0,511.75,512.0,0.0,512.0
2010-01-19,511.75,517.5,501.5,505.0,0.0,505.0
2010-01-20,505.0,505.75,492.75,504.5,0.0,504.5
2010-01-21,504.25,505.0,497.5,503.5,0.0,503.5
2010-01-22,504.5,505.5,496.0,502.0,0.0,502.0
2010-01-25,502.75,507.0,500.5,501.0,0.0,501.0
2010-01-26,500.25,503.5,496.75,499.5,0.0,499.5
2010-01-27,498.0,500.0,490.25,490.5,0.0,490.5
2010-01-28,492.25,496.5,490.0,494.75,0.0,494.75
2010-01-29,494.75,495.75,485.0,487.0,0.0,487.0
2010-02-01,487.5,493.75,483.5,487.5,0.0,487.5
2010-02-02,486.0,503.0,486.0,499.0,0.0,499.0
2010-02-03,499.0,504.0,482.5,483.25,0.0,483.25
2010-02-04,485.25,493.0,480.25,488.5,0.0,488.5
2010-02-05,487.25,488.5,480.25,484.5,0.0,484.5
2010-02-08,489.75,497.75,488.0,495.5,0.0,495.5
2010-02-09,495.25,499.75,488.0,490.0,0.0,490.0
2010-02-10,492.75,513.5,489.5,505.75,0.0,505.75
2010-02-11,506.0,509.0,497.25,501.25,0.0,501.25
2010-02-12,501.0,502.0,490.75,494.5,0.0,494.5
2010-02-16,497.25,516.75,496.0,512.5,0.0,512.5
2010-02-17,511.25,512.0,500.0,502.0,0.0,502.0
2010-02-18,502.0,508.0,492.0,493.5,0.0,493.5
2010-02-19,490.75,500.25,486.5,498.25,0.0,498.25
2010-02-22,497.25,513.0,493.75,508.5,0.0,508.5
2010-02-23,506.25,508.5,498.5,498.25,0.0,498.25
2010-02-24,498.5,508.25,497.25,505.25,0.0,505.25
2010-02-25,505.0,506.0,494.5,496.75,0.0,496.75
2010-02-26,496.0,513.75,496.0,511.0,0.0,511.0
2010-03-01,515.0,515.0,495.0,499.5,0.0,499.5
2010-03-02,501.0,504.75,495.25,499.0,0.0,499.0
2010-03-03,504.5,508.5,503.25,509.5,0.0,509.5
2010-03-04,506.75,506.75,499.5,500.0,0.0,500.0
2010-03-05,498.75,499.75,495.0,493.0,0.0,493.0
2010-03-08,494.75,496.0,494.0,495.0,0.0,495.0
2010-03-09,490.25,492.5,490.25,490.25,0.0,490.25
2010-03-10,490.5,492.25,481.0,484.0,0.0,484.0
2010-03-11,482.75,482.75,481.75,482.5,0.0,482.5
2010-03-12,487.75,487.75,487.75,487.75,0.0,487.75
2010-03-15,494.75,496.5,487.25,488.25,0.0,488.25
2010-03-16,488.25,498.5,488.0,494.75,0.0,494.75
2010-03-17,494.75,504.5,493.5,502.25,0.0,502.25
2010-03-18,501.5,501.5,491.75,495.0,0.0,495.0
2010-03-19,494.75,496.5,490.5,492.0,0.0,492.0
2010-03-22,492.25,500.0,490.0,494.0,0.0,494.0
2010-03-23,493.0,495.5,484.5,485.0,0.0,485.0
2010-03-24,485.25,487.75,481.25,485.25,0.0,485.25
2010-03-25,484.5,486.0,475.5,476.75,0.0,476.75
2010-03-26,476.75,479.75,475.0,475.5,0.0,475.5
2010-03-29,475.75,481.0,473.25,473.5,0.0,473.5
2010-03-30,474.0,481.5,473.25,479.5,0.0,479.5
2010-03-31,478.75,481.5,461.5,461.75,0.0,461.75
2010-04-01,463.25,471.75,463.25,470.0,0.0,470.0
2010-04-05,470.25,474.5,465.0,471.75,0.0,471.75
2010-04-06,472.0,488.5,468.25,481.5,0.0,481.5
2010-04-07,481.0,492.25,475.0,492.0,0.0,492.0
2010-04-08,490.0,491.0,484.0,485.5,0.0,485.5
2010-04-09,485.0,495.0,480.25,483.5,0.0,483.5
2010-04-12,486.25,491.25,483.25,484.25,0.0,484.25
2010-04-13,483.75,493.0,480.75,492.75,0.0,492.75
2010-04-14,491.0,499.25,487.0,490.5,0.0,490.5
2010-04-15,490.25,498.25,489.0,496.5,0.0,496.5
2010-04-16,495.0,505.75,492.5,506.5,0.0,506.5
2010-04-19,503.0,504.25,482.5,483.25,0.0,483.25
2010-04-20,484.0,502.5,484.0,501.75,0.0,501.75
2010-04-21,501.0,504.0,496.0,499.75,0.0,499.75
2010-04-22,498.5,510.75,493.5,510.25,0.0,510.25
2010-04-23,508.75,511.25,501.25,505.75,0.0,505.75
2010-04-26,504.5,514.75,484.5,490.5,0.0,490.5
2010-04-27,493.25,495.5,487.5,492.5,0.0,492.5
2010-04-28,491.5,501.5,487.0,491.5,0.0,491.5
2010-04-29,492.25,508.25,491.5,497.5,0.0,497.5
2010-04-30,500.0,506.0,497.5,505.5,0.0,505.5
2010-05-03,507.0,507.0,496.0,504.0,0.0,504.0
2010-05-04,500.0,510.0,498.0,514.0,0.0,514.0
2010-05-05,510.0,515.0,510.0,515.5,0.0,515.5
2010-05-06,515.0,515.0,505.0,511.25,0.0,511.25
2010-05-07,510.0,510.0,510.0,512.5,0.0,512.5
2010-05-10,514.5,514.5,504.75,501.0,0.0,501.0
2010-05-11,499.0,506.0,499.0,502.5,0.0,502.5
2010-05-12,512.0,512.0,499.5,500.0,0.0,500.0
2010-05-13,490.25,490.25,490.25,490.25,0.0,490.25
2010-05-14,484.5,484.5,484.5,484.5,0.0,484.5
2010-05-17,490.75,493.5,486.5,490.0,0.0,490.0
2010-05-18,490.0,493.5,487.0,488.0,0.0,488.0
2010-05-19,488.0,492.75,486.5,491.5,0.0,491.5
