date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,Asia,India,BSE SENSEX,india_sensex,^BSESN,17473.44921875,17582.83984375,17378.380859375,17558.73046875,17558.73046875,28200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-05,Asia,India,BSE SENSEX,india_sensex,^BSESN,17555.76953125,17729.779296875,17555.76953125,17686.240234375,17686.240234375,27000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-06,Asia,India,BSE SENSEX,india_sensex,^BSESN,17719.470703125,17790.330078125,17636.7109375,17701.130859375,17701.130859375,21400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-07,Asia,India,BSE SENSEX,india_sensex,^BSESN,17701.970703125,17733.33984375,17566.5390625,17615.720703125,17615.720703125,18000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-08,Asia,India,BSE SENSEX,india_sensex,^BSESN,17603.869140625,17658.119140625,17508.9609375,17540.2890625,17540.2890625,17200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-11,Asia,India,BSE SENSEX,india_sensex,^BSESN,17724.58984375,17776.5703125,17500.7890625,17526.7109375,17526.7109375,18400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-12,Asia,India,BSE SENSEX,india_sensex,^BSESN,17534.099609375,17612.0,17392.55078125,17422.509765625,17422.509765625,18600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-13,Asia,India,BSE SENSEX,india_sensex,^BSESN,17368.029296875,17528.310546875,17276.4609375,17509.80078125,17509.80078125,26200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-14,Asia,India,BSE SENSEX,india_sensex,^BSESN,17525.7109375,17628.0390625,17525.7109375,17584.869140625,17584.869140625,23400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-15,Asia,India,BSE SENSEX,india_sensex,^BSESN,17604.310546875,17639.849609375,17529.109375,17554.30078125,17554.30078125,17600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-18,Asia,India,BSE SENSEX,india_sensex,^BSESN,17538.720703125,17712.599609375,17505.5,17641.080078125,17641.080078125,15400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-19,Asia,India,BSE SENSEX,india_sensex,^BSESN,17650.8203125,17664.859375,17463.779296875,17486.060546875,17486.060546875,13400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-20,Asia,India,BSE SENSEX,india_sensex,^BSESN,17486.689453125,17590.58984375,17425.05078125,17474.490234375,17474.490234375,17000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-21,Asia,India,BSE SENSEX,india_sensex,^BSESN,17474.490234375,17474.490234375,17025.259765625,17051.140625,17051.140625,17200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-22,Asia,India,BSE SENSEX,india_sensex,^BSESN,16978.359375,17000.330078125,16608.08984375,16859.6796875,16859.6796875,23200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-25,Asia,India,BSE SENSEX,india_sensex,^BSESN,16847.69921875,16877.76953125,16705.560546875,16780.4609375,16780.4609375,16400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-27,Asia,India,BSE SENSEX,india_sensex,^BSESN,16708.599609375,16708.599609375,16230.849609375,16289.8203125,16289.8203125,25600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-28,Asia,India,BSE SENSEX,india_sensex,^BSESN,16317.16015625,16524.689453125,16182.1396484375,16306.8701171875,16306.8701171875,21600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-01-29,Asia,India,BSE SENSEX,india_sensex,^BSESN,16253.8203125,16390.310546875,15982.080078125,16357.9599609375,16357.9599609375,25400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-01,Asia,India,BSE SENSEX,india_sensex,^BSESN,16339.3203125,16422.400390625,16160.7998046875,16356.0302734375,16356.0302734375,20000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-02,Asia,India,BSE SENSEX,india_sensex,^BSESN,16368.4404296875,16525.98046875,16129.1103515625,16163.4404296875,16163.4404296875,20600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-03,Asia,India,BSE SENSEX,india_sensex,^BSESN,16210.25,16552.990234375,16210.25,16496.05078125,16496.05078125,16400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-04,Asia,India,BSE SENSEX,india_sensex,^BSESN,16500.2890625,16508.220703125,16188.7998046875,16224.9501953125,16224.9501953125,15800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-05,Asia,India,BSE SENSEX,india_sensex,^BSESN,16222.5595703125,16222.5595703125,15725.4296875,15790.9296875,15790.9296875,23000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-08,Asia,India,BSE SENSEX,india_sensex,^BSESN,15931.33984375,16061.41015625,15651.990234375,15935.6103515625,15935.6103515625,26600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-09,Asia,India,BSE SENSEX,india_sensex,^BSESN,15940.73046875,16094.1298828125,15862.900390625,16042.1796875,16042.1796875,21200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-10,Asia,India,BSE SENSEX,india_sensex,^BSESN,16042.1796875,16141.1298828125,15892.009765625,15922.169921875,15922.169921875,19800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-11,Asia,India,BSE SENSEX,india_sensex,^BSESN,15928.2802734375,16202.8701171875,15928.2802734375,16152.58984375,16152.58984375,14400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-15,Asia,India,BSE SENSEX,india_sensex,^BSESN,16186.900390625,16227.0400390625,16011.8203125,16038.349609375,16038.349609375,17000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-16,Asia,India,BSE SENSEX,india_sensex,^BSESN,16042.1796875,16310.3896484375,16021.2900390625,16226.6796875,16226.6796875,20600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-17,Asia,India,BSE SENSEX,india_sensex,^BSESN,16228.91015625,16480.890625,16228.91015625,16428.91015625,16428.91015625,19600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-18,Asia,India,BSE SENSEX,india_sensex,^BSESN,16421.19921875,16452.509765625,16287.169921875,16327.83984375,16327.83984375,14000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-19,Asia,India,BSE SENSEX,india_sensex,^BSESN,16256.5302734375,16301.9404296875,16074.580078125,16191.6298828125,16191.6298828125,19400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
2010-02-22,Asia,India,BSE SENSEX,india_sensex,^BSESN,16191.3203125,16423.23046875,16191.3203125,16237.0498046875,16237.0498046875,14000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EBSESN/,2026-06-04T20:11:11+09:00
