date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2533.947998046875,2576.055908203125,2532.89599609375,2575.4130859375,2575.31298828125,18339300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-05,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2575.616943359375,2606.069091796875,2575.616943359375,2605.277099609375,2605.175537109375,57043800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-06,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2605.48095703125,2622.115966796875,2587.7099609375,2603.297119140625,2603.195556640625,51569100,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-07,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,2586.794189453125,45510800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-08,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,2614.268310546875,73723500,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-11,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2615.60791015625,2649.197021484375,2615.60791015625,2632.2041015625,2632.1015625,52891200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-12,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2632.305908203125,2659.97607421875,2623.77392578125,2659.551025390625,2659.447265625,57497400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-13,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2657.903076171875,2657.903076171875,2623.4609375,2632.8720703125,2632.76953125,42685500,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-14,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2633.58203125,2661.927978515625,2633.58203125,2645.180908203125,2645.077880859375,53126200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-15,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,2646.987060546875,47643800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-18,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2645.44189453125,2648.924072265625,2629.907958984375,2642.548095703125,2642.445068359375,30861500,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-19,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2642.35400390625,2666.572998046875,2640.177978515625,2666.071044921875,2665.96728515625,32768000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-20,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2666.577880859375,2689.77490234375,2655.0,2667.26611328125,2667.162353515625,36995600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-21,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2664.658935546875,2664.658935546875,2621.360107421875,2638.382080078125,2638.279541015625,32438400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-22,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,2610.238525390625,36693100,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-25,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2609.73095703125,2609.73095703125,2575.962890625,2597.860107421875,2597.759033203125,33669400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
2010-01-26,Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,2597.35302734375,2608.739990234375,2568.948974609375,2578.4150390625,2578.314697265625,42143000,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EJKSE/,2026-06-04T20:11:11+09:00
