date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23360.0,23545.0,23317.0,23545.0,23545.0,409066900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-05,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23554.0,23654.0,23480.0,23556.0,23556.0,520893900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-06,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23580.0,23634.0,23484.0,23622.0,23622.0,307231300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-07,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23551.0,23756.0,23467.0,23709.0,23709.0,593410300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-08,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23816.0,23911.0,23668.0,23811.0,23811.0,670146800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-11,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23946.0,24059.0,23772.0,23775.0,23775.0,596898900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-12,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23823.0,23863.0,23512.0,23583.0,23583.0,562609400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-13,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23486.0,23673.0,23462.0,23658.0,23658.0,505558200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-14,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23831.0,23906.0,23693.0,23806.0,23806.0,617788300,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
2010-01-15,Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,23894.0,23963.0,23457.0,23472.0,23472.0,757188400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/FTSEMIB.MI/,2026-06-04T20:11:11+09:00
