date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,Asia,Japan,TOPIX,japan_topix,1306.T,928.0,934.0,925.0,929.0,868.7202758789062,800930,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-05,Asia,Japan,TOPIX,japan_topix,1306.T,942.0,945.0,932.0,935.0,874.3309326171875,2679750,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-06,Asia,Japan,TOPIX,japan_topix,1306.T,941.0,947.0,935.0,946.0,884.6172485351562,1846870,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-07,Asia,Japan,TOPIX,japan_topix,1306.T,948.0,952.0,944.0,945.0,883.6821899414062,1012770,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-08,Asia,Japan,TOPIX,japan_topix,1306.T,953.0,957.0,948.0,957.0,894.9034423828125,1772750,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-12,Asia,Japan,TOPIX,japan_topix,1306.T,957.0,970.0,956.0,968.0,905.1896362304688,4662810,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-13,Asia,Japan,TOPIX,japan_topix,1306.T,962.0,970.0,957.0,959.0,896.773681640625,2064250,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-14,Asia,Japan,TOPIX,japan_topix,1306.T,964.0,974.0,963.0,972.0,908.9301147460938,1175620,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-15,Asia,Japan,TOPIX,japan_topix,1306.T,976.0,981.0,973.0,978.0,914.5408325195312,4852550,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-18,Asia,Japan,TOPIX,japan_topix,1306.T,974.0,976.0,968.0,971.0,907.9949951171875,2107430,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-19,Asia,Japan,TOPIX,japan_topix,1306.T,974.0,974.0,961.0,964.0,901.4491577148438,4685690,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-20,Asia,Japan,TOPIX,japan_topix,1306.T,973.0,974.0,957.0,959.0,896.773681640625,1010570,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-21,Asia,Japan,TOPIX,japan_topix,1306.T,957.0,974.0,951.0,972.0,908.9301147460938,1254940,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-22,Asia,Japan,TOPIX,japan_topix,1306.T,957.0,957.0,947.0,953.0,891.1629028320312,3553810,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-25,Asia,Japan,TOPIX,japan_topix,1306.T,944.0,954.0,944.0,951.0,889.2928466796875,1903360,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-26,Asia,Japan,TOPIX,japan_topix,1306.T,950.0,952.0,932.0,931.0,870.590576171875,2358900,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-27,Asia,Japan,TOPIX,japan_topix,1306.T,935.0,935.0,922.0,922.0,862.1744995117188,3427030,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-28,Asia,Japan,TOPIX,japan_topix,1306.T,935.0,936.0,922.0,930.0,869.6553955078125,3072460,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-01-29,Asia,Japan,TOPIX,japan_topix,1306.T,924.0,925.0,915.0,916.0,856.5638427734375,9203970,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-01,Asia,Japan,TOPIX,japan_topix,1306.T,914.0,915.0,906.0,908.0,849.0829467773438,9349990,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-02,Asia,Japan,TOPIX,japan_topix,1306.T,920.0,929.0,918.0,926.0,865.9149780273438,3260060,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-03,Asia,Japan,TOPIX,japan_topix,1306.T,934.0,937.0,929.0,930.0,869.6553955078125,1842600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-04,Asia,Japan,TOPIX,japan_topix,1306.T,934.0,934.0,918.0,927.0,866.8501586914062,4701040,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-05,Asia,Japan,TOPIX,japan_topix,1306.T,905.0,910.0,902.0,907.0,848.1477661132812,5057820,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-08,Asia,Japan,TOPIX,japan_topix,1306.T,900.0,906.0,896.0,898.0,839.7317504882812,1400330,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-09,Asia,Japan,TOPIX,japan_topix,1306.T,891.0,898.0,889.0,896.0,837.8616333007812,1466970,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-10,Asia,Japan,TOPIX,japan_topix,1306.T,900.0,904.0,897.0,898.0,839.7317504882812,790980,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-12,Asia,Japan,TOPIX,japan_topix,1306.T,909.0,909.0,902.0,907.0,848.1477661132812,3656700,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-15,Asia,Japan,TOPIX,japan_topix,1306.T,909.0,909.0,896.0,898.0,839.7317504882812,1815340,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-16,Asia,Japan,TOPIX,japan_topix,1306.T,901.0,901.0,898.0,899.0,840.6669311523438,720240,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-17,Asia,Japan,TOPIX,japan_topix,1306.T,909.0,920.0,908.0,919.0,859.3692626953125,1509630,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-18,Asia,Japan,TOPIX,japan_topix,1306.T,921.0,922.0,916.0,918.0,858.4340209960938,914330,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
2010-02-19,Asia,Japan,TOPIX,japan_topix,1306.T,919.0,921.0,903.0,904.0,845.3424072265625,1856400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/1306.T/,2026-06-04T20:11:11+09:00
