date,region,country,index_name,slug,ticker,open,high,low,close,adj_close,volume,source,source_url,downloaded_at
2010-01-04,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,11986.5,12145.099609375,11986.099609375,12145.099609375,12145.0869140625,184200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-05,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12141.7998046875,12240.5,12139.7998046875,12204.400390625,12204.3876953125,238400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-06,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12216.400390625,12230.7001953125,12147.599609375,12222.5,12222.4873046875,123800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-07,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12163.0,12199.7001953125,12079.099609375,12166.2998046875,12166.287109375,192400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-08,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12218.0,12232.2001953125,12079.900390625,12163.0,12162.9873046875,213200,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-11,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12192.5,12233.900390625,12066.099609375,12074.5,12074.4873046875,230800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-12,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12094.400390625,12134.2001953125,11941.099609375,11966.099609375,11966.087890625,186800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-13,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,11923.0,12027.2001953125,11909.599609375,11958.2998046875,11958.2880859375,181800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-14,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12049.099609375,12050.400390625,11902.2998046875,11999.7998046875,11999.7880859375,153800,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-15,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,12028.5,12085.2998046875,11818.599609375,11845.0,11844.98828125,236400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-18,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,11888.5,11897.7001953125,11788.7998046875,11870.7001953125,11870.6884765625,95600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-19,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,11850.400390625,12049.2001953125,11772.5,12022.599609375,12022.587890625,202400,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
2010-01-20,Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,11987.2998046875,12039.0,11642.5,11709.0,11708.98828125,233600,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/%5EIBEX/,2026-06-04T20:11:11+09:00
