symbol,commodity,name,last,change_pct,change_value,quote_time_or_date,source,source_url,downloaded_at
KE.F,hard_red_winter_wheat,HARD RED WINTER WHEAT,624.0,-1.69%,-10.75,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ML.F,milling_wheat,MILLING WHEAT,202.75,-0.61%,-1.25,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
MW.F,spring_wheat_mpls,SPRING WHEAT MPLS,6.51,-1.59%,-0.105,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
RS.F,canola,CANOLA,802.0,+3.07%,23.9,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
XR.F,rapeseed,RAPESEED,533.75,+1.18%,6.25,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZC.F,corn,CORN,427.4,-0.95%,-4.1,12:17,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZL.F,soybean_oil,SOYBEAN OIL,78.62,-0.11%,-0.09,12:18,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZM.F,soybean_meal,SOYBEAN MEAL,320.8,-1.66%,-5.4,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZO.F,oats,OATS,326.5,-2.54%,-8.5,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZR.F,rough_rice,ROUGH RICE,12.53,-1.03%,-0.13,Jun 3,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZS.F,soybean,SOYBEAN,1148.63,-0.47%,-5.37,12:17,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
ZW.F,wheat,WHEAT,586.87,-0.06%,-0.38,12:18,Stooq Grains quote table / Barchart commodities quotes per Stooq disclosure,https://stooq.com/t/?i=555,2026-06-04T19:19:05+09:00
