commodity,commodity_name,price_type,market,grade,marketing_year,date,month,value,unit,source,source_sheet,source_url,downloaded_at
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1975-09-01,September,5.36,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1975-10-01,October,5.24,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1975-11-01,November,4.94,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1975-12-01,December,4.91,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-01-01,January,4.92,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-02-01,February,4.99,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-03-01,March,5.01,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-04-01,April,4.89,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-05-01,May,4.89,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,cash_price,"Gulf Coast Ports, TX",No. 2 yellow,1975/76,1976-06-01,June,4.97,USD/cwt,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable13,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
