commodity,commodity_name,price_type,market,grade,marketing_year,date,month,value,unit,source,source_sheet,source_url,downloaded_at
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-01-01,January,1.2432,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-02-01,February,1.1592,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-03-01,March,1.2152,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-04-01,April,1.2208,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-05-01,May,1.204,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-06-01,June,1.1424,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-07-01,July,1.092,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1948/49,1949-08-01,August,1.0472,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1949-09-01,September,1.008,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1949-10-01,October,0.9632,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1949-11-01,November,0.9296,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1949-12-01,December,1.0024,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1950-01-01,January,1.0584,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1950-02-01,February,1.0528,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1950-03-01,March,1.0808,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1950-04-01,April,1.1088,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1949/50,1950-05-01,May,1.1032,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
