date,adj_close,close,high,low,open,volume,commodity,ticker,source,source_url,downloaded_at
2010-01-04,557.75,557.75,561.25,544.0,544.75,41278,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-05,553.0,553.0,561.5,552.0,556.75,36720,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-06,567.25,567.25,567.75,551.0,552.0,38503,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-07,557.75,557.75,568.0,556.0,566.5,33873,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-08,568.5,568.5,570.0,545.25,557.5,33873,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-11,572.5,572.5,575.0,563.75,569.0,33873,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-12,535.75,535.75,570.5,520.5,570.0,33873,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-13,537.0,537.0,538.0,519.25,534.75,60488,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-14,527.75,527.75,537.25,525.5,536.75,40114,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
2010-01-15,510.0,510.0,525.75,509.25,525.25,42330,wheat_cbot,ZW=F,Yahoo Finance via yfinance,https://finance.yahoo.com/quote/ZW%3DF/,2026-06-04T19:19:05+09:00
