DATE,BRALOLITONOSTSAM
1989-01-01,99.85965
1989-02-01,100.0194
1989-03-01,100.1771
1989-04-01,100.294
1989-05-01,100.3339
1989-06-01,100.2961
1989-07-01,100.189
1989-08-01,100.0314
1989-09-01,99.83733
1989-10-01,99.62801
1989-11-01,99.43026
1989-12-01,99.26643
1990-01-01,99.16039
1990-02-01,99.13066
1990-03-01,99.16935
1990-04-01,99.25732
1990-05-01,99.36712
1990-06-01,99.47032
1990-07-01,99.54311
1990-08-01,99.56834
1990-09-01,99.56758
1990-10-01,99.5715
1990-11-01,99.60607
1990-12-01,99.66786
1991-01-01,99.74547
1991-02-01,99.82137
1991-03-01,99.8745
1991-04-01,99.88055
1991-05-01,99.81274
1991-06-01,99.66866
1991-07-01,99.45213
1991-08-01,99.17506
1991-09-01,98.88339
1991-10-01,98.62968
1991-11-01,98.45629
1991-12-01,98.36895
1992-01-01,98.36618
1992-02-01,98.43582
1992-03-01,98.54289
1992-04-01,98.65229
1992-05-01,98.73831
1992-06-01,98.80677
1992-07-01,98.87064
1992-08-01,98.94997
1992-09-01,99.05312
1992-10-01,99.1844
1992-11-01,99.34251
1992-12-01,99.50571
1993-01-01,99.64895
1993-02-01,99.75539
1993-03-01,99.81914
1993-04-01,99.84315
1993-05-01,99.8368
1993-06-01,99.81487
1993-07-01,99.79436
1993-08-01,99.79156
1993-09-01,99.81601
1993-10-01,99.87538
1993-11-01,99.97333
1993-12-01,100.095
1994-01-01,100.2244
1994-02-01,100.3474
1994-03-01,100.4587
1994-04-01,100.5538
1994-05-01,100.6314
1994-06-01,100.7039
1994-07-01,100.7763
1994-08-01,100.8405
1994-09-01,100.8769
1994-10-01,100.8629
1994-11-01,100.7814
1994-12-01,100.6305
1995-01-01,100.4138
1995-02-01,100.1397
1995-03-01,99.83743
1995-04-01,99.53638
1995-05-01,99.25954
1995-06-01,99.02926
1995-07-01,98.86671
1995-08-01,98.77787
1995-09-01,98.75596
1995-10-01,98.78688
1995-11-01,98.85654
1995-12-01,98.96346
1996-01-01,99.10109
1996-02-01,99.25892
1996-03-01,99.42279
1996-04-01,99.58273
1996-05-01,99.72829
1996-06-01,99.85187
1996-07-01,99.9493
1996-08-01,100.0192
1996-09-01,100.0809
1996-10-01,100.1518
1996-11-01,100.2397
1996-12-01,100.3392
1997-01-01,100.4378
1997-02-01,100.5153
1997-03-01,100.5663
1997-04-01,100.5843
1997-05-01,100.5603
1997-06-01,100.4955
1997-07-01,100.3901
1997-08-01,100.2454
1997-09-01,100.0597
1997-10-01,99.8325
1997-11-01,99.57312
1997-12-01,99.3237
1998-01-01,99.12952
1998-02-01,99.02209
1998-03-01,98.97971
1998-04-01,98.95846
1998-05-01,98.91167
1998-06-01,98.81062
1998-07-01,98.64287
1998-08-01,98.41916
1998-09-01,98.18481
1998-10-01,98.00632
1998-11-01,97.93206
1998-12-01,97.96665
1999-01-01,98.09625
1999-02-01,98.30398
1999-03-01,98.57928
1999-04-01,98.89907
1999-05-01,99.23017
1999-06-01,99.5301
1999-07-01,99.77437
1999-08-01,99.95436
1999-09-01,100.0847
1999-10-01,100.1782
1999-11-01,100.2485
1999-12-01,100.3133
2000-01-01,100.384
2000-02-01,100.4688
2000-03-01,100.561
2000-04-01,100.6528
2000-05-01,100.7425
2000-06-01,100.8178
2000-07-01,100.8574
2000-08-01,100.8456
2000-09-01,100.7914
2000-10-01,100.7114
2000-11-01,100.6227
2000-12-01,100.5347
2001-01-01,100.4368
2001-02-01,100.2993
2001-03-01,100.0985
2001-04-01,99.82474
2001-05-01,99.48592
2001-06-01,99.11994
2001-07-01,98.78461
2001-08-01,98.54684
2001-09-01,98.44891
2001-10-01,98.50392
2001-11-01,98.68225
2001-12-01,98.92235
2002-01-01,99.1598
2002-02-01,99.34563
2002-03-01,99.4563
2002-04-01,99.48495
2002-05-01,99.44182
2002-06-01,99.35805
2002-07-01,99.27044
2002-08-01,99.21246
2002-09-01,99.20356
2002-10-01,99.23499
2002-11-01,99.27602
2002-12-01,99.27349
2003-01-01,99.19451
2003-02-01,99.04826
2003-03-01,98.87797
2003-04-01,98.72637
2003-05-01,98.62334
2003-06-01,98.61163
2003-07-01,98.7304
2003-08-01,98.99589
2003-09-01,99.37364
2003-10-01,99.79121
2003-11-01,100.1639
2003-12-01,100.4283
2004-01-01,100.5669
2004-02-01,100.5972
2004-03-01,100.5561
2004-04-01,100.4966
2004-05-01,100.4546
2004-06-01,100.4407
2004-07-01,100.4418
2004-08-01,100.4406
2004-09-01,100.4405
2004-10-01,100.4345
2004-11-01,100.4006
2004-12-01,100.3134
2005-01-01,100.1551
2005-02-01,99.94141
2005-03-01,99.69303
2005-04-01,99.42952
2005-05-01,99.16986
2005-06-01,98.93999
2005-07-01,98.76435
2005-08-01,98.66246
2005-09-01,98.65208
2005-10-01,98.73112
2005-11-01,98.88762
2005-12-01,99.10286
2006-01-01,99.33076
2006-02-01,99.5324
2006-03-01,99.6825
2006-04-01,99.77075
2006-05-01,99.80612
2006-06-01,99.81749
2006-07-01,99.8422
2006-08-01,99.89979
2006-09-01,100.0117
2006-10-01,100.1829
2006-11-01,100.3956
2006-12-01,100.619
2007-01-01,100.8367
2007-02-01,101.0518
2007-03-01,101.2579
2007-04-01,101.4557
2007-05-01,101.6322
2007-06-01,101.785
2007-07-01,101.9172
2007-08-01,102.0298
2007-09-01,102.1355
2007-10-01,102.2214
2007-11-01,102.2686
2007-12-01,102.2723
2008-01-01,102.2426
2008-02-01,102.199
2008-03-01,102.1318
2008-04-01,102.0161
2008-05-01,101.8046
2008-06-01,101.4368
2008-07-01,100.8898
2008-08-01,100.2027
2008-09-01,99.39588
2008-10-01,98.54238
2008-11-01,97.78927
2008-12-01,97.26633
2009-01-01,97.02816
2009-02-01,97.05879
2009-03-01,97.30737
2009-04-01,97.71252
2009-05-01,98.19679
2009-06-01,98.69495
2009-07-01,99.17204
2009-08-01,99.6151
2009-09-01,100.0189
2009-10-01,100.3798
2009-11-01,100.671
2009-12-01,100.8832
2010-01-01,101.0234
2010-02-01,101.0982
2010-03-01,101.1194
2010-04-01,101.0989
2010-05-01,101.0606
2010-06-01,101.0379
2010-07-01,101.055
2010-08-01,101.1265
2010-09-01,101.2423
2010-10-01,101.3733
2010-11-01,101.4821
2010-12-01,101.5442
2011-01-01,101.5541
2011-02-01,101.5135
2011-03-01,101.4219
2011-04-01,101.2666
2011-05-01,101.0598
2011-06-01,100.8231
2011-07-01,100.5837
2011-08-01,100.3771
2011-09-01,100.2405
2011-10-01,100.188
2011-11-01,100.2086
2011-12-01,100.2823
2012-01-01,100.371
2012-02-01,100.4436
2012-03-01,100.4825
2012-04-01,100.4875
2012-05-01,100.4729
2012-06-01,100.468
2012-07-01,100.4873
2012-08-01,100.5217
2012-09-01,100.5504
2012-10-01,100.5522
2012-11-01,100.5262
2012-12-01,100.4677
2013-01-01,100.3732
2013-02-01,100.2452
2013-03-01,100.0918
2013-04-01,99.92633
2013-05-01,99.76141
2013-06-01,99.60474
2013-07-01,99.48125
2013-08-01,99.40658
2013-09-01,99.36689
2013-10-01,99.33116
2013-11-01,99.2878
2013-12-01,99.23797
2014-01-01,99.17769
2014-02-01,99.12064
2014-03-01,99.07259
2014-04-01,99.03282
2014-05-01,98.99483
2014-06-01,98.9734
2014-07-01,98.96481
2014-08-01,98.94017
2014-09-01,98.88586
2014-10-01,98.78731
2014-11-01,98.63881
2014-12-01,98.43684
2015-01-01,98.20449
2015-02-01,97.96447
2015-03-01,97.73528
2015-04-01,97.53394
2015-05-01,97.37018
2015-06-01,97.24267
2015-07-01,97.15871
2015-08-01,97.11373
2015-09-01,97.11679
2015-10-01,97.15624
2015-11-01,97.20478
2015-12-01,97.26805
2016-01-01,97.35278
2016-02-01,97.48783
2016-03-01,97.6861
2016-04-01,97.93649
2016-05-01,98.23092
2016-06-01,98.51269
2016-07-01,98.7927
2016-08-01,99.04107
2016-09-01,99.23927
2016-10-01,99.37824
2016-11-01,99.46149
2016-12-01,99.511
2017-01-01,99.5648
2017-02-01,99.6245
2017-03-01,99.69175
2017-04-01,99.77759
2017-05-01,99.90087
2017-06-01,100.0711
2017-07-01,100.3133
2017-08-01,100.6201
2017-09-01,100.9555
2017-10-01,101.2671
2017-11-01,101.5203
2017-12-01,101.7085
2018-01-01,101.8334
2018-02-01,101.8768
2018-03-01,101.8303
2018-04-01,101.7061
2018-05-01,101.5362
2018-06-01,101.3653
2018-07-01,101.2371
2018-08-01,101.1696
2018-09-01,101.1671
2018-10-01,101.2463
2018-11-01,101.3799
2018-12-01,101.5282
2019-01-01,101.6607
2019-02-01,101.7428
2019-03-01,101.7753
2019-04-01,101.7879
2019-05-01,101.8094
2019-06-01,101.8643
2019-07-01,101.9585
2019-08-01,102.085
2019-09-01,102.2288
2019-10-01,102.3614
2019-11-01,102.4455
2019-12-01,102.4165
2020-01-01,102.2183
2020-02-01,101.8484
2020-03-01,100.8353
2020-04-01,95.23177
2020-05-01,97.18489
2020-06-01,100.5458
2020-07-01,101.5575
2020-08-01,102.0725
2020-09-01,102.5785
2020-10-01,102.9948
2020-11-01,103.2884
2020-12-01,103.4463
2021-01-01,103.456
2021-02-01,103.3683
2021-03-01,103.2699
2021-04-01,103.2364
2021-05-01,103.2566
2021-06-01,103.2667
2021-07-01,103.1881
2021-08-01,102.9871
2021-09-01,102.6828
2021-10-01,102.3162
2021-11-01,101.9272
2021-12-01,101.557
2022-01-01,101.2383
2022-02-01,100.9985
2022-03-01,100.8305
2022-04-01,100.7093
2022-05-01,100.5955
2022-06-01,100.4764
2022-07-01,100.3567
2022-08-01,100.2479
2022-09-01,100.1301
2022-10-01,99.99515
2022-11-01,99.84814
2022-12-01,99.72157
2023-01-01,99.63644
2023-02-01,99.60754
2023-03-01,99.63988
2023-04-01,99.72904
2023-05-01,99.85667
2023-06-01,100.0041
2023-07-01,100.1329
2023-08-01,100.232
2023-09-01,100.3132
2023-10-01,100.3992
2023-11-01,100.5031
2023-12-01,100.6181
2024-01-01,100.7327
