DATE,GBRLOLITONOSTSAM
1980-01-01,99.31702
1980-02-01,99.05503
1980-03-01,98.7655
1980-04-01,98.45002
1980-05-01,98.17825
1980-06-01,97.95639
1980-07-01,97.78278
1980-08-01,97.67606
1980-09-01,97.67272
1980-10-01,97.75668
1980-11-01,97.93341
1980-12-01,98.1882
1981-01-01,98.5059
1981-02-01,98.84167
1981-03-01,99.16036
1981-04-01,99.40022
1981-05-01,99.51221
1981-06-01,99.49887
1981-07-01,99.41207
1981-08-01,99.28396
1981-09-01,99.16792
1981-10-01,99.07317
1981-11-01,99.0003
1981-12-01,98.94415
1982-01-01,98.93233
1982-02-01,98.98445
1982-03-01,99.05969
1982-04-01,99.11794
1982-05-01,99.17165
1982-06-01,99.25475
1982-07-01,99.38722
1982-08-01,99.55467
1982-09-01,99.74779
1982-10-01,99.95947
1982-11-01,100.1363
1982-12-01,100.2875
1983-01-01,100.4373
1983-02-01,100.5851
1983-03-01,100.7481
1983-04-01,100.9155
1983-05-01,101.0681
1983-06-01,101.2035
1983-07-01,101.2981
1983-08-01,101.3336
1983-09-01,101.3169
1983-10-01,101.3057
1983-11-01,101.2937
1983-12-01,101.2834
1984-01-01,101.2683
1984-02-01,101.2339
1984-03-01,101.1573
1984-04-01,101.0426
1984-05-01,100.8767
1984-06-01,100.6862
1984-07-01,100.5106
1984-08-01,100.3944
1984-09-01,100.321
1984-10-01,100.2628
1984-11-01,100.2287
1984-12-01,100.2023
1985-01-01,100.1744
1985-02-01,100.0876
1985-03-01,99.99852
1985-04-01,99.91053
1985-05-01,99.8325
1985-06-01,99.77969
1985-07-01,99.75505
1985-08-01,99.7632
1985-09-01,99.78316
1985-10-01,99.80859
1985-11-01,99.82452
1985-12-01,99.82443
1986-01-01,99.80891
1986-02-01,99.80642
1986-03-01,99.83099
1986-04-01,99.87672
1986-05-01,99.91026
1986-06-01,99.93867
1986-07-01,99.95979
1986-08-01,99.98506
1986-09-01,100.0291
1986-10-01,100.1228
1986-11-01,100.2821
1986-12-01,100.5111
1987-01-01,100.8194
1987-02-01,101.0855
1987-03-01,101.361
1987-04-01,101.6283
1987-05-01,101.8508
1987-06-01,101.9823
1987-07-01,101.9969
1987-08-01,101.9093
1987-09-01,101.7478
1987-10-01,101.5322
1987-11-01,101.3046
1987-12-01,101.0987
1988-01-01,100.9387
1988-02-01,100.8333
1988-03-01,100.7858
1988-04-01,100.7898
1988-05-01,100.8133
1988-06-01,100.813
1988-07-01,100.7773
1988-08-01,100.7058
1988-09-01,100.602
1988-10-01,100.4893
1988-11-01,100.4022
1988-12-01,100.3471
1989-01-01,100.3298
1989-02-01,100.3373
1989-03-01,100.3514
1989-04-01,100.3773
1989-05-01,100.3851
1989-06-01,100.3539
1989-07-01,100.2902
1989-08-01,100.193
1989-09-01,100.0625
1989-10-01,99.9249
1989-11-01,99.81487
1989-12-01,99.73405
1990-01-01,99.66586
1990-02-01,99.61039
1990-03-01,99.59138
1990-04-01,99.61693
1990-05-01,99.6499
1990-06-01,99.65178
1990-07-01,99.60587
1990-08-01,99.51361
1990-09-01,99.38651
1990-10-01,99.2438
1990-11-01,99.10583
1990-12-01,99.01618
1991-01-01,99.00942
1991-02-01,99.10216
