DATE,JPNLOLITONOSTSAM
1980-01-01,101.0461
1980-02-01,100.5487
1980-03-01,100.0715
1980-04-01,99.63574
1980-05-01,99.25688
1980-06-01,98.96255
1980-07-01,98.7519
1980-08-01,98.63032
1980-09-01,98.61793
1980-10-01,98.70561
1980-11-01,98.87011
1980-12-01,99.09954
1981-01-01,99.36217
1981-02-01,99.63013
1981-03-01,99.87138
1981-04-01,100.0747
1981-05-01,100.2223
1981-06-01,100.3141
1981-07-01,100.3659
1981-08-01,100.4123
1981-09-01,100.465
1981-10-01,100.5297
1981-11-01,100.5938
1981-12-01,100.6308
1982-01-01,100.621
1982-02-01,100.5643
1982-03-01,100.469
1982-04-01,100.357
1982-05-01,100.2597
1982-06-01,100.1794
1982-07-01,100.1134
1982-08-01,100.0606
1982-09-01,100.0039
1982-10-01,99.93323
1982-11-01,99.84167
1982-12-01,99.73019
1983-01-01,99.61565
1983-02-01,99.48619
1983-03-01,99.39304
1983-04-01,99.35879
1983-05-01,99.38287
1983-06-01,99.45287
1983-07-01,99.52913
1983-08-01,99.61788
1983-09-01,99.70774
1983-10-01,99.78687
1983-11-01,99.83878
1983-12-01,99.85076
1984-01-01,99.82567
1984-02-01,99.77459
1984-03-01,99.71065
1984-04-01,99.63183
1984-05-01,99.52579
1984-06-01,99.38054
1984-07-01,99.22799
1984-08-01,99.08143
1984-09-01,98.96611
1984-10-01,98.94264
1984-11-01,99.04021
1984-12-01,99.26144
1985-01-01,99.55995
1985-02-01,99.82328
1985-03-01,100.0232
1985-04-01,100.1064
1985-05-01,100.0585
1985-06-01,99.90102
1985-07-01,99.67625
1985-08-01,99.42638
1985-09-01,99.18919
1985-10-01,98.97641
1985-11-01,98.7909
1985-12-01,98.65877
1986-01-01,98.5911
1986-02-01,98.58038
1986-03-01,98.61383
1986-04-01,98.68847
1986-05-01,98.78017
1986-06-01,98.87149
1986-07-01,98.95335
1986-08-01,99.01211
1986-09-01,99.04594
1986-10-01,99.06149
1986-11-01,99.08694
1986-12-01,99.15271
1987-01-01,99.25983
1987-02-01,99.42167
1987-03-01,99.66663
1987-04-01,100.005
1987-05-01,100.4105
1987-06-01,100.8318
1987-07-01,101.2141
1987-08-01,101.5192
1987-09-01,101.7291
1987-10-01,101.8517
1987-11-01,101.9142
1987-12-01,101.9293
1988-01-01,101.9313
1988-02-01,101.929
1988-03-01,101.909
1988-04-01,101.8824
1988-05-01,101.862
1988-06-01,101.8264
1988-07-01,101.7516
1988-08-01,101.6462
1988-09-01,101.5268
1988-10-01,101.4363
1988-11-01,101.4102
1988-12-01,101.4445
1989-01-01,101.5202
1989-02-01,101.611
1989-03-01,101.6758
1989-04-01,101.6618
1989-05-01,101.5871
1989-06-01,101.4899
1989-07-01,101.4031
1989-08-01,101.3538
1989-09-01,101.3466
1989-10-01,101.3839
1989-11-01,101.4552
1989-12-01,101.5469
1990-01-01,101.633
1990-02-01,101.6983
1990-03-01,101.7376
1990-04-01,101.751
1990-05-01,101.7373
1990-06-01,101.6967
1990-07-01,101.6219
1990-08-01,101.5016
1990-09-01,101.3309
1990-10-01,101.1051
1990-11-01,100.8469
1990-12-01,100.5912
1991-01-01,100.3481
1991-02-01,100.132
1991-03-01,99.94147
1991-04-01,99.76909
1991-05-01,99.61335
1991-06-01,99.45585
1991-07-01,99.30657
1991-08-01,99.17102
1991-09-01,99.06297
1991-10-01,98.96908
1991-11-01,98.87404
1991-12-01,98.77267
1992-01-01,98.66942
1992-02-01,98.56267
1992-03-01,98.46004
1992-04-01,98.36082
1992-05-01,98.26136
1992-06-01,98.16701
1992-07-01,98.06912
1992-08-01,97.97056
1992-09-01,97.88102
1992-10-01,97.81229
1992-11-01,97.78094
1992-12-01,97.8021
1993-01-01,97.88126
1993-02-01,98.01047
1993-03-01,98.17619
1993-04-01,98.34602
1993-05-01,98.49957
1993-06-01,98.61536
1993-07-01,98.69122
1993-08-01,98.73624
1993-09-01,98.74516
1993-10-01,98.74691
1993-11-01,98.78182
1993-12-01,98.88247
1994-01-01,99.07103
1994-02-01,99.31821
1994-03-01,99.60102
1994-04-01,99.89935
1994-05-01,100.1876
1994-06-01,100.4452
1994-07-01,100.6487
1994-08-01,100.7962
1994-09-01,100.8751
1994-10-01,100.9034
1994-11-01,100.8838
1994-12-01,100.8145
1995-01-01,100.6982
1995-02-01,100.5398
1995-03-01,100.3666
1995-04-01,100.2138
1995-05-01,100.1013
1995-06-01,100.0692
1995-07-01,100.1415
1995-08-01,100.3013
1995-09-01,100.5266
1995-10-01,100.7956
1995-11-01,101.0696
1995-12-01,101.3201
1996-01-01,101.5254
1996-02-01,101.6812
1996-03-01,101.801
1996-04-01,101.9161
1996-05-01,102.0084
1996-06-01,102.0786
1996-07-01,102.1373
1996-08-01,102.1609
1996-09-01,102.1536
1996-10-01,102.103
1996-11-01,102.0007
1996-12-01,101.8659
1997-01-01,101.7081
1997-02-01,101.5433
1997-03-01,101.3757
1997-04-01,101.2105
1997-05-01,101.04
1997-06-01,100.8403
1997-07-01,100.594
1997-08-01,100.2983
1997-09-01,99.96362
1997-10-01,99.59961
1997-11-01,99.2374
1997-12-01,98.90557
1998-01-01,98.60493
1998-02-01,98.32914
1998-03-01,98.07941
1998-04-01,97.86523
1998-05-01,97.69331
1998-06-01,97.56441
1998-07-01,97.47378
1998-08-01,97.42713
1998-09-01,97.43423
1998-10-01,97.51698
1998-11-01,97.68765
1998-12-01,97.94318
1999-01-01,98.26847
1999-02-01,98.63139
1999-03-01,98.98993
1999-04-01,99.33068
1999-05-01,99.63592
1999-06-01,99.91241
1999-07-01,100.1587
1999-08-01,100.3753
1999-09-01,100.5629
1999-10-01,100.7335
1999-11-01,100.8952
1999-12-01,101.0442
2000-01-01,101.1811
2000-02-01,101.2768
2000-03-01,101.3248
2000-04-01,101.3278
2000-05-01,101.2894
2000-06-01,101.2281
2000-07-01,101.1425
2000-08-01,101.0458
2000-09-01,100.9416
2000-10-01,100.8251
2000-11-01,100.6905
2000-12-01,100.5338
2001-01-01,100.3427
2001-02-01,100.1452
2001-03-01,99.94844
2001-04-01,99.74659
2001-05-01,99.54507
2001-06-01,99.33704
2001-07-01,99.13774
2001-08-01,98.95284
2001-09-01,98.79642
2001-10-01,98.69062
2001-11-01,98.64582
2001-12-01,98.6674
2002-01-01,98.75742
2002-02-01,98.90327
2002-03-01,99.06747
2002-04-01,99.22495
2002-05-01,99.34928
2002-06-01,99.41749
2002-07-01,99.44091
2002-08-01,99.43114
2002-09-01,99.3989
