DATE,KORLOLITONOSTSAM
1990-01-01,100.3781
1990-02-01,100.3715
1990-03-01,100.4204
1990-04-01,100.4705
1990-05-01,100.4843
1990-06-01,100.4416
1990-07-01,100.3218
1990-08-01,100.1299
1990-09-01,99.88917
1990-10-01,99.64392
1990-11-01,99.43713
1990-12-01,99.29508
1991-01-01,99.22407
1991-02-01,99.24281
1991-03-01,99.32446
1991-04-01,99.43149
1991-05-01,99.51479
1991-06-01,99.5264
1991-07-01,99.45872
1991-08-01,99.26754
1991-09-01,99.03596
1991-10-01,98.78488
1991-11-01,98.51978
1991-12-01,98.26791
1992-01-01,98.06779
1992-02-01,97.94599
1992-03-01,97.91026
1992-04-01,97.91624
1992-05-01,97.9398
1992-06-01,97.97066
1992-07-01,98.01041
1992-08-01,98.06782
1992-09-01,98.14886
1992-10-01,98.24663
1992-11-01,98.35623
1992-12-01,98.4621
1993-01-01,98.55393
1993-02-01,98.65975
1993-03-01,98.80616
1993-04-01,99.00475
1993-05-01,99.23624
1993-06-01,99.48415
1993-07-01,99.72922
1993-08-01,99.95616
1993-09-01,100.1514
1993-10-01,100.3075
1993-11-01,100.4261
1993-12-01,100.5138
1994-01-01,100.5817
1994-02-01,100.6684
1994-03-01,100.7879
1994-04-01,100.9371
1994-05-01,101.0921
1994-06-01,101.2418
1994-07-01,101.3854
1994-08-01,101.5175
1994-09-01,101.6301
1994-10-01,101.7154
1994-11-01,101.7484
1994-12-01,101.7144
1995-01-01,101.6265
1995-02-01,101.7083
1995-03-01,101.7743
1995-04-01,101.8217
1995-05-01,101.8492
1995-06-01,101.8535
1995-07-01,101.8215
1995-08-01,101.7468
1995-09-01,101.631
1995-10-01,101.4761
1995-11-01,101.2922
1995-12-01,101.0871
1996-01-01,100.871
1996-02-01,100.6533
1996-03-01,100.4188
1996-04-01,100.1474
1996-05-01,99.83544
1996-06-01,99.50164
1996-07-01,99.16929
1996-08-01,98.86246
1996-09-01,98.60639
1996-10-01,98.41882
1996-11-01,98.31025
1996-12-01,98.28764
1997-01-01,98.32644
1997-02-01,98.41386
1997-03-01,98.54199
1997-04-01,98.70541
1997-05-01,98.87379
1997-06-01,98.98746
1997-07-01,98.9689
1997-08-01,98.76723
1997-09-01,98.36855
1997-10-01,97.82442
1997-11-01,97.22906
1997-12-01,96.69269
1998-01-01,96.30566
1998-02-01,96.11056
1998-03-01,96.10858
1998-04-01,96.27166
1998-05-01,96.56806
1998-06-01,96.97057
1998-07-01,97.45147
1998-08-01,97.96886
1998-09-01,98.48404
1998-10-01,98.98288
1998-11-01,99.49768
1998-12-01,100.0704
1999-01-01,100.7116
1999-02-01,101.3961
1999-03-01,102.0788
1999-04-01,102.7114
1999-05-01,103.2619
1999-06-01,103.7105
1999-07-01,104.0336
1999-08-01,104.2027
1999-09-01,104.2185
1999-10-01,104.1023
1999-11-01,103.8944
1999-12-01,103.6053
2000-01-01,103.2621
2000-02-01,102.9013
2000-03-01,102.5741
2000-04-01,102.2981
2000-05-01,102.0453
2000-06-01,101.781
2000-07-01,101.4562
2000-08-01,101.0389
2000-09-01,100.5152
2000-10-01,99.91129
2000-11-01,99.28596
2000-12-01,98.70921
2001-01-01,98.23695
2001-02-01,97.93522
2001-03-01,97.81277
2001-04-01,97.81565
2001-05-01,97.8924
2001-06-01,98.02184
2001-07-01,98.21056
2001-08-01,98.45635
2001-09-01,98.76352
2001-10-01,99.15214
2001-11-01,99.61932
2001-12-01,100.1304
2002-01-01,100.6368
2002-02-01,101.0919
2002-03-01,101.451
2002-04-01,101.6617
2002-05-01,101.7204
2002-06-01,101.6582
2002-07-01,101.5152
2002-08-01,101.3077
2002-09-01,101.056
2002-10-01,100.7581
2002-11-01,100.4125
2002-12-01,100.012
2003-01-01,99.57375
2003-02-01,99.17341
2003-03-01,98.88036
2003-04-01,98.72429
2003-05-01,98.70998
2003-06-01,98.8238
2003-07-01,99.02741
2003-08-01,99.27836
2003-09-01,99.52494
2003-10-01,99.74094
2003-11-01,99.91652
2003-12-01,100.0492
2004-01-01,100.1397
2004-02-01,100.188
2004-03-01,100.2061
2004-04-01,100.2131
2004-05-01,100.2066
2004-06-01,100.1936
2004-07-01,100.1755
2004-08-01,100.1431
2004-09-01,100.0905
2004-10-01,100.017
2004-11-01,99.94228
2004-12-01,99.8852
2005-01-01,99.86563
2005-02-01,99.88847
2005-03-01,99.9287
2005-04-01,99.97472
2005-05-01,100.0462
2005-06-01,100.161
2005-07-01,100.3124
2005-08-01,100.4852
2005-09-01,100.649
2005-10-01,100.7787
2005-11-01,100.8489
2005-12-01,100.8489
2006-01-01,100.7784
2006-02-01,100.6607
2006-03-01,100.5212
2006-04-01,100.3806
2006-05-01,100.2559
2006-06-01,100.1707
2006-07-01,100.1482
2006-08-01,100.1852
2006-09-01,100.2387
2006-10-01,100.2746
2006-11-01,100.2787
2006-12-01,100.2698
2007-01-01,100.2738
2007-02-01,100.3195
2007-03-01,100.4128
2007-04-01,100.5562
2007-05-01,100.7282
2007-06-01,100.8947
2007-07-01,101.0109
2007-08-01,101.0354
2007-09-01,100.9555
2007-10-01,100.7615
2007-11-01,100.4696
2007-12-01,100.1115
2008-01-01,99.71808
2008-02-01,99.32866
2008-03-01,98.96822
2008-04-01,98.64278
2008-05-01,98.3515
2008-06-01,98.08997
2008-07-01,97.87083
2008-08-01,97.69781
2008-09-01,97.56779
2008-10-01,97.51102
2008-11-01,97.59189
2008-12-01,97.85365
2009-01-01,98.2935
2009-02-01,98.87259
2009-03-01,99.4949
2009-04-01,100.0993
2009-05-01,100.637
2009-06-01,101.0942
2009-07-01,101.471
2009-08-01,101.7588
2009-09-01,101.9444
2009-10-01,102.0261
2009-11-01,102.0285
2009-12-01,101.9723
2010-01-01,101.8698
2010-02-01,101.7453
2010-03-01,101.6224
2010-04-01,101.5046
2010-05-01,101.387
2010-06-01,101.2585
2010-07-01,101.108
2010-08-01,100.9449
2010-09-01,100.7827
2010-10-01,100.6477
2010-11-01,100.5693
2010-12-01,100.5495
2011-01-01,100.5613
2011-02-01,100.5537
2011-03-01,100.4878
2011-04-01,100.3641
2011-05-01,100.1889
2011-06-01,99.97445
2011-07-01,99.73615
2011-08-01,99.48284
2011-09-01,99.23576
2011-10-01,99.01688
2011-11-01,98.85568
2011-12-01,98.78608
2012-01-01,98.80441
2012-02-01,98.88676
2012-03-01,98.99255
2012-04-01,99.09224
2012-05-01,99.16283
2012-06-01,99.1992
2012-07-01,99.20136
2012-08-01,99.19427
2012-09-01,99.19456
2012-10-01,99.2046
2012-11-01,99.23412
2012-12-01,99.29376
2013-01-01,99.36996
2013-02-01,99.46997
2013-03-01,99.59445
2013-04-01,99.71236
2013-05-01,99.80254
2013-06-01,99.84888
2013-07-01,99.84323
2013-08-01,99.80825
2013-09-01,99.75478
2013-10-01,99.70557
2013-11-01,99.67764
2013-12-01,99.67764
2014-01-01,99.68923
2014-02-01,99.69753
2014-03-01,99.69424
2014-04-01,99.67538
2014-05-01,99.65078
2014-06-01,99.63548
2014-07-01,99.64223
2014-08-01,99.68581
2014-09-01,99.76497
2014-10-01,99.87617
2014-11-01,100.0112
2014-12-01,100.1449
2015-01-01,100.2473
2015-02-01,100.3179
2015-03-01,100.3571
2015-04-01,100.3657
2015-05-01,100.3501
2015-06-01,100.3201
2015-07-01,100.2959
2015-08-01,100.2816
2015-09-01,100.2777
2015-10-01,100.2735
2015-11-01,100.265
2015-12-01,100.2527
2016-01-01,100.2419
2016-02-01,100.2469
2016-03-01,100.2722
2016-04-01,100.3113
2016-05-01,100.3631
2016-06-01,100.4287
2016-07-01,100.5056
2016-08-01,100.5918
2016-09-01,100.6765
2016-10-01,100.754
2016-11-01,100.8386
2016-12-01,100.9396
2017-01-01,101.0452
2017-02-01,101.1392
2017-03-01,101.2055
2017-04-01,101.2337
2017-05-01,101.2227
2017-06-01,101.1799
2017-07-01,101.1024
2017-08-01,100.9975
2017-09-01,100.8728
2017-10-01,100.7338
2017-11-01,100.577
2017-12-01,100.4195
2018-01-01,100.2832
2018-02-01,100.1743
2018-03-01,100.0813
2018-04-01,100.0012
2018-05-01,99.92536
2018-06-01,99.84264
2018-07-01,99.75753
2018-08-01,99.67641
2018-09-01,99.59727
2018-10-01,99.51961
2018-11-01,99.45518
2018-12-01,99.4129
2019-01-01,99.38113
2019-02-01,99.35091
2019-03-01,99.30264
2019-04-01,99.22986
2019-05-01,99.15134
2019-06-01,99.08041
2019-07-01,99.01226
2019-08-01,98.96602
2019-09-01,98.95294
2019-10-01,98.98007
2019-11-01,99.03834
2019-12-01,99.10675
2020-01-01,99.15553
2020-02-01,99.19583
2020-03-01,99.2411
2020-04-01,99.30981
2020-05-01,99.41788
2020-06-01,99.58969
2020-07-01,99.81818
2020-08-01,100.088
2020-09-01,100.3787
2020-10-01,100.6702
2020-11-01,100.9564
2020-12-01,101.236
2021-01-01,101.5109
2021-02-01,101.7638
2021-03-01,101.9742
2021-04-01,102.1172
2021-05-01,102.1547
2021-06-01,102.0733
2021-07-01,101.8952
2021-08-01,101.6577
2021-09-01,101.3904
2021-10-01,101.131
2021-11-01,100.9144
2021-12-01,100.7485
2022-01-01,100.6152
2022-02-01,100.5094
2022-03-01,100.4229
2022-04-01,100.3378
2022-05-01,100.2337
2022-06-01,100.102
2022-07-01,99.95249
2022-08-01,99.78929
2022-09-01,99.59145
2022-10-01,99.35797
2022-11-01,99.11747
2022-12-01,98.91531
2023-01-01,98.77686
2023-02-01,98.72966
2023-03-01,98.78004
2023-04-01,98.90607
2023-05-01,99.08516
2023-06-01,99.28142
2023-07-01,99.45333
2023-08-01,99.60509
2023-09-01,99.7403
2023-10-01,99.86158
2023-11-01,99.97916
2023-12-01,100.0942
2024-01-01,100.204
