date,value
2010-01-04,11.61
2010-01-05,11.53
2010-01-06,11.58
2010-01-07,11.49
2010-01-08,11.53
2010-01-11,11.44
2010-01-12,11.42
2010-01-13,11.44
2010-01-14,11.42
2010-01-15,11.44
2010-01-18,11.48
2010-01-19,11.44
2010-01-20,11.44
2010-01-21,11.45
2010-01-22,11.43
2010-01-25,11.45
2010-01-26,11.4
2010-01-27,11.43
2010-01-28,11.5
2010-01-29,11.46
2010-02-01,11.49
2010-02-02,11.47
2010-02-03,11.47
2010-02-04,11.46
2010-02-05,11.42
2010-02-08,11.46
2010-02-09,11.46
2010-02-10,11.46
2010-02-11,11.38
2010-02-12,11.32
2010-02-16,11.32
2010-02-17,11.31
2010-02-18,11.31
2010-02-19,11.38
2010-02-22,11.4
2010-02-23,11.36
2010-02-24,11.34
2010-02-25,11.29
2010-02-26,11.3
2010-03-02,11.31
2010-03-03,11.29
2010-03-04,11.28
2010-03-05,11.29
2010-03-08,11.31
2010-03-09,11.29
2010-03-10,11.27
2010-03-11,11.16
2010-03-12,11.12
2010-03-15,11.12
2010-03-16,11.02
2010-03-17,10.96
2010-03-18,10.91
2010-03-19,10.91
2010-03-22,10.87
2010-03-23,10.97
2010-03-24,11.0
2010-03-25,10.89
2010-03-26,10.9
2010-03-29,10.95
2010-03-30,10.95
2010-03-31,10.93
2010-04-01,10.88
2010-04-02,10.88
2010-04-05,10.89
2010-04-06,10.89
2010-04-07,10.87
2010-04-08,10.79
2010-04-09,10.82
2010-04-12,10.9
2010-04-13,10.86
2010-04-14,10.89
2010-04-15,10.85
2010-04-16,10.78
2010-04-19,10.74
2010-04-20,10.71
2010-04-21,10.71
2010-04-22,10.69
2010-04-23,10.66
2010-04-26,10.65
2010-04-27,10.56
2010-04-28,10.52
2010-04-29,10.49
2010-04-30,10.51
2010-05-03,10.57
2010-05-04,10.58
2010-05-06,10.62
2010-05-07,10.52
2010-05-10,10.54
2010-05-11,10.47
2010-05-12,10.57
2010-05-13,10.59
2010-05-14,10.58
2010-05-17,10.58
2010-05-18,10.58
2010-05-19,10.58
2010-05-20,10.56
2010-05-24,10.48
2010-05-25,10.45
2010-05-26,10.49
2010-05-27,10.49
2010-05-28,10.51
2010-05-31,10.49
2010-06-01,10.48
2010-06-03,10.52
2010-06-04,10.56
2010-06-07,10.5
2010-06-08,10.5
2010-06-09,10.48
2010-06-10,10.52
2010-06-11,10.56
2010-06-14,10.58
2010-06-15,10.6
2010-06-16,10.59
2010-06-17,10.58
2010-06-18,10.6
2010-06-21,10.73
2010-06-22,10.75
2010-06-23,10.78
2010-06-24,10.76
2010-06-25,10.76
2010-06-28,10.79
2010-06-29,10.74
2010-06-30,10.72
2010-07-01,10.68
2010-07-02,10.69
2010-07-05,10.72
2010-07-06,10.7
2010-07-07,10.75
2010-07-08,10.79
2010-07-09,10.79
2010-07-12,10.81
2010-07-13,10.81
2010-07-14,10.83
2010-07-15,10.8
2010-07-16,10.79
2010-07-19,10.78
2010-07-20,10.78
2010-07-21,10.75
2010-07-22,10.71
2010-07-23,10.73
2010-07-26,10.75
2010-07-27,10.73
2010-07-28,10.73
2010-07-29,10.7
2010-07-30,10.7
2010-08-02,10.74
2010-08-03,10.74
2010-08-04,10.72
2010-08-05,10.75
2010-08-06,10.77
2010-08-09,10.79
2010-08-10,10.78
2010-08-11,10.71
2010-08-12,10.65
2010-08-13,10.63
2010-08-16,10.63
2010-08-17,10.64
2010-08-18,10.59
2010-08-19,10.56
2010-08-20,10.51
2010-08-23,10.52
2010-08-24,10.49
2010-08-25,10.49
2010-08-26,10.47
2010-08-27,10.48
2010-08-30,10.49
2010-08-31,10.47
2010-09-01,10.54
2010-09-02,10.5
2010-09-03,10.54
2010-09-06,10.58
2010-09-07,10.53
2010-09-08,10.51
2010-09-09,10.27
2010-09-10,10.32
2010-09-13,10.33
2010-09-14,10.29
2010-09-15,10.31
2010-09-16,10.27
2010-09-17,10.3
2010-09-20,10.34
2010-09-24,10.27
2010-09-27,10.25
2010-09-28,10.23
2010-09-29,10.21
2010-09-30,10.19
2010-10-01,10.14
2010-10-04,10.18
2010-10-05,10.17
2010-10-06,10.19
2010-10-07,10.19
2010-10-08,10.17
2010-10-11,10.18
2010-10-12,10.15
2010-10-13,10.17
2010-10-14,10.0
2010-10-15,9.98
2010-10-18,10.0
2010-10-19,10.13
2010-10-20,10.19
2010-10-21,10.22
2010-10-22,10.17
2010-10-25,10.22
2010-10-26,10.16
2010-10-27,10.19
2010-10-28,10.11
2010-10-29,10.13
2010-11-01,10.22
2010-11-02,10.26
2010-11-03,10.26
2010-11-04,10.32
2010-11-05,10.4
2010-11-08,10.39
2010-11-09,10.41
2010-11-10,10.36
2010-11-11,10.34
2010-11-12,10.32
2010-11-15,10.34
2010-11-16,10.23
2010-11-17,10.23
2010-11-18,10.22
2010-11-19,10.21
2010-11-22,10.24
2010-11-23,10.27
2010-11-24,10.21
2010-11-25,10.19
2010-11-26,10.2
2010-11-29,10.13
2010-11-30,10.1
2010-12-01,10.12
2010-12-02,10.11
2010-12-03,10.08
2010-12-06,10.07
2010-12-07,10.08
2010-12-08,10.18
2010-12-09,10.18
2010-12-10,10.17
2010-12-13,10.25
2010-12-14,10.26
2010-12-15,10.36
2010-12-16,10.32
2010-12-17,10.33
2010-12-20,10.32
2010-12-21,10.23
2010-12-22,10.17
2010-12-23,10.18
2010-12-24,10.19
2010-12-27,10.24
2010-12-28,10.25
2010-12-29,10.25
2010-12-30,10.26
2010-12-31,10.26
2011-01-03,10.31
2011-01-04,10.32
2011-01-05,10.33
2011-01-06,10.4
2011-01-07,10.41
2011-01-10,10.4
2011-01-11,10.42
2011-01-12,10.38
2011-01-13,10.47
2011-01-14,10.51
2011-01-17,10.53
2011-01-18,10.5
2011-01-19,10.61
2011-01-20,10.63
2011-01-21,10.64
2011-01-24,10.69
2011-01-25,10.7
2011-01-26,10.68
2011-01-27,10.66
2011-01-28,10.67
2011-01-31,10.74
2011-02-01,10.76
2011-02-07,10.86
2011-02-08,10.83
2011-02-09,10.79
2011-02-10,10.76
2011-02-11,10.75
2011-02-14,10.77
2011-02-15,10.75
2011-02-16,10.73
2011-02-17,10.76
2011-02-18,10.75
2011-02-21,10.76
2011-02-22,10.7
2011-02-23,10.7
2011-02-24,10.63
2011-02-25,10.65
2011-02-28,10.65
2011-03-02,10.66
2011-03-03,10.74
2011-03-04,10.75
2011-03-07,10.74
2011-03-08,10.72
2011-03-09,10.67
2011-03-10,10.55
2011-03-11,10.53
2011-03-14,10.48
2011-03-15,10.43
2011-03-16,10.5
2011-03-17,10.52
2011-03-18,10.52
2011-03-21,10.56
2011-03-22,10.54
2011-03-23,10.51
2011-03-24,10.51
2011-03-25,10.55
2011-03-28,10.56
2011-03-29,10.55
2011-03-30,10.58
2011-03-31,10.57
2011-04-01,10.52
2011-04-04,10.52
2011-04-05,10.53
2011-04-06,10.54
2011-04-07,10.53
2011-04-08,10.6
2011-04-11,10.61
2011-04-12,10.57
2011-04-13,10.58
2011-04-14,10.58
2011-04-15,10.57
2011-04-18,10.55
2011-04-19,10.55
2011-04-20,10.58
2011-04-21,10.61
2011-04-22,10.63
2011-04-25,10.66
2011-04-26,10.65
2011-04-27,10.65
2011-04-28,10.62
2011-04-29,10.59
2011-05-02,10.59
2011-05-03,10.59
2011-05-04,10.59
2011-05-06,10.55
2011-05-09,10.55
2011-05-11,10.53
2011-05-12,10.49
2011-05-13,10.48
2011-05-16,10.44
2011-05-17,10.45
2011-05-18,10.45
2011-05-19,10.45
2011-05-20,10.45
2011-05-23,10.41
2011-05-24,10.41
2011-05-25,10.4
2011-05-26,10.43
2011-05-27,10.42
2011-05-30,10.41
2011-05-31,10.42
2011-06-01,10.46
2011-06-02,10.4
2011-06-03,10.4
2011-06-07,10.36
2011-06-08,10.36
2011-06-09,10.39
2011-06-10,10.45
2011-06-13,10.45
2011-06-14,10.47
2011-06-15,10.46
2011-06-16,10.4
2011-06-17,10.45
2011-06-20,10.44
2011-06-21,10.45
2011-06-22,10.45
2011-06-23,10.45
2011-06-24,10.47
2011-06-27,10.47
2011-06-28,10.47
2011-06-29,10.5
2011-06-30,10.49
2011-07-01,10.5
2011-07-04,10.5
2011-07-05,10.48
2011-07-06,10.5
2011-07-07,10.5
2011-07-08,10.55
2011-07-11,10.51
2011-07-12,10.41
2011-07-13,10.42
2011-07-14,10.42
2011-07-15,10.4
2011-07-18,10.4
2011-07-19,10.41
2011-07-20,10.44
2011-07-21,10.44
2011-07-22,10.47
2011-07-25,10.5
2011-07-26,10.52
2011-07-27,10.51
2011-07-28,10.5
2011-07-29,10.54
2011-08-01,10.58
2011-08-02,10.55
2011-08-03,10.5
2011-08-04,10.45
2011-08-05,10.31
2011-08-08,10.3
2011-08-09,10.28
2011-08-10,10.15
2011-08-11,10.21
2011-08-12,10.19
2011-08-16,10.21
2011-08-17,10.24
2011-08-18,10.26
2011-08-19,10.19
2011-08-22,10.19
2011-08-23,10.22
2011-08-24,10.16
2011-08-25,10.16
2011-08-26,10.18
2011-08-29,10.21
2011-08-30,10.18
2011-08-31,10.19
2011-09-01,10.15
2011-09-02,10.15
2011-09-05,10.07
2011-09-06,10.07
2011-09-07,10.17
2011-09-08,10.12
2011-09-09,10.09
2011-09-14,10.05
2011-09-15,10.11
2011-09-16,10.14
2011-09-19,10.25
2011-09-20,10.23
2011-09-21,10.24
2011-09-22,10.23
2011-09-23,10.19
2011-09-26,10.25
2011-09-27,10.21
2011-09-28,10.28
2011-09-29,10.3
2011-09-30,10.3
2011-10-04,10.21
2011-10-05,10.19
2011-10-06,10.19
2011-10-07,10.19
2011-10-10,10.24
