date,value
2010-01-04,3.1
2010-01-05,3.11
2010-01-06,3.11
2010-01-07,3.12
2010-01-08,3.12
2010-01-11,3.12
2010-01-12,3.12
2010-01-13,3.12
2010-01-14,3.12
2010-01-15,3.12
2010-01-18,3.12
2010-01-19,3.12
2010-01-20,3.12
2010-01-21,3.12
2010-01-22,3.12
2010-01-25,3.12
2010-01-26,3.12
2010-01-27,3.12
2010-01-28,3.12
2010-01-29,3.12
2010-02-01,3.12
2010-02-02,3.12
2010-02-03,3.12
2010-02-04,3.12
2010-02-05,3.12
2010-02-08,3.12
2010-02-09,3.12
2010-02-10,3.12
2010-02-11,3.12
2010-02-12,3.12
2010-02-16,3.12
2010-02-17,3.12
2010-02-18,3.12
2010-02-19,3.12
2010-02-22,3.12
2010-02-23,3.12
2010-02-24,3.11
2010-02-25,3.11
2010-02-26,3.11
2010-03-02,3.11
2010-03-03,3.11
2010-03-04,3.11
2010-03-05,3.11
2010-03-08,3.11
2010-03-09,3.11
2010-03-10,3.11
2010-03-11,3.11
2010-03-12,3.1
2010-03-15,3.1
2010-03-16,3.09
2010-03-17,3.08
2010-03-18,3.07
2010-03-19,3.07
2010-03-22,3.06
2010-03-23,3.05
2010-03-24,3.03
2010-03-25,3.02
2010-03-26,3.01
2010-03-29,2.98
2010-03-30,2.95
2010-03-31,2.92
2010-04-01,2.91
2010-04-02,2.9
2010-04-05,2.88
2010-04-06,2.85
2010-04-07,2.83
2010-04-08,2.8
2010-04-09,2.77
2010-04-12,2.73
2010-04-13,2.72
2010-04-14,2.71
2010-04-15,2.69
2010-04-16,2.68
2010-04-19,2.66
2010-04-20,2.65
2010-04-21,2.64
2010-04-22,2.64
2010-04-23,2.64
2010-04-26,2.64
2010-04-27,2.64
2010-04-28,2.64
2010-04-29,2.64
2010-04-30,2.64
2010-05-03,2.64
2010-05-04,2.64
2010-05-06,2.64
2010-05-07,2.64
2010-05-10,2.63
2010-05-11,2.63
2010-05-12,2.63
2010-05-13,2.64
2010-05-14,2.65
2010-05-17,2.66
2010-05-18,2.67
2010-05-19,2.67
2010-05-20,2.68
2010-05-24,2.69
2010-05-25,2.7
2010-05-26,2.7
2010-05-27,2.71
2010-05-28,2.71
2010-05-31,2.71
2010-06-01,2.71
2010-06-03,2.71
2010-06-04,2.71
2010-06-07,2.71
2010-06-08,2.72
2010-06-09,2.72
2010-06-10,2.72
2010-06-11,2.72
2010-06-14,2.72
2010-06-15,2.72
2010-06-16,2.72
2010-06-17,2.72
2010-06-18,2.72
2010-06-21,2.72
2010-06-22,2.73
2010-06-23,2.73
2010-06-24,2.73
2010-06-25,2.73
2010-06-28,2.73
2010-06-29,2.73
2010-06-30,2.73
2010-07-01,2.73
2010-07-02,2.73
2010-07-05,2.73
2010-07-06,2.73
2010-07-07,2.73
2010-07-08,2.73
2010-07-09,2.86
2010-07-12,2.85
2010-07-13,2.84
2010-07-14,2.84
2010-07-15,2.84
2010-07-16,2.83
2010-07-19,2.83
2010-07-20,2.83
2010-07-21,2.83
2010-07-22,2.83
2010-07-23,2.83
2010-07-26,2.83
2010-07-27,2.83
2010-07-28,2.83
2010-07-29,2.83
2010-07-30,2.83
2010-08-02,2.83
2010-08-03,2.83
2010-08-04,2.84
2010-08-05,2.84
2010-08-06,2.84
2010-08-09,2.85
2010-08-10,2.86
2010-08-11,2.86
2010-08-12,2.86
2010-08-13,2.86
2010-08-16,2.86
2010-08-17,2.86
2010-08-18,2.86
2010-08-19,2.86
2010-08-20,2.86
2010-08-23,2.85
2010-08-24,2.85
2010-08-25,2.84
2010-08-26,2.84
2010-08-27,2.84
2010-08-30,2.84
2010-08-31,2.84
2010-09-01,2.84
2010-09-02,2.84
2010-09-03,2.84
2010-09-06,2.84
2010-09-07,2.84
2010-09-08,2.84
2010-09-09,2.83
2010-09-10,2.81
2010-09-13,2.81
2010-09-14,2.81
2010-09-15,2.81
2010-09-16,2.81
2010-09-17,2.81
2010-09-20,2.81
2010-09-24,2.81
2010-09-27,2.81
2010-09-28,2.81
