date,value
2010-01-01,273693584
2010-02-01,270659721
2010-03-01,272331061
2010-04-01,278873477
2010-05-01,270221038
2010-06-01,274218706
2010-07-01,285957848
2010-08-01,285353120
2010-09-01,289775214
2010-10-01,293347790
2010-11-01,290230708
2010-12-01,291570661
2011-01-01,295956219
2011-02-01,297667285
2011-03-01,298617571
2011-04-01,307198549
2011-05-01,305083958
2011-06-01,304484573
2011-07-01,311030779
2011-08-01,312194523
2011-09-01,303383685
2011-10-01,310975985
2011-11-01,308631299
2011-12-01,306402488
2012-01-01,311340552
2012-02-01,315803644
2012-03-01,315951551
2012-04-01,316836857
2012-05-01,310871842
2012-06-01,312378022
2012-07-01,314348164
2012-08-01,316884505
2012-09-01,322014520
2012-10-01,323461424
2012-11-01,326091468
2012-12-01,326968393
2013-01-01,328910278
2013-02-01,327395341
2013-03-01,327408423
2013-04-01,328799477
2013-05-01,328095419
2013-06-01,326439981
2013-07-01,329709314
2013-08-01,331093643
2013-09-01,336921772
2013-10-01,343225517
2013-11-01,345011747
2013-12-01,346459569
2014-01-01,348393811
2014-02-01,351791760
2014-03-01,354341349
2014-04-01,355845420
2014-05-01,360912745
2014-06-01,366545511
2014-07-01,368026376
2014-08-01,367534108
2014-09-01,364406672
2014-10-01,363723405
2014-11-01,363095393
2014-12-01,363592748
2015-01-01,362186186
2015-02-01,362370074
2015-03-01,362750264
2015-04-01,369902086
2015-05-01,371505613
2015-06-01,374749258
2015-07-01,370822336
2015-08-01,367938017
2015-09-01,368113633
2015-10-01,369600626
2015-11-01,368463398
2015-12-01,367961865
2016-01-01,367293330
2016-02-01,365758112
2016-03-01,369839889
2016-04-01,372481509
2016-05-01,370896643
2016-06-01,369889849
2016-07-01,371383929
2016-08-01,375459420
2016-09-01,377770474
2016-10-01,375166658
2016-11-01,371985331
2016-12-01,371101605
2017-01-01,374036338
2017-02-01,373908551
2017-03-01,375302146
2017-04-01,376573253
2017-05-01,378456235
2017-06-01,380568047
2017-07-01,383755561
2017-08-01,384839045
2017-09-01,384673968
2017-10-01,384462718
2017-11-01,387251220
2017-12-01,389266683
2018-01-01,395754579
2018-02-01,394798667
2018-03-01,396753590
2018-04-01,398421500
2018-05-01,398980563
2018-06-01,400298586
2018-07-01,402447534
2018-08-01,401131047
2018-09-01,402999746
2018-10-01,402747935
2018-11-01,402987219
2018-12-01,403694264
2019-01-01,405513163
2019-02-01,404673960
2019-03-01,405252892
2019-04-01,404029052
2019-05-01,401972476
2019-06-01,403071937
2019-07-01,403112528
2019-08-01,401483478
2019-09-01,403320096
2019-10-01,406323989
2019-11-01,407460269
2019-12-01,408816146
2020-01-01,409652586
2020-02-01,409171436
2020-03-01,400214398
2020-04-01,403982333
2020-05-01,407310604
2020-06-01,410754278
2020-07-01,416525863
2020-08-01,418950799
2020-09-01,420545100
2020-10-01,426509822
2020-11-01,436377224
2020-12-01,443098121
2021-01-01,442727709
2021-02-01,447557482
2021-03-01,446127385
2021-04-01,452309658
2021-05-01,456458881
2021-06-01,454105865
2021-07-01,458680900
2021-08-01,463933550
2021-09-01,463972259
2021-10-01,469207742
2021-11-01,463907617
2021-12-01,463118362
2022-01-01,461526656
2022-02-01,461766293
2022-03-01,457810337
2022-04-01,449297713
2022-05-01,447711119
2022-06-01,438278346
2022-07-01,438605367
2022-08-01,436432145
2022-09-01,416766652
2022-10-01,414005699
2022-11-01,416104905
2022-12-01,423163664
2023-01-01,429967671
2023-02-01,425286150
2023-03-01,426069328
2023-04-01,426683640
2023-05-01,420983378
2023-06-01,421453923
2023-07-01,421803807
2023-08-01,418301093
2023-09-01,414117817
2023-10-01,412873624
2023-11-01,417079898
2023-12-01,420147908
2024-01-01,415758762
2024-02-01,415738489
2024-03-01,419251325
2024-04-01,413260138
2024-05-01,412832077
2024-06-01,412210543
2024-07-01,413506683
2024-08-01,415916439
2024-09-01,419969772
2024-10-01,415689646
2024-11-01,415391699
2024-12-01,415603777
2025-01-01,411014873
2025-02-01,409210148
2025-03-01,409659446
2025-04-01,404672319
2025-05-01,404595704
2025-06-01,410202961
2025-07-01,411334711
2025-08-01,416285737
2025-09-01,422015555
2025-10-01,428819095
2025-11-01,430659280
2025-12-01,428054608
2026-01-01,425905754
2026-02-01,427624953
2026-03-01,423656488
2026-04-01,427875470
2026-05-01,426993548
