date,value
2021-03-10,1.013
2021-03-11,0.985
2021-03-12,0.99
2021-03-15,0.983
2021-03-16,0.904
2021-03-17,0.886
2021-03-18,0.875
2021-03-19,0.894
2021-03-22,0.922
2021-03-23,0.928
2021-03-24,0.93
2021-03-25,0.908
2021-03-26,0.917
2021-03-29,0.921
2021-03-30,0.943
2021-03-31,0.911
2021-04-01,0.915
2021-04-02,0.911
2021-04-05,0.948
2021-04-06,0.928
2021-04-07,0.936
2021-04-08,0.918
2021-04-09,0.93
2021-04-12,0.912
2021-04-13,0.928
2021-04-14,0.905
2021-04-15,0.93
2021-04-16,0.928
2021-04-19,0.917
2021-04-20,0.921
2021-04-21,0.905
2021-04-22,0.905
2021-04-23,0.911
2021-04-26,0.91
2021-04-27,0.907
2021-04-28,0.922
2021-04-29,0.936
2021-04-30,0.948
2021-05-03,0.951
2021-05-04,0.949
2021-05-06,0.927
2021-05-07,0.928
2021-05-10,0.931
2021-05-11,0.925
2021-05-12,0.932
2021-05-13,0.929
2021-05-14,0.93
2021-05-17,0.915
2021-05-18,0.903
2021-05-20,0.909
2021-05-21,0.898
2021-05-24,0.91
2021-05-25,0.924
2021-05-26,0.95
2021-05-27,0.925
2021-05-28,0.957
2021-05-31,0.995
2021-06-01,0.984
2021-06-02,0.997
2021-06-03,0.996
2021-06-04,1.03
2021-06-07,1.037
2021-06-08,1.04
2021-06-09,1.031
2021-06-10,1.14
2021-06-11,1.165
2021-06-14,1.139
2021-06-15,1.175
2021-06-16,1.17
2021-06-17,1.181
2021-06-18,1.184
2021-06-21,1.19
2021-06-22,1.176
2021-06-23,1.17
2021-06-24,1.212
2021-06-25,1.289
2021-06-28,1.324
2021-06-29,1.315
2021-06-30,1.3
2021-07-01,1.301
2021-07-02,1.304
2021-07-05,1.288
2021-07-06,1.301
2021-07-07,1.252
2021-07-08,1.208
2021-07-09,1.2
2021-07-12,1.197
2021-07-13,1.225
2021-07-14,1.196
2021-07-15,1.313
2021-07-16,1.297
2021-07-19,1.319
2021-07-20,1.278
2021-07-21,1.257
