date,value
2021-11-25,1.042
2021-11-26,1.041
2021-11-29,1.039
2021-11-30,1.062
2021-12-01,1.012
2021-12-02,0.868
2021-12-03,0.824
2021-12-06,0.828
2021-12-07,1.018
2021-12-08,1.019
2021-12-09,1.124
2021-12-10,1.107
2021-12-13,1.041
2021-12-14,1.01
2021-12-15,0.99
2021-12-16,0.984
2021-12-17,1.039
2021-12-20,1.039
2021-12-21,1.039
2021-12-22,1.012
2021-12-23,1.012
2021-12-24,1.06
2021-12-27,1.087
2021-12-28,1.105
2021-12-29,1.131
2021-12-30,1.148
2021-12-31,2.006
2022-01-03,1.09
2022-01-04,1.003
2022-01-05,1.002
2022-01-06,1.062
2022-01-07,1.109
2022-01-10,1.106
2022-01-11,1.077
2022-01-12,1.107
2022-01-13,1.109
2022-01-14,1.356
2022-01-17,1.306
2022-01-18,1.356
2022-01-19,1.387
2022-01-20,1.507
2022-01-21,1.857
2022-01-24,1.384
2022-01-25,1.401
2022-01-26,1.33
2022-01-27,1.205
2022-01-28,1.198
2022-02-03,1.162
2022-02-04,1.111
2022-02-07,0.987
2022-02-08,1.063
2022-02-09,1.062
2022-02-10,1.098
2022-02-11,1.226
2022-02-14,1.192
2022-02-15,1.191
2022-02-16,1.126
2022-02-17,1.127
2022-02-18,1.136
2022-02-21,1.223
2022-02-22,1.267
2022-02-23,1.269
2022-02-24,1.297
2022-02-25,1.336
2022-02-28,1.512
2022-03-02,1.401
2022-03-03,1.251
2022-03-04,1.053
2022-03-07,1.324
2022-03-08,1.323
2022-03-10,1.33
2022-03-11,1.361
2022-03-14,1.308
2022-03-15,1.285
2022-03-16,1.283
2022-03-17,1.207
2022-03-18,1.281
2022-03-21,1.282
2022-03-22,1.257
2022-03-23,1.222
2022-03-24,1.187
2022-03-25,1.19
2022-03-28,1.189
2022-03-29,1.163
2022-03-30,1.124
2022-03-31,1.411
2022-04-01,1.127
2022-04-04,1.148
2022-04-05,1.268
2022-04-06,1.268
2022-04-07,1.118
2022-04-08,1.058
2022-04-11,1.06
2022-04-12,1.057
2022-04-13,1.033
2022-04-14,1.275
2022-04-15,1.476
2022-04-18,1.45
2022-04-19,1.381
2022-04-20,1.38
2022-04-21,1.336
2022-04-22,1.391
2022-04-25,1.442
2022-04-26,1.434
2022-04-27,1.316
2022-04-28,1.275
2022-04-29,1.52
2022-05-02,1.479
2022-05-03,1.312
2022-05-04,1.297
2022-05-06,1.299
2022-05-09,1.253
2022-05-10,1.31
2022-05-11,1.308
2022-05-12,1.268
2022-05-13,1.268
2022-05-16,1.267
2022-05-17,1.394
2022-05-18,1.395
2022-05-19,1.488
2022-05-20,1.566
2022-05-23,1.577
2022-05-24,1.502
2022-05-25,1.551
2022-05-26,1.799
2022-05-27,1.775
2022-05-30,1.759
2022-05-31,1.901
2022-06-02,1.728
2022-06-03,1.485
2022-06-07,1.549
2022-06-08,1.539
2022-06-09,1.868
2022-06-10,1.843
2022-06-13,1.775
2022-06-14,1.716
2022-06-15,1.716
2022-06-16,1.757
2022-06-17,1.757
2022-06-20,1.73
2022-06-21,1.718
2022-06-22,1.723
2022-06-23,1.738
2022-06-24,1.863
2022-06-27,1.888
2022-06-28,1.885
2022-06-29,1.883
2022-06-30,2.72
2022-07-01,1.727
2022-07-04,1.484
2022-07-05,1.787
2022-07-06,1.787
2022-07-07,1.707
2022-07-08,1.684
2022-07-11,1.844
2022-07-12,1.884
2022-07-13,2.164
2022-07-14,2.176
2022-07-15,2.13
2022-07-18,2.138
2022-07-19,2.185
2022-07-20,2.14
2022-07-21,2.27
2022-07-22,2.228
2022-07-25,2.255
2022-07-26,2.237
2022-07-27,2.138
2022-07-28,2.119
2022-07-29,2.368
2022-08-01,2.298
2022-08-02,2.226
2022-08-03,2.175
2022-08-04,2.16
2022-08-05,2.183
2022-08-08,2.238
2022-08-09,2.253
2022-08-10,2.252
2022-08-11,2.296
2022-08-12,2.235
2022-08-16,2.209
2022-08-17,2.185
2022-08-18,2.192
2022-08-19,2.253
2022-08-22,2.285
2022-08-23,2.248
2022-08-24,2.286
2022-08-25,2.543
2022-08-26,2.474
2022-08-29,2.426
2022-08-30,2.438
2022-08-31,2.609
2022-09-01,2.486
2022-09-02,2.43
2022-09-05,2.404
2022-09-06,2.431
2022-09-07,2.43
2022-09-08,2.624
2022-09-13,2.55
2022-09-14,2.527
2022-09-15,2.504
2022-09-16,2.496
2022-09-19,2.481
2022-09-20,2.482
2022-09-21,2.507
2022-09-22,2.525
2022-09-23,2.568
2022-09-26,2.567
2022-09-27,2.564
2022-09-28,2.573
2022-09-29,2.594
2022-09-30,2.744
2022-10-04,2.666
2022-10-05,2.679
2022-10-06,2.591
2022-10-07,2.654
2022-10-11,2.727
2022-10-12,3.108
2022-10-13,3.107
2022-10-14,3.018
2022-10-17,3.048
2022-10-18,3.047
2022-10-19,3.073
2022-10-20,3.109
2022-10-21,3.106
2022-10-24,3.108
2022-10-25,3.123
2022-10-26,3.124
2022-10-27,3.021
2022-10-28,3.004
2022-10-31,3.047
2022-11-01,3.019
2022-11-02,2.894
2022-11-03,2.889
2022-11-04,2.847
2022-11-07,2.857
2022-11-08,2.885
2022-11-09,2.884
2022-11-10,3.108
2022-11-11,3.108
2022-11-14,3.039
2022-11-15,3.057
2022-11-16,3.038
2022-11-17,3.04
2022-11-18,3.038
2022-11-21,3.058
2022-11-22,3.075
2022-11-23,3.074
2022-11-24,3.257
2022-11-25,3.216
2022-11-28,3.191
2022-11-29,3.152
2022-11-30,3.155
2022-12-01,3.137
2022-12-02,3.046
2022-12-05,3.016
2022-12-06,3.061
2022-12-07,3.06
2022-12-08,3.298
2022-12-09,3.295
2022-12-12,3.274
2022-12-13,3.25
2022-12-14,3.231
2022-12-15,3.179
2022-12-16,3.139
2022-12-19,3.134
2022-12-20,3.139
2022-12-21,3.129
2022-12-22,3.128
2022-12-23,3.154
2022-12-26,3.153
2022-12-27,3.153
2022-12-28,3.16
2022-12-29,3.209
2022-12-30,3.479
2023-01-02,3.189
2023-01-03,2.981
2023-01-04,2.954
2023-01-05,2.925
2023-01-06,2.929
2023-01-09,2.926
2023-01-10,3.0
2023-01-11,3.0
2023-01-12,3.259
2023-01-13,3.468
2023-01-16,3.424
2023-01-17,3.418
2023-01-18,3.378
2023-01-19,3.385
2023-01-20,3.508
2023-01-25,3.481
2023-01-26,3.476
2023-01-27,3.373
2023-01-30,3.17
2023-01-31,3.176
2023-02-01,3.309
2023-02-02,3.208
2023-02-03,3.35
2023-02-06,3.348
2023-02-07,3.573
2023-02-08,3.573
2023-02-09,3.424
2023-02-10,3.433
2023-02-13,3.438
2023-02-14,3.394
2023-02-15,3.393
2023-02-16,3.388
2023-02-17,3.393
2023-02-20,3.395
2023-02-21,3.392
2023-02-22,3.393
2023-02-23,3.439
2023-02-24,3.441
2023-02-27,3.397
2023-02-28,3.402
2023-03-02,3.348
2023-03-03,3.354
2023-03-06,3.243
2023-03-07,3.376
2023-03-08,3.376
2023-03-09,3.552
2023-03-10,3.442
2023-03-13,3.4
2023-03-14,3.404
2023-03-15,3.393
2023-03-16,3.387
2023-03-17,3.383
2023-03-20,3.387
2023-03-21,3.389
2023-03-22,3.381
2023-03-23,3.397
2023-03-24,3.39
2023-03-27,3.387
2023-03-28,3.341
2023-03-29,3.353
2023-03-30,3.356
2023-03-31,3.599
2023-04-03,3.485
2023-04-04,3.42
2023-04-05,3.419
2023-04-06,3.344
2023-04-07,3.303
2023-04-10,3.312
2023-04-11,3.313
2023-04-12,3.313
2023-04-13,3.308
2023-04-14,3.439
2023-04-17,3.437
2023-04-18,3.39
2023-04-19,3.31
2023-04-20,3.32
2023-04-21,3.486
2023-04-24,3.525
2023-04-25,3.541
2023-04-26,3.504
2023-04-27,3.503
2023-04-28,3.567
2023-05-02,3.507
2023-05-03,3.549
2023-05-04,3.526
2023-05-08,3.594
2023-05-09,3.969
2023-05-10,3.967
2023-05-11,3.595
2023-05-12,3.569
2023-05-15,3.587
2023-05-16,3.629
2023-05-17,3.611
2023-05-18,3.657
2023-05-19,3.653
2023-05-22,3.609
2023-05-23,3.593
2023-05-24,3.593
2023-05-25,3.636
2023-05-26,3.582
2023-05-30,3.529
2023-05-31,3.595
2023-06-01,3.528
2023-06-02,3.522
2023-06-05,3.53
2023-06-07,3.53
2023-06-08,3.595
2023-06-09,3.612
2023-06-12,3.586
2023-06-13,3.551
2023-06-14,3.55
2023-06-15,3.585
2023-06-16,3.61
2023-06-19,3.61
2023-06-20,3.586
2023-06-21,3.604
2023-06-22,3.58
2023-06-23,3.619
2023-06-26,3.6
2023-06-27,3.532
2023-06-28,3.501
2023-06-29,3.523
2023-06-30,3.841
2023-07-03,3.516
2023-07-04,3.523
2023-07-05,3.521
2023-07-06,3.528
2023-07-07,3.584
2023-07-10,3.597
2023-07-11,3.577
2023-07-12,3.523
2023-07-13,3.549
2023-07-14,3.508
2023-07-17,3.508
2023-07-18,3.5
