DATE,USALOLITONOSTSAM
1980-01-01,98.57851
1980-02-01,98.29086
1980-03-01,98.01623
1980-04-01,97.86433
1980-05-01,97.91743
1980-06-01,98.20581
1980-07-01,98.66565
1980-08-01,99.18262
1980-09-01,99.6339
1980-10-01,99.9305
1980-11-01,100.0492
1980-12-01,100.0306
1981-01-01,99.94303
1981-02-01,99.8328
1981-03-01,99.72244
1981-04-01,99.58408
1981-05-01,99.39135
1981-06-01,99.15803
1981-07-01,98.91457
1981-08-01,98.66516
1981-09-01,98.39061
1981-10-01,98.10247
1981-11-01,97.81953
1981-12-01,97.5635
1982-01-01,97.32259
1982-02-01,97.07986
1982-03-01,96.8613
1982-04-01,96.70891
1982-05-01,96.63784
1982-06-01,96.65383
1982-07-01,96.74605
1982-08-01,96.90195
1982-09-01,97.12507
1982-10-01,97.41024
1982-11-01,97.76778
1982-12-01,98.2055
1983-01-01,98.7117
1983-02-01,99.26214
1983-03-01,99.82935
1983-04-01,100.3834
1983-05-01,100.8929
1983-06-01,101.3283
1983-07-01,101.6752
1983-08-01,101.9342
1983-09-01,102.1235
1983-10-01,102.2503
1983-11-01,102.3197
1983-12-01,102.3335
1984-01-01,102.2952
1984-02-01,102.195
1984-03-01,102.0264
1984-04-01,101.797
1984-05-01,101.5331
1984-06-01,101.2565
1984-07-01,100.9957
1984-08-01,100.7677
1984-09-01,100.5873
1984-10-01,100.4605
1984-11-01,100.3748
1984-12-01,100.3112
1985-01-01,100.2619
1985-02-01,100.2156
1985-03-01,100.1774
1985-04-01,100.1464
1985-05-01,100.1191
1985-06-01,100.0957
1985-07-01,100.0669
1985-08-01,100.041
1985-09-01,100.0225
1985-10-01,100.0172
1985-11-01,100.0307
1985-12-01,100.0593
1986-01-01,100.083
1986-02-01,100.091
1986-03-01,100.0841
1986-04-01,100.0704
1986-05-01,100.0543
1986-06-01,100.0257
1986-07-01,99.98146
1986-08-01,99.93508
1986-09-01,99.8949
1986-10-01,99.87063
1986-11-01,99.88251
1986-12-01,99.95435
1987-01-01,100.0953
1987-02-01,100.2845
1987-03-01,100.4816
1987-04-01,100.6614
1987-05-01,100.81
1987-06-01,100.9134
1987-07-01,100.9546
1987-08-01,100.9148
1987-09-01,100.7986
1987-10-01,100.6331
1987-11-01,100.4654
1987-12-01,100.3484
1988-01-01,100.2884
1988-02-01,100.2777
1988-03-01,100.3057
1988-04-01,100.3594
1988-05-01,100.4271
1988-06-01,100.4895
1988-07-01,100.5272
1988-08-01,100.5441
1988-09-01,100.5484
1988-10-01,100.5478
1988-11-01,100.5425
1988-12-01,100.5257
1989-01-01,100.477
1989-02-01,100.3802
1989-03-01,100.2417
1989-04-01,100.0857
1989-05-01,99.93597
1989-06-01,99.82004
1989-07-01,99.74884
1989-08-01,99.7208
1989-09-01,99.72266
1989-10-01,99.73515
1989-11-01,99.75607
1989-12-01,99.78288
1990-01-01,99.81333
1990-02-01,99.84049
1990-03-01,99.83984
1990-04-01,99.77232
1990-05-01,99.61871
1990-06-01,99.36127
1990-07-01,99.00511
1990-08-01,98.57829
1990-09-01,98.14633
1990-10-01,97.77141
1990-11-01,97.51247
1990-12-01,97.4102
1991-01-01,97.46426
1991-02-01,97.65934
1991-03-01,97.94866
1991-04-01,98.27773
1991-05-01,98.60797
1991-06-01,98.90974
1991-07-01,99.14071
1991-08-01,99.26601
1991-09-01,99.29153
1991-10-01,99.24661
1991-11-01,99.18011
1991-12-01,99.14919
1992-01-01,99.19389
1992-02-01,99.30666
1992-03-01,99.45885
1992-04-01,99.59687
1992-05-01,99.68439
1992-06-01,99.71067
1992-07-01,99.70096
1992-08-01,99.69196
1992-09-01,99.72227
1992-10-01,99.81342
1992-11-01,99.94527
1992-12-01,100.0635
1993-01-01,100.1212
1993-02-01,100.1061
1993-03-01,100.0242
1993-04-01,99.90348
1993-05-01,99.76301
1993-06-01,99.64481
1993-07-01,99.58023
1993-08-01,99.59232
1993-09-01,99.6864
1993-10-01,99.85351
1993-11-01,100.0658
1993-12-01,100.3008
1994-01-01,100.521
1994-02-01,100.7007
1994-03-01,100.8355
1994-04-01,100.9213
1994-05-01,100.9601
1994-06-01,100.9571
1994-07-01,100.9255
1994-08-01,100.8787
1994-09-01,100.818
1994-10-01,100.7366
1994-11-01,100.6139
1994-12-01,100.4399
1995-01-01,100.2097
1995-02-01,99.92545
1995-03-01,99.61501
1995-04-01,99.32603
1995-05-01,99.09779
1995-06-01,98.94574
1995-07-01,98.85793
1995-08-01,98.80331
1995-09-01,98.75618
1995-10-01,98.71662
1995-11-01,98.69784
1995-12-01,98.7131
1996-01-01,98.77291
1996-02-01,98.8839
1996-03-01,99.035
1996-04-01,99.19447
1996-05-01,99.3437
1996-06-01,99.46487
1996-07-01,99.54958
1996-08-01,99.61668
1996-09-01,99.6805
1996-10-01,99.74556
1996-11-01,99.81942
1996-12-01,99.89876
1997-01-01,99.99177
1997-02-01,100.106
1997-03-01,100.2291
1997-04-01,100.3569
1997-05-01,100.4846
1997-06-01,100.607
1997-07-01,100.7142
1997-08-01,100.7913
1997-09-01,100.843
1997-10-01,100.8702
1997-11-01,100.8681
1997-12-01,100.8357
1998-01-01,100.7889
1998-02-01,100.7279
1998-03-01,100.6364
1998-04-01,100.5117
1998-05-01,100.3554
1998-06-01,100.1778
1998-07-01,100.0065
1998-08-01,99.86337
1998-09-01,99.77712
1998-10-01,99.77876
1998-11-01,99.87112
1998-12-01,100.0213
1999-01-01,100.2065
1999-02-01,100.395
1999-03-01,100.5647
1999-04-01,100.7134
1999-05-01,100.8409
1999-06-01,100.9379
1999-07-01,101.0074
1999-08-01,101.0579
1999-09-01,101.1023
1999-10-01,101.148
1999-11-01,101.1954
1999-12-01,101.2284
2000-01-01,101.2235
2000-02-01,101.1658
2000-03-01,101.0802
2000-04-01,100.9746
2000-05-01,100.8442
2000-06-01,100.697
2000-07-01,100.5336
2000-08-01,100.3411
2000-09-01,100.1168
2000-10-01,99.84575
2000-11-01,99.53703
2000-12-01,99.20428
2001-01-01,98.90028
2001-02-01,98.66687
2001-03-01,98.51558
2001-04-01,98.43899
2001-05-01,98.41459
2001-06-01,98.39322
2001-07-01,98.35278
2001-08-01,98.29589
2001-09-01,98.25891
2001-10-01,98.30439
2001-11-01,98.45556
2001-12-01,98.69349
2002-01-01,98.9692
2002-02-01,99.23076
2002-03-01,99.42764
2002-04-01,99.5098
2002-05-01,99.45938
2002-06-01,99.28414
2002-07-01,99.03129
2002-08-01,98.76104
2002-09-01,98.51003
2002-10-01,98.31223
2002-11-01,98.18129
2002-12-01,98.0932
2003-01-01,98.02883
2003-02-01,97.99784
2003-03-01,98.02911
2003-04-01,98.1471
2003-05-01,98.34695
2003-06-01,98.60476
2003-07-01,98.90762
2003-08-01,99.2458
2003-09-01,99.60869
