날짜,개인,외국인,기관계,기관,기관,기관,기관,기관,기관,기타법인
날짜,개인,외국인,기관계,금융투자,보험,투신 (사모),은행,기타금융기관,연기금등,기타법인
26.06.05,-1219.0,3160.0,-1633.0,2787.0,167.0,-4597.0,-8.0,22.0,-4.0,-308.0
26.06.04,-959.0,2276.0,-1289.0,-1504.0,58.0,316.0,-17.0,23.0,-165.0,-28.0
26.06.02,398.0,-2558.0,2209.0,3851.0,548.0,-1782.0,-29.0,21.0,-400.0,-49.0
26.06.01,1801.0,-1527.0,-830.0,-1565.0,327.0,446.0,-13.0,45.0,-70.0,556.0
26.05.29,-130.0,5205.0,-4939.0,-7896.0,-183.0,3230.0,23.0,3.0,-116.0,-136.0
26.05.28,-1442.0,-1296.0,3630.0,5500.0,119.0,-2075.0,3.0,-10.0,93.0,-892.0
26.05.27,-55.0,244.0,-415.0,1192.0,144.0,-1802.0,5.0,52.0,-6.0,226.0
26.05.26,64.0,-242.0,201.0,-2772.0,-149.0,3236.0,-49.0,-7.0,-58.0,-23.0
26.05.22,2268.0,273.0,-2930.0,644.0,-80.0,-3570.0,-2.0,12.0,66.0,389.0
26.05.21,-707.0,-4429.0,4856.0,-5680.0,430.0,10250.0,9.0,-46.0,-107.0,280.0
