날짜,개인,외국인,기관계,기관,기관,기관,기관,기관,기관,기타법인
날짜,개인,외국인,기관계,금융투자,보험,투신 (사모),은행,기타금융기관,연기금등,기타법인
26.06.02,-4090.0,3401.0,1327.0,2445.0,-70.0,-551.0,-3.0,-15.0,-479.0,-637.0
26.06.01,-4916.0,8064.0,-2912.0,1104.0,-335.0,-2787.0,-6.0,-35.0,-853.0,-236.0
26.05.29,3094.0,115.0,-3140.0,-882.0,-232.0,-1427.0,-5.0,-180.0,-415.0,-69.0
26.05.28,381.0,3821.0,-4011.0,-1905.0,-22.0,-1775.0,-10.0,-25.0,-275.0,-192.0
26.05.27,6315.0,-847.0,-5411.0,-4915.0,-103.0,-632.0,-2.0,-132.0,373.0,-57.0
26.05.26,2306.0,-1031.0,-256.0,-758.0,-62.0,533.0,2.0,-125.0,153.0,-1018.0
26.05.22,-8793.0,5975.0,3010.0,1006.0,129.0,1232.0,18.0,-234.0,858.0,-192.0
26.05.21,-2509.0,1366.0,1391.0,337.0,1.0,1253.0,-5.0,-135.0,-60.0,-248.0
26.05.20,-580.0,2009.0,-1367.0,-317.0,8.0,-557.0,7.0,-143.0,-366.0,-62.0
26.05.19,1032.0,1307.0,-659.0,933.0,26.0,-1038.0,-6.0,-18.0,-557.0,-1680.0
