날짜_날짜,고객예탁금_고객예탁금,고객예탁금_고객예탁금.1,신용잔고_신용잔고,신용잔고_신용잔고.1,펀드_주식형,펀드_주식형.1,펀드_혼합형,펀드_혼합형.1,펀드_채권형,펀드_채권형.1
26.05.29,1315856.0,4538.0,374188.0,9595.0,3753755.0,63948.0,444348.0,1864.0,2172029.0,4792.0
26.05.28,1311318.0,25569.0,364593.0,3482.0,3689807.0,10419.0,442484.0,806.0,2176821.0,7133.0
26.05.27,1285750.0,39981.0,361111.0,4241.0,3700226.0,39584.0,441678.0,2952.0,2183954.0,6288.0
26.05.26,1245769.0,33316.0,356870.0,1048.0,3660642.0,57199.0,438726.0,2986.0,2177666.0,1548.0
26.05.22,1212452.0,11367.0,357919.0,1042.0,3603443.0,42418.0,435740.0,811.0,2176118.0,313.0
26.05.21,1223819.0,32620.0,358960.0,2418.0,3561025.0,179504.0,434929.0,4224.0,2175805.0,1345.0
26.05.20,1256440.0,13160.0,356542.0,3674.0,3381521.0,19917.0,430705.0,402.0,2174460.0,9939.0
26.05.19,1269599.0,60253.0,352868.0,5254.0,3401438.0,50421.0,430303.0,1287.0,2164521.0,6444.0
26.05.18,1329853.0,1256.0,358122.0,1764.0,3451859.0,4520.0,429016.0,1604.0,2170965.0,4089.0
26.05.15,1328597.0,6491.0,359886.0,915.0,3456379.0,95533.0,427412.0,227.0,2166876.0,6185.0
26.05.14,1335088.0,36113.0,358970.0,3946.0,3551912.0,50436.0,427639.0,2418.0,2160691.0,1374.0
26.05.13,1371201.0,2974.0,355024.0,2103.0,3501476.0,41995.0,425221.0,1584.0,2159317.0,1441.0
26.05.12,1374174.0,33187.0,357127.0,2483.0,3459481.0,11812.0,423637.0,826.0,2157876.0,2994.0
26.05.11,1340987.0,12004.0,354644.0,303.0,3471293.0,93370.0,422811.0,2279.0,2160870.0,7.0
26.05.08,1352991.0,16899.0,354340.0,4069.0,3377923.0,7456.0,420532.0,156.0,2160863.0,7884.0
26.05.07,1369890.0,62457.0,350271.0,636.0,3385379.0,33798.0,420376.0,2298.0,2152979.0,2273.0
26.05.06,1307434.0,59028.0,349635.0,3943.0,3351581.0,97945.0,418078.0,2505.0,2150706.0,212.0
26.05.04,1248406.0,815.0,353578.0,1195.0,3253636.0,87452.0,415573.0,14.0,2150918.0,1634.0
26.04.30,1247591.0,49730.0,352383.0,3560.0,3166184.0,10241.0,415587.0,2192.0,2152552.0,4835.0
26.04.29,1297321.0,23187.0,355943.0,3620.0,3176425.0,4787.0,413395.0,35.0,2147717.0,4470.0
