날짜,개인,외국인,기관계,금융투자,보험,투신 (사모),은행,기타금융기관,연기금등,기타법인,date,외국인합계,기관합계
06.06.01,-429.0,614.0,-185.0,-143.0,151.0,-23.0,79.0,-56.0,-193.0,0.0,2006-06-01,614.0,-185.0
06.06.02,-1071.0,-488.0,1559.0,-145.0,204.0,1664.0,-33.0,-5.0,-126.0,0.0,2006-06-02,-488.0,1559.0
06.06.05,-17.0,1031.0,-1014.0,69.0,175.0,-928.0,100.0,-3.0,-427.0,0.0,2006-06-05,1031.0,-1014.0
06.06.07,-1296.0,-2268.0,3564.0,90.0,272.0,3003.0,-204.0,-73.0,476.0,0.0,2006-06-07,-2268.0,3564.0
06.06.08,2701.0,-1415.0,-1286.0,438.0,586.0,-2601.0,-105.0,-1.0,397.0,0.0,2006-06-08,-1415.0,-1286.0
06.06.09,2808.0,-5369.0,2560.0,341.0,443.0,1556.0,-111.0,-28.0,360.0,0.0,2006-06-09,-5369.0,2560.0
06.06.12,149.0,-2480.0,2331.0,43.0,-18.0,1347.0,152.0,12.0,795.0,0.0,2006-06-12,-2480.0,2331.0
06.06.13,939.0,-1651.0,712.0,546.0,156.0,-374.0,-117.0,-90.0,592.0,0.0,2006-06-13,-1651.0,712.0
06.06.14,106.0,-5106.0,5000.0,233.0,62.0,3081.0,258.0,41.0,1325.0,0.0,2006-06-14,-5106.0,5000.0
06.06.15,1471.0,-1136.0,-335.0,232.0,133.0,-935.0,202.0,-33.0,66.0,0.0,2006-06-15,-1136.0,-335.0
06.06.16,-2375.0,-485.0,2860.0,-61.0,245.0,1669.0,238.0,44.0,725.0,0.0,2006-06-16,-485.0,2860.0
06.06.19,596.0,-376.0,-219.0,97.0,118.0,-1091.0,202.0,148.0,306.0,0.0,2006-06-19,-376.0,-219.0
06.06.20,1357.0,-629.0,-728.0,330.0,-40.0,789.0,-2272.0,-7.0,472.0,0.0,2006-06-20,-629.0,-728.0
06.06.21,1595.0,-2005.0,411.0,-171.0,-64.0,77.0,111.0,2.0,455.0,0.0,2006-06-21,-2005.0,411.0
06.06.22,-381.0,-154.0,535.0,285.0,-155.0,1517.0,178.0,-64.0,-1226.0,0.0,2006-06-22,-154.0,535.0
06.06.23,866.0,-1266.0,401.0,346.0,195.0,-1187.0,45.0,28.0,974.0,0.0,2006-06-23,-1266.0,401.0
06.06.26,-149.0,-1833.0,1982.0,-280.0,636.0,5314.0,-6851.0,62.0,3102.0,0.0,2006-06-26,-1833.0,1982.0
06.06.27,61.0,-458.0,397.0,-19.0,123.0,-387.0,354.0,12.0,314.0,0.0,2006-06-27,-458.0,397.0
06.06.28,994.0,-1329.0,335.0,207.0,181.0,-935.0,307.0,26.0,550.0,0.0,2006-06-28,-1329.0,335.0
06.06.29,-1565.0,-1831.0,3396.0,-353.0,204.0,2561.0,122.0,54.0,807.0,0.0,2006-06-29,-1831.0,3396.0
06.06.30,-3446.0,2013.0,1432.0,36.0,167.0,819.0,-17.0,35.0,393.0,0.0,2006-06-30,2013.0,1432.0
06.07.03,1281.0,-35.0,-1246.0,65.0,86.0,-1335.0,52.0,-11.0,-103.0,0.0,2006-07-03,-35.0,-1246.0
06.07.04,584.0,530.0,-1114.0,143.0,46.0,-1125.0,39.0,-2.0,-215.0,0.0,2006-07-04,530.0,-1114.0
06.07.05,-690.0,-144.0,834.0,-117.0,162.0,399.0,30.0,84.0,277.0,0.0,2006-07-05,-144.0,834.0
06.07.06,1608.0,-791.0,-818.0,282.0,78.0,-631.0,60.0,35.0,-642.0,0.0,2006-07-06,-791.0,-818.0
06.07.07,-84.0,561.0,-477.0,-75.0,-102.0,-102.0,130.0,22.0,-349.0,0.0,2006-07-07,561.0,-477.0
06.07.10,-1794.0,-2921.0,4715.0,-266.0,11.0,3736.0,48.0,116.0,1071.0,0.0,2006-07-10,-2921.0,4715.0
06.07.11,731.0,-443.0,-287.0,-24.0,-64.0,-555.0,132.0,54.0,169.0,0.0,2006-07-11,-443.0,-287.0
06.07.12,454.0,-1725.0,1270.0,82.0,15.0,1088.0,-67.0,30.0,122.0,0.0,2006-07-12,-1725.0,1270.0
06.07.13,1392.0,-674.0,-718.0,349.0,9.0,-1252.0,202.0,14.0,-40.0,0.0,2006-07-13,-674.0,-718.0
06.07.14,2887.0,-962.0,-1925.0,-362.0,-20.0,-1343.0,142.0,53.0,-394.0,0.0,2006-07-14,-962.0,-1925.0
06.07.18,65.0,-876.0,811.0,-48.0,-55.0,569.0,65.0,47.0,233.0,0.0,2006-07-18,-876.0,811.0
06.07.19,19.0,-1183.0,1164.0,49.0,87.0,998.0,74.0,29.0,-73.0,0.0,2006-07-19,-1183.0,1164.0
06.07.20,-1591.0,-1218.0,2809.0,-300.0,157.0,3109.0,-160.0,-10.0,13.0,0.0,2006-07-20,-1218.0,2809.0
06.07.21,-281.0,-672.0,953.0,104.0,177.0,417.0,-59.0,46.0,267.0,0.0,2006-07-21,-672.0,953.0
06.07.24,1849.0,-2373.0,524.0,372.0,113.0,-1.0,108.0,-3.0,-66.0,0.0,2006-07-24,-2373.0,524.0
06.07.25,-2968.0,-865.0,3833.0,-329.0,-42.0,3491.0,-71.0,6.0,778.0,0.0,2006-07-25,-865.0,3833.0
06.07.26,-580.0,-38.0,619.0,134.0,-39.0,440.0,-7.0,-42.0,133.0,0.0,2006-07-26,-38.0,619.0
06.07.27,-2009.0,-2333.0,4342.0,-95.0,-16.0,3898.0,-136.0,-14.0,705.0,0.0,2006-07-27,-2333.0,4342.0
06.07.28,-417.0,-787.0,1203.0,-337.0,24.0,1255.0,85.0,-1.0,177.0,0.0,2006-07-28,-787.0,1203.0
06.07.31,-101.0,1131.0,-1030.0,-673.0,43.0,-483.0,-280.0,-53.0,416.0,0.0,2006-07-31,1131.0,-1030.0
06.08.01,-305.0,-1696.0,2001.0,-209.0,55.0,1694.0,66.0,4.0,391.0,0.0,2006-08-01,-1696.0,2001.0
06.08.02,731.0,-2152.0,1421.0,-132.0,91.0,1027.0,177.0,10.0,247.0,0.0,2006-08-02,-2152.0,1421.0
06.08.03,367.0,208.0,-575.0,-392.0,78.0,-39.0,-727.0,-4.0,510.0,0.0,2006-08-03,208.0,-575.0
06.08.04,-940.0,-1336.0,2275.0,-390.0,86.0,1911.0,6.0,62.0,600.0,0.0,2006-08-04,-1336.0,2275.0
06.08.07,922.0,803.0,-1725.0,-19.0,4.0,-1741.0,29.0,12.0,-12.0,0.0,2006-08-07,803.0,-1725.0
06.08.08,-1682.0,-3064.0,4746.0,-110.0,63.0,4186.0,9.0,43.0,556.0,0.0,2006-08-08,-3064.0,4746.0
06.08.09,-706.0,-852.0,1559.0,16.0,121.0,923.0,-54.0,11.0,540.0,0.0,2006-08-09,-852.0,1559.0
06.08.10,2734.0,-885.0,-1849.0,358.0,231.0,-3049.0,122.0,-22.0,512.0,0.0,2006-08-10,-885.0,-1849.0
06.08.11,1226.0,-2449.0,1222.0,-167.0,194.0,765.0,14.0,-56.0,472.0,0.0,2006-08-11,-2449.0,1222.0
06.08.14,-558.0,-2598.0,3155.0,32.0,267.0,1897.0,-8.0,-34.0,1001.0,0.0,2006-08-14,-2598.0,3155.0
06.08.16,-1933.0,-1569.0,3501.0,-126.0,318.0,1644.0,43.0,77.0,1546.0,0.0,2006-08-16,-1569.0,3501.0
06.08.17,-2775.0,403.0,2372.0,-407.0,65.0,1463.0,-203.0,116.0,1338.0,0.0,2006-08-17,403.0,2372.0
06.08.18,-1444.0,1418.0,26.0,-655.0,-187.0,1070.0,-80.0,-29.0,-93.0,0.0,2006-08-18,1418.0,26.0
06.08.21,744.0,-481.0,-263.0,53.0,-14.0,-936.0,-27.0,75.0,586.0,0.0,2006-08-21,-481.0,-263.0
06.08.22,-378.0,-3321.0,3699.0,274.0,370.0,2443.0,13.0,-54.0,654.0,0.0,2006-08-22,-3321.0,3699.0
06.08.23,1446.0,-1577.0,130.0,345.0,44.0,-739.0,285.0,9.0,186.0,0.0,2006-08-23,-1577.0,130.0
06.08.24,1879.0,-2336.0,457.0,336.0,151.0,-482.0,307.0,-8.0,152.0,0.0,2006-08-24,-2336.0,457.0
06.08.25,-813.0,-1633.0,2446.0,-131.0,112.0,2000.0,284.0,-16.0,197.0,0.0,2006-08-25,-1633.0,2446.0
06.08.28,-902.0,-30.0,932.0,-15.0,-26.0,289.0,221.0,48.0,416.0,0.0,2006-08-28,-30.0,932.0
06.08.29,-1739.0,194.0,1545.0,-211.0,94.0,1034.0,200.0,-15.0,442.0,0.0,2006-08-29,194.0,1545.0
06.08.30,118.0,-382.0,264.0,582.0,138.0,-949.0,90.0,-6.0,409.0,0.0,2006-08-30,-382.0,264.0
06.08.31,-2973.0,-1254.0,4228.0,394.0,251.0,2594.0,128.0,-35.0,896.0,0.0,2006-08-31,-1254.0,4228.0
06.09.01,-35.0,-1215.0,1250.0,151.0,59.0,579.0,90.0,3.0,368.0,0.0,2006-09-01,-1215.0,1250.0
06.09.04,-486.0,1021.0,-535.0,-109.0,105.0,-125.0,-41.0,-60.0,-305.0,0.0,2006-09-04,1021.0,-535.0
06.09.05,-715.0,927.0,-212.0,16.0,-78.0,-300.0,-38.0,11.0,177.0,0.0,2006-09-05,927.0,-212.0
06.09.06,-375.0,1364.0,-989.0,172.0,146.0,-754.0,75.0,12.0,-640.0,0.0,2006-09-06,1364.0,-989.0
06.09.07,64.0,-2083.0,2018.0,244.0,157.0,1750.0,-121.0,-2.0,-10.0,0.0,2006-09-07,-2083.0,2018.0
06.09.08,-301.0,-781.0,1083.0,87.0,5.0,663.0,3.0,-15.0,340.0,0.0,2006-09-08,-781.0,1083.0
06.09.11,984.0,-304.0,-680.0,400.0,5.0,-508.0,176.0,-21.0,-733.0,0.0,2006-09-11,-304.0,-680.0
06.09.12,1814.0,-2905.0,1090.0,176.0,68.0,317.0,57.0,85.0,388.0,0.0,2006-09-12,-2905.0,1090.0
06.09.13,392.0,10.0,-402.0,-360.0,48.0,-156.0,56.0,-57.0,68.0,0.0,2006-09-13,10.0,-402.0
06.09.14,-1550.0,-1994.0,3544.0,331.0,246.0,-3424.0,201.0,13.0,6177.0,0.0,2006-09-14,-1994.0,3544.0
06.09.15,610.0,-2105.0,1495.0,326.0,-40.0,190.0,200.0,143.0,676.0,0.0,2006-09-15,-2105.0,1495.0
06.09.18,-3376.0,-727.0,4103.0,-230.0,53.0,2265.0,170.0,83.0,1762.0,0.0,2006-09-18,-727.0,4103.0
06.09.19,546.0,659.0,-1204.0,337.0,-14.0,-1479.0,176.0,41.0,-265.0,0.0,2006-09-19,659.0,-1204.0
06.09.20,2209.0,-3555.0,1345.0,191.0,67.0,432.0,162.0,1.0,492.0,0.0,2006-09-20,-3555.0,1345.0
06.09.21,367.0,-621.0,254.0,-260.0,87.0,863.0,-855.0,32.0,388.0,0.0,2006-09-21,-621.0,254.0
06.09.22,1555.0,-642.0,-913.0,308.0,48.0,1188.0,214.0,22.0,-2692.0,0.0,2006-09-22,-642.0,-913.0
06.09.25,-474.0,-2958.0,3432.0,7.0,246.0,2243.0,-51.0,26.0,961.0,0.0,2006-09-25,-2958.0,3432.0
06.09.26,836.0,311.0,-1147.0,-40.0,110.0,-1568.0,126.0,-43.0,268.0,0.0,2006-09-26,311.0,-1147.0
06.09.27,-2588.0,124.0,2464.0,-869.0,83.0,2519.0,-36.0,-7.0,774.0,0.0,2006-09-27,124.0,2464.0
06.09.28,-2321.0,-279.0,2600.0,596.0,201.0,1074.0,-57.0,31.0,755.0,0.0,2006-09-28,-279.0,2600.0
06.09.29,-1150.0,167.0,982.0,32.0,108.0,209.0,-54.0,-5.0,692.0,0.0,2006-09-29,167.0,982.0
06.10.02,-1204.0,-565.0,1770.0,-258.0,206.0,580.0,57.0,-10.0,1193.0,0.0,2006-10-02,-565.0,1770.0
06.10.04,222.0,1001.0,-1223.0,444.0,55.0,-1700.0,199.0,53.0,-272.0,0.0,2006-10-04,1001.0,-1223.0
06.10.09,-6019.0,4739.0,1279.0,-288.0,137.0,1209.0,182.0,60.0,-20.0,0.0,2006-10-09,4739.0,1279.0
06.10.10,-1270.0,1192.0,79.0,-193.0,262.0,702.0,-452.0,-24.0,-217.0,0.0,2006-10-10,1192.0,79.0
06.10.11,-566.0,262.0,305.0,94.0,-190.0,155.0,99.0,-3.0,149.0,0.0,2006-10-11,262.0,305.0
06.10.12,1371.0,-1377.0,6.0,220.0,48.0,-1088.0,44.0,24.0,758.0,0.0,2006-10-12,-1377.0,6.0
06.10.13,-1588.0,-353.0,1941.0,-247.0,117.0,1264.0,-187.0,-147.0,1140.0,0.0,2006-10-13,-353.0,1941.0
06.10.16,248.0,-333.0,85.0,-159.0,147.0,-164.0,-20.0,55.0,226.0,0.0,2006-10-16,-333.0,85.0
06.10.17,-845.0,-303.0,1148.0,-46.0,126.0,495.0,135.0,4.0,435.0,0.0,2006-10-17,-303.0,1148.0
06.10.18,-1066.0,-1773.0,2839.0,-120.0,-46.0,1446.0,259.0,58.0,1241.0,0.0,2006-10-18,-1773.0,2839.0
06.10.19,370.0,-489.0,120.0,50.0,124.0,-135.0,59.0,70.0,-48.0,0.0,2006-10-19,-489.0,120.0
06.10.20,770.0,-1750.0,980.0,-109.0,75.0,655.0,-173.0,141.0,390.0,0.0,2006-10-20,-1750.0,980.0
06.10.23,2082.0,-3609.0,1527.0,177.0,112.0,407.0,49.0,-44.0,825.0,0.0,2006-10-23,-3609.0,1527.0
06.10.24,938.0,40.0,-979.0,-17.0,106.0,-1104.0,-3.0,49.0,-10.0,0.0,2006-10-24,40.0,-979.0
06.10.25,-519.0,6.0,513.0,52.0,112.0,64.0,45.0,182.0,57.0,0.0,2006-10-25,6.0,513.0
06.10.26,174.0,571.0,-745.0,-431.0,-79.0,-203.0,-17.0,-8.0,-8.0,0.0,2006-10-26,571.0,-745.0
06.10.27,959.0,-1203.0,244.0,13.0,-121.0,-17.0,-5.0,-12.0,386.0,0.0,2006-10-27,-1203.0,244.0
06.10.30,-100.0,-1131.0,1231.0,-163.0,207.0,276.0,234.0,14.0,662.0,0.0,2006-10-30,-1131.0,1231.0
06.10.31,-193.0,-1416.0,1609.0,217.0,313.0,494.0,245.0,-74.0,413.0,0.0,2006-10-31,-1416.0,1609.0
06.11.01,221.0,-2030.0,1809.0,106.0,246.0,645.0,69.0,11.0,731.0,0.0,2006-11-01,-2030.0,1809.0
06.11.02,-703.0,-1673.0,2376.0,446.0,272.0,589.0,6.0,-30.0,1093.0,0.0,2006-11-02,-1673.0,2376.0
06.11.03,701.0,-2147.0,1446.0,626.0,285.0,161.0,74.0,-65.0,365.0,0.0,2006-11-03,-2147.0,1446.0
06.11.06,1435.0,-1803.0,367.0,125.0,89.0,-389.0,142.0,12.0,388.0,0.0,2006-11-06,-1803.0,367.0
06.11.07,-975.0,-808.0,1783.0,-78.0,81.0,1533.0,-94.0,-43.0,384.0,0.0,2006-11-07,-808.0,1783.0
06.11.08,351.0,-236.0,-115.0,-243.0,61.0,-556.0,38.0,-25.0,610.0,0.0,2006-11-08,-236.0,-115.0
06.11.09,-417.0,-411.0,828.0,814.0,193.0,-1473.0,148.0,16.0,1130.0,0.0,2006-11-09,-411.0,828.0
06.11.10,581.0,-917.0,336.0,284.0,66.0,-545.0,268.0,-9.0,272.0,0.0,2006-11-10,-917.0,336.0
06.11.13,1340.0,-820.0,-520.0,-446.0,163.0,-491.0,157.0,23.0,74.0,0.0,2006-11-13,-820.0,-520.0
06.11.14,-364.0,603.0,-239.0,-263.0,215.0,-1027.0,-16.0,-81.0,933.0,0.0,2006-11-14,603.0,-239.0
