티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
001440,대한전선,1623348,8108984,6485636,64964741500,317654025325,252689283825
454910,두산로보틱스,1348866,2968852,1619986,183977482750,419852509850,235875027100
005935,삼성전자우,3295514,3590117,294603,691115863750,751326814750,60210951000
402340,SK스퀘어,522212,563492,41280,656827747000,708792070500,51964323500
006400,삼성SDI,129429,199782,70353,73984627000,113909605500,39924978500
055550,신한지주,2322972,2646106,323134,246623778750,280793939550,34170160800
329180,HD현대중공업,171617,216000,44383,113539642500,142966033000,29426390500
004170,신세계,59945,99127,39182,39015922000,64214865500,25198943500
000150,두산,75070,89381,14311,127668631500,151925744500,24257113000
105560,KB금융,1718792,1857331,138539,292658122650,316333514700,23675392050
051910,LG화학,112982,178875,65893,38962336500,61871521250,22909184750
005490,POSCO홀딩스,111218,169028,57810,43204252750,65574500750,22370248000
047810,한국항공우주,207097,359989,152892,28621697500,49616866250,20995168750
034730,SK,150120,181238,31118,92595638000,112046881500,19451243500
047040,대우건설,1339034,2230646,891612,29130152450,48369799125,19239646675
018260,삼성에스디에스,169161,244578,75417,42597169000,61478714000,18881545000
010120,LS ELECTRIC,260984,337299,76315,58659108000,76039972750,17380864750
006260,LS,48202,91059,42857,19623430500,36981654250,17358223750
086280,현대글로비스,61111,143752,82641,12637812000,29633287500,16995475500
079550,LIG디펜스앤에어로스페이스,49240,72315,23075,35801898500,52549119500,16747221000
064400,LG씨엔에스,701187,842208,141021,82571572700,99099929250,16528356550
298040,효성중공업,14473,19442,4969,48927662000,65436676500,16509014500
353200,대덕전자,321857,423751,101894,49142850300,63782677950,14639827650
000720,현대건설,132554,245046,112492,17341793400,31961218800,14619425400
034220,LG디스플레이,2676188,3543858,867670,40572614145,53837266535,13264652390
272210,한화시스템,177285,318501,141216,16634939400,29844264700,13209325300
007660,이수페타시스,499774,605806,106032,60678054600,73211417200,12533362600
000810,삼성화재,300285,317406,17121,208849028698,220812390698,11963362000
373220,LG에너지솔루션,196001,220530,24529,81027930750,91174198000,10146267250
010060,OCI홀딩스,60634,94304,33670,17907175250,27744510000,9837334750
086790,하나금융지주,588403,661193,72790,72449426950,81481081950,9031655000
062040,산일전기,108907,147329,38422,23781811000,31999689250,8217878250
000815,삼성화재우,17573,36665,19092,7222247000,15074037500,7851790500
267250,HD현대,74336,99372,25036,20125504500,26931658000,6806153500
375500,DL이앤씨,197209,294037,96828,13944715800,20671066800,6726351000
032830,삼성생명,351654,368097,16443,143181186769,149784449769,6603263000
021240,코웨이,252998,321900,68902,24044306800,30613247500,6568940700
011200,HMM,498594,804754,306160,9695246270,15651466625,5956220355
003550,LG,353753,399445,45692,42954889200,48540273000,5585383800
066575,LG전자우,135711,191749,56038,13226871000,18662889200,5436018200
352820,하이브,54817,79174,24357,11457406500,16554218750,5096812250
006340,대원전선,555529,1027448,471919,5828696715,10725653825,4896957110
064350,현대로템,175232,199975,24743,33398520750,38056638650,4658117900
298020,효성티앤씨,8236,21685,13449,2806896000,7364642250,4557746250
000500,가온전선,19307,33649,14342,5952543000,10341009000,4388466000
001430,세아베스틸지주,75145,162137,86992,3679777800,7928809925,4249032125
020150,롯데에너지머티리얼즈,125127,200184,75057,6874545400,11036260150,4161714750
323410,카카오뱅크,512328,689863,177535,11706804900,15752701350,4045896450
077970,STX엔진,58495,169588,111093,1977210575,5720956025,3743745450
000270,기아,410262,433928,23666,65355416525,69094127925,3738711400
066970,엘앤에프,105771,129668,23897,14901873350,18207389250,3305515900
032640,LG유플러스,404089,612013,207924,6158056195,9327068035,3169011840
006360,GS건설,306523,422025,115502,8385790225,11538169075,3152378850
012450,한화에어로스페이스,123840,126891,3051,129261554500,132347008500,3085454000
475150,SK이터닉스,87266,174120,86854,3083333600,6142652300,3059318700
001820,삼화콘덴서,92731,122387,29656,10276506700,13228871850,2952365150
229640,LS에코에너지,36554,81342,44788,2205622500,4900168650,2694546150
103140,풍산,32437,69066,36629,2336681500,4966055300,2629373800
103590,일진전기,107567,139293,31726,8682617350,11242868900,2560251550
489790,한화비전,297602,330437,32835,21627532700,24143384750,2515852050
024110,기업은행,518468,639158,120690,10682525925,13184368800,2501842875
178920,PI첨단소재,21891,136035,114144,479096750,2966825250,2487728500
003490,대한항공,486956,585546,98590,12114197875,14599786000,2485588125
092220,KEC,1685835,2108824,422989,9907217885,12385187040,2477969155
195870,해성디에스,56193,85423,29230,4248276750,6456122100,2207845350
120110,코오롱인더,85686,116795,31109,5607431000,7587264400,1979833400
002380,KCC,16401,19771,3370,8904865000,10744827500,1839962500
377300,카카오페이,86144,124140,37996,3914904250,5655184150,1740279900
002020,코오롱,39027,71319,32292,2062155350,3726886800,1664731450
011210,현대위아,60373,81354,20981,4758378300,6410052850,1651674550
00680K,미래에셋증권2우B,260823,370172,109349,3880084485,5515620250,1635535765
001740,SK네트웍스,2517227,2695492,178265,28645136665,30232521715,1587385050
271560,오리온,78233,89778,11545,10355000750,11891575300,1536574550
047050,포스코인터내셔널,190835,215582,24747,11037462350,12466772350,1429310000
457190,이수스페셜티케미컬,39384,56502,17118,3381314350,4805529650,1424215300
005850,에스엘,72889,93243,20354,5021692900,6374136300,1352443400
025540,한국단자,7399,24220,16821,551289800,1794255700,1242965900
052690,한전기술,39411,49321,9910,4959190050,6172530200,1213340150
100090,SK오션플랜트,115479,191989,76510,1822093365,3033975610,1211882245
006405,삼성SDI우,4000,8851,4851,1003350250,2214313750,1210963500
003280,흥아해운,1448622,2060848,612226,2821597256,4004693498,1183096242
007340,DN오토모티브,77801,106213,28412,3168373450,4326131675,1157758225
003160,디아이,130892,173634,42742,3453080075,4582675450,1129595375
