티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
009150,삼성전기,388413,487709,99296,677257966500,847653508000,170395541500
042700,한미반도체,311626,476842,165216,88952265500,136814513750,47862248250
011070,LG이노텍,185678,220858,35180,215265998500,257450381500,42184383000
035420,NAVER,629211,765117,135906,159391298750,194445285500,35053986750
071050,한국금융지주,67531,172952,105421,16917758750,43325815750,26408057000
000990,DB하이텍,128866,247632,118766,22113762300,42651700500,20537938200
005940,NH투자증권,372757,930066,557309,11839599775,29578700500,17739100725
007810,코리아써키트,61514,204239,142725,7115303250,23959798700,16844495450
003230,삼양식품,6888,20465,13577,7812422500,23445093000,15632670500
055550,신한지주,477665,615407,137742,50738512000,65471111750,14732599750
138040,메리츠금융지주,48794,184305,135511,5234799000,19786807850,14552008850
336260,두산퓨얼셀,13537,182727,169190,1130936650,15677052750,14546116100
005935,삼성전자우,253523,304088,50565,53635854250,64826038750,11190184500
023530,롯데쇼핑,50358,113420,63062,8643689050,19493200800,10849511750
001040,CJ,41506,97146,55640,7440722900,17500932450,10060209550
443060,HD현대마린솔루션,32000,75837,43837,7036179250,16931760250,9895581000
032830,삼성생명,78314,101422,23108,31835052750,41438932500,9603879750
373220,LG에너지솔루션,117947,140586,22639,48746991000,58122312000,9375321000
009420,한올바이오파마,94965,241341,146376,5551648550,14108540250,8556891700
016360,삼성증권,137933,200866,62933,17142150900,24853273600,7711122700
329180,HD현대중공업,80123,91595,11472,53055010500,60729246500,7674236000
138930,BNK금융지주,170296,607624,437328,2950890155,10578581900,7627691745
267270,HD건설기계,14940,63437,48497,2215764350,9406863950,7191099600
028050,삼성E&A,147995,290743,142748,7063844650,13941024325,6877179675
008770,호텔신라,23727,145439,121712,1314778050,8091886650,6777108600
030000,제일기획,56812,408653,351841,1038638690,7482210695,6443572005
001820,삼화콘덴서,9356,61528,52172,1003399200,6891102250,5887703050
033780,KT&G,45087,76746,31659,8096689000,13778349350,5681660350
207940,삼성바이오로직스,8881,13028,4147,11931938000,17550297000,5618359000
036570,NC,18573,38310,19737,5182848750,10729561000,5546712250
009830,한화솔루션,220973,358295,137322,8458252950,13792844800,5334591850
086790,하나금융지주,256145,296510,40365,31521282650,36552517200,5031234550
499790,GS피앤엘,7957,106626,98669,386120600,5102874100,4716753500
259960,크래프톤,27928,46070,18142,7143132500,11853761250,4710628750
483650,달바글로벌,3807,26877,23070,742887300,5274056050,4531168750
034230,파라다이스,156400,445053,288653,2387226230,6838753195,4451526965
085620,미래에셋생명,82868,294049,211181,1762729735,6151938500,4389208765
064350,현대로템,106596,128533,21937,20286886500,24504175950,4217289450
004710,한솔테크닉스,44458,373168,328710,546586740,4677608275,4131021535
069960,현대백화점,80550,107847,27297,11757608900,15772982150,4015373250
010950,S-Oil,31352,66146,34794,3503456300,7408053750,3904597450
017670,SK텔레콤,272522,310043,37521,29435074750,33299346200,3864271450
039490,키움증권,29030,39347,10317,10656624750,14504795750,3848171000
316140,우리금융지주,374568,498254,123686,11736736225,15583555925,3846819700
006110,삼아알미늄,18603,65790,47187,1358279500,4875178750,3516899250
088980,맥쿼리인프라,141618,443727,302109,1562994040,4897922520,3334928480
003550,LG,197586,223876,26290,23929552400,27170920600,3241368200
161890,한국콜마,23506,61872,38366,1958546300,5176263300,3217717000
097230,HJ중공업,5433,152821,147388,116999450,3328728900,3211729450
010140,삼성중공업,1005803,1116940,111137,28049776600,31133767525,3083990925
181710,NHN,49382,107861,58479,2367290925,5220248975,2852958050
028670,팬오션,140673,674371,533698,711788114,3436123010,2724334896
161390,한국타이어앤테크놀로지,49820,88645,38825,3360091950,5994197700,2634105750
383220,F&F,22565,55176,32611,1653460600,4060619000,2407158400
112610,씨에스윈드,47882,100837,52955,2098800125,4429186025,2330385900
336370,솔루스첨단소재,117501,306642,189141,1295546340,3380619460,2085073120
294870,IPARK현대산업개발,19892,122858,102966,386618430,2401230310,2014611880
012330,현대모비스,183934,185511,1577,126816387500,128687533000,1871145500
323410,카카오뱅크,150154,230630,80476,3415015525,5273923250,1858907725
282330,BGF리테일,7087,20241,13154,926324850,2686745200,1760420350
006040,동원산업,5092,53635,48543,172839650,1829351950,1656512300
079550,LIG디펜스앤에어로스페이스,26100,28362,2262,18963831000,20601358500,1637527500
017960,한국카본,59310,109549,50239,1921041925,3556686250,1635644325
093370,후성,119379,256963,137584,1373837675,2952101725,1578264050
001120,LX인터내셔널,25295,64268,38973,997955550,2553397050,1555441500
001450,현대해상,106093,144592,38499,3773526975,5148550750,1375023775
000370,한화손해보험,15304,227010,211706,92423295,1376615630,1284192335
032350,롯데관광개발,27465,94484,67019,505828990,1737652400,1231823410
012450,한화에어로스페이스,34954,35990,1036,36331626500,37544043500,1212417000
009155,삼성전기우,1683,3791,2108,996949500,2181464500,1184515000
489790,한화비전,50948,66632,15684,3706669100,4890389950,1183720850
082740,한화엔진,77207,96358,19151,4323177850,5435599100,1112421250
000240,한국앤컴퍼니,13993,57188,43195,345287125,1411781600,1066494475
120110,코오롱인더,13613,29485,15872,879838950,1936051500,1056212550
279570,케이뱅크,45548,232551,187003,258224470,1304900835,1046676365
003570,SNT다이내믹스,9415,30986,21571,405583875,1338595900,933012025
082640,동양생명,6119,126811,120692,47354150,976562305,929208155
090460,비에이치,86629,115618,28989,2433992200,3321966200,887974000
005850,에스엘,21314,33327,12013,1455054300,2313318600,858264300
007070,GS리테일,26095,62010,35915,614438250,1468617650,854179400
075580,세진중공업,1692,61253,59561,24216270,872404950,848188680
005300,롯데칠성,8119,15765,7646,864901600,1690777800,825876200
204320,HL만도,48329,63134,14805,2630044750,3448684050,818639300
00104K,CJ4우(전환),868,5844,4976,136037700,948250300,812212600
462870,시프트업,5659,32076,26417,172918900,977459050,804540150
006650,대한유화,8673,15173,6500,1054680850,1851316000,796635150
003030,세아제강지주,6008,11153,5145,847010300,1596596900,749586600
114090,GKL,49785,113420,63635,574557085,1323671505,749114420
053690,한미글로벌,1983,40912,38929,36839620,762278850,725439230
105630,한세실업,34997,111315,76318,305335325,978310040,672974715
000210,DL,9487,21732,12245,471215200,1084603425,613388225
375500,DL이앤씨,51846,60082,8236,3660365300,4251327050,590961750
018880,한온시스템,463468,585862,122394,2135081057,2720119044,585037987
003470,유안타증권,20238,131898,111660,103993900,673659970,569666070
011210,현대위아,19510,26467,6957,1533178450,2102166650,568988200
0126Z0,삼성에피스홀딩스,3368,4642,1274,1496227500,2063829000,567601500
001200,유진투자증권,2554,119123,116569,11971235,559709930,547738695
006360,GS건설,87998,106908,18910,2392852525,2926940600,534088075
192080,더블유게임즈,28251,35481,7230,1991387700,2509978800,518591100
051900,LG생활건강,9140,11195,2055,2247227250,2758249250,511022000
071970,HD현대마린엔진,26717,34196,7479,1750654500,2254625450,503970950
002960,한국쉘석유,1169,2125,956,583438500,1078039000,494600500
306200,세아제강,3849,7357,3508,531394650,1024116050,492721400
023590,다우기술,1646,13993,12347,64177050,545372550,481195500
145720,덴티움,1326,11364,10038,59796675,514263125,454466450
004370,농심,2243,3411,1168,841199500,1280787750,439588250
079160,CJ CGV,10041,107889,97848,44891630,484145868,439254238
030200,KT,166281,173938,7657,8944998850,9381004650,436005800
001500,현대차증권,978,46640,45662,9277690,444621860,435344170
014680,한솔케미칼,8198,9858,1660,2127262750,2558764750,431502000
009450,경동나비엔,746,6749,6003,50205300,456220700,406015400
006280,녹십자,2780,5808,3028,359403700,744393100,384989400
018670,SK가스,1155,2852,1697,258429000,642102000,383673000
005880,대한해운,4147,192035,187888,8410516,388617620,380207104
003530,한화투자증권,13563,74478,60915,81355475,444303810,362948335
064960,SNT모티브,2570,15257,12687,72840650,435765400,362924750
001530,DI동일,7385,21985,14600,171067700,521514350,350446650
003540,대신증권,1426,13066,11640,43198350,392866050,349667700
031430,신세계인터내셔날,1769,26345,24576,24729940,371587140,346857200
016880,웅진,66234,233479,167245,134799944,476098406,341298462
108670,LX하우시스,1557,11164,9607,50344900,360554525,310209625
005440,현대지에프홀딩스,64578,88477,23899,809279820,1113261040,303981220
091810,트리니티항공,6556,376927,370371,5232979,306649925,301416946
02826K,삼성물산우B,621,1867,1246,143768750,435630000,291861250
034310,NICE,5055,27167,22112,62562220,336929620,274367400
001510,SK증권,18788,100934,82146,67133360,339143180,272009820
051915,LG화학우,793,2498,1705,124263150,391205600,266942450
280360,롯데웰푸드,1872,4282,2410,201277650,464702800,263425150
010780,아이에스동서,2520,12446,9926,65051900,324244100,259192200
005090,SGC에너지,9797,14889,5092,458457000,709346700,250889700
001230,동국홀딩스,100053,238079,138026,174252978,418355699,244102721
03473K,SK우,7,652,645,2631500,245694250,243062750
272450,진에어,7706,49509,41803,43750880,281467190,237716310
009240,한샘,4408,12053,7645,134367025,368322025,233955000
251270,넷마블,33269,38563,5294,1392661400,1619289325,226627925
000120,CJ대한통운,19124,21793,2669,1555360000,1775536700,220176700
058650,세아홀딩스,58,1567,1509,8375800,227912700,219536900
