시간_시간,차익거래_매수,차익거래_매도,차익거래_순매수,비차익거래_매수,비차익거래_매도,비차익거래_순매수,전체_매수,전체_매도,전체_순매수
26.06.02,101.0,2.0,100.0,35964.0,33553.0,2411.0,36065.0,33555.0,2511.0
26.06.01,222.0,0.0,222.0,40683.0,34152.0,6531.0,40905.0,34152.0,6753.0
26.05.29,2.0,0.0,2.0,38065.0,38833.0,-767.0,38067.0,38833.0,-765.0
26.05.28,0.0,0.0,0.0,37828.0,35081.0,2747.0,37828.0,35081.0,2747.0
26.05.27,203.0,22.0,181.0,38739.0,40076.0,-1337.0,38942.0,40098.0,-1156.0
26.05.26,51.0,42.0,9.0,40320.0,41482.0,-1162.0,40371.0,41524.0,-1153.0
26.05.22,357.0,0.0,357.0,40687.0,34587.0,6100.0,41044.0,34587.0,6457.0
26.05.21,119.0,97.0,22.0,33529.0,31372.0,2157.0,33648.0,31469.0,2179.0
26.05.20,4.0,0.0,4.0,33512.0,32001.0,1511.0,33516.0,32001.0,1515.0
26.05.19,35.0,0.0,35.0,35683.0,36113.0,-430.0,35718.0,36113.0,-395.0
