업종명,전일대비,전일대비 등락현황,전일대비 등락현황,전일대비 등락현황,전일대비 등락현황,등락그래프
업종명,전일대비,전체,상승,보합,하락,등락그래프
생명보험,+16.23%,5.0,5.0,0.0,0.0,100%
무선통신서비스,+8.86%,4.0,2.0,0.0,2.0,54%
디스플레이패널,+5.30%,5.0,2.0,2.0,1.0,32%
백화점과일반상점,+4.80%,14.0,9.0,0.0,5.0,29%
게임엔터테인먼트,+4.43%,34.0,20.0,3.0,11.0,27%
손해보험,+4.41%,12.0,9.0,0.0,3.0,27%
출판,+3.04%,8.0,3.0,1.0,4.0,18%
전자제품,+2.86%,16.0,7.0,1.0,8.0,17%
복합기업,+2.85%,23.0,8.0,0.0,15.0,17%
은행,+2.51%,11.0,7.0,0.0,4.0,15%
가정용기기와용품,+2.38%,21.0,12.0,0.0,9.0,14%
양방향미디어와서비스,+2.08%,17.0,6.0,1.0,10.0,12%
사무용전자제품,+2.08%,1.0,1.0,0.0,0.0,12%
전문소매,+2.07%,6.0,2.0,2.0,2.0,12%
카드,+1.96%,1.0,1.0,0.0,0.0,12%
상업서비스와공급품,+1.78%,31.0,10.0,5.0,16.0,10%
반도체와반도체장비,+1.57%,167.0,30.0,5.0,132.0,9%
음료,+1.43%,16.0,7.0,1.0,8.0,8%
다각화된통신서비스,+1.31%,3.0,2.0,0.0,1.0,8%
석유와가스,+1.27%,18.0,6.0,0.0,12.0,7%
식품과기본식료품소매,+1.15%,8.0,3.0,0.0,5.0,7%
운송인프라,+1.00%,8.0,3.0,0.0,5.0,6%
생물공학,+0.80%,59.0,18.0,4.0,37.0,4%
기타금융,+0.61%,6.0,4.0,1.0,1.0,3%
종이와목재,+0.51%,15.0,4.0,0.0,11.0,3%
가구,+0.50%,11.0,6.0,0.0,5.0,3%
교육서비스,+0.45%,24.0,12.0,0.0,12.0,2%
도로와철도운송,+0.31%,7.0,3.0,0.0,4.0,1%
"섬유,의류,신발,호화품",+0.29%,83.0,30.0,7.0,46.0,1%
건축자재,+0.11%,52.0,20.0,1.0,31.0,0%
광고,-0.02%,18.0,11.0,0.0,7.0,0%
레저용장비와제품,-0.11%,13.0,5.0,2.0,6.0,0%
항공사,-0.11%,9.0,1.0,0.0,8.0,0%
식품,-0.12%,91.0,27.0,5.0,59.0,0%
다각화된소비자서비스,-0.15%,1.0,0.0,0.0,1.0,0%
건축제품,-0.15%,13.0,8.0,0.0,5.0,0%
담배,-0.27%,1.0,0.0,0.0,1.0,1%
가정용품,-0.34%,11.0,4.0,2.0,5.0,2%
인터넷과카탈로그소매,-0.35%,8.0,4.0,0.0,4.0,2%
기타,-0.41%,1518.0,738.0,69.0,711.0,2%
"호텔,레스토랑,레저",-0.57%,20.0,6.0,0.0,14.0,3%
방송과엔터테인먼트,-0.62%,57.0,21.0,4.0,32.0,3%
자동차부품,-0.99%,155.0,37.0,10.0,108.0,6%
문구류,-1.05%,1.0,0.0,0.0,1.0,6%
가스유틸리티,-1.24%,12.0,3.0,1.0,8.0,7%
부동산,-1.51%,34.0,10.0,5.0,19.0,9%
해운사,-1.52%,11.0,1.0,0.0,10.0,9%
판매업체,-1.69%,13.0,3.0,2.0,8.0,10%
기계,-1.79%,100.0,25.0,7.0,68.0,11%
제약,-1.92%,174.0,34.0,15.0,125.0,11%
자동차,-2.30%,12.0,3.0,0.0,9.0,14%
건강관리업체및서비스,-2.32%,29.0,8.0,1.0,20.0,14%
핸드셋,-2.49%,58.0,17.0,3.0,38.0,15%
포장재,-2.53%,27.0,3.0,2.0,22.0,15%
통신장비,-2.53%,54.0,12.0,7.0,35.0,15%
생명과학도구및서비스,-2.55%,40.0,13.0,6.0,21.0,15%
증권,-2.60%,38.0,4.0,3.0,31.0,16%
무역회사와판매업체,-2.63%,7.0,0.0,2.0,5.0,16%
건강관리장비와용품,-2.66%,104.0,30.0,11.0,63.0,16%
디스플레이장비및부품,-2.73%,74.0,17.0,1.0,56.0,16%
소프트웨어,-2.75%,74.0,15.0,5.0,54.0,16%
전기유틸리티,-2.77%,5.0,0.0,0.0,5.0,17%
비철금속,-2.97%,41.0,15.0,4.0,22.0,18%
조선,-3.03%,31.0,1.0,4.0,26.0,18%
에너지장비및서비스,-3.07%,30.0,2.0,0.0,28.0,18%
컴퓨터와주변기기,-3.17%,22.0,5.0,2.0,15.0,19%
건설,-3.18%,78.0,11.0,9.0,58.0,19%
철강,-3.23%,55.0,12.0,2.0,41.0,19%
화학,-3.40%,120.0,22.0,6.0,92.0,20%
창업투자,-3.44%,92.0,28.0,29.0,35.0,21%
화장품,-3.59%,65.0,10.0,6.0,49.0,22%
전기제품,-3.82%,73.0,15.0,6.0,52.0,23%
복합유틸리티,-3.85%,1.0,0.0,0.0,1.0,23%
항공화물운송과물류,-4.10%,13.0,3.0,0.0,10.0,25%
건강관리기술,-4.38%,12.0,1.0,3.0,8.0,26%
우주항공과국방,-5.87%,35.0,2.0,0.0,33.0,36%
전기장비,-7.28%,34.0,4.0,2.0,28.0,44%
IT서비스,-7.60%,114.0,29.0,1.0,84.0,46%
전자장비와기기,-9.34%,111.0,19.0,6.0,86.0,57%
