date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,13225.19,13455,13485,13175,13175,6451,86014045,1322.45
2019-01-03,13373.54,13210,13465,13100,13360,872,11622400,1337.63
2019-01-04,13817.52,13365,13860,13365,13795,7250,100153290,1383.08
2019-01-07,13751.23,13830,13855,13665,13755,10467,143681045,1376.32
2019-01-08,13415.94,13800,13800,13355,13405,10576,142076655,1342.06
2019-01-09,13839.59,13430,13865,13430,13845,28302,389968700,1385.39
2019-01-10,13664.92,13660,13670,13510,13670,14877,202034945,1367.55
2019-01-11,13678.37,13640,13705,13540,13685,19185,261395985,1368.97
2019-01-14,13637.56,13595,13690,13505,13645,5211,70623310,1364.82
2019-01-15,14064.78,13765,14100,13725,14070,15090,211479640,1408.52
2019-01-16,14098.53,13940,14105,13930,14105,1200,16820165,1411.98
2019-01-17,14308.02,14075,14330,14010,14260,1134,16133960,1433.42
2019-01-18,14691.98,14405,14665,14405,14665,9196,133575605,1472.73
2019-01-21,14457.03,14720,14850,14425,14460,8165,120093125,1448.73
2019-01-22,14452.94,14450,14460,14310,14390,6795,97589865,1448.33
2019-01-23,14793.63,14430,14760,14430,14760,2712,39710585,1483.18
2019-01-24,14760.54,14610,14710,14450,14710,7827,114386035,1479.82
2019-01-25,14546.41,14630,14640,14485,14485,35731,518727000,1457.98
2019-01-28,14568.99,14680,14725,14485,14535,2549,37273810,1460.32
2019-01-29,14676.05,14460,14700,14420,14625,55271,808101705,1471.3
2019-01-30,14939.57,14715,14910,14625,14885,5119,75510000,1498.26
2019-01-31,14939.74,15005,15045,14830,14940,3824,57125385,1498.3
2019-02-01,14809.11,14930,14930,14725,14750,9518,141094520,1485.23
2019-02-07,14692.89,14885,14885,14640,14640,6767,99640950,1473.37
2019-02-08,14632.97,14610,14700,14515,14595,1808,26372315,1467.3
2019-02-11,14734.3,14615,14810,14600,14750,8729,128237810,1477.69
2019-02-12,14820.92,14770,14855,14730,14825,454,6730155,1486.43
2019-02-13,14725.61,14810,14810,14665,14710,3711,54617465,1476.68
2019-02-14,14629.38,14605,14605,14315,14480,19586,281265100,1466.87
2019-02-15,14431.64,14585,14585,14375,14375,864,12458230,1446.71
2019-02-18,14356.36,14395,14395,14185,14320,7212,102944045,1438.98
2019-02-19,14247.52,14320,14320,14190,14250,9096,129482460,1427.88
2019-02-20,14309.41,14315,14510,14245,14310,2928,41978370,1434.22
2019-02-21,14409.56,14360,14470,14350,14360,10625,153286705,1444.46
2019-02-22,14454.19,14360,14490,14360,14460,786,11354670,1449.08
2019-02-25,14534.32,14460,14600,14420,14535,12649,184427145,1457.27
2019-02-26,14603.37,14535,14720,14535,14605,8267,120239605,1464.34
2019-02-27,14978.71,14900,14970,14825,14935,3557,53011350,1502.04
2019-02-28,14829.58,14925,14985,14830,14885,36887,550523495,1486.88
2019-03-04,14518.28,14750,14750,14450,14520,45659,662355035,1455.03
2019-03-05,14407.38,14480,14480,14195,14355,50662,722865880,1443.72
2019-03-06,14493.87,14455,14495,14415,14495,6071,87650365,1452.57
2019-03-07,14384.78,14545,14580,14280,14380,6079,87257010,1441.44
2019-03-08,14024.61,14370,14370,14025,14030,25717,362201290,1404.68
2019-03-11,14158.41,14020,14150,13960,14135,3081,43215770,1418.38
2019-03-12,14335.2,14215,14340,14180,14340,17497,250202515,1436.46
2019-03-13,14250.87,14400,14400,14020,14240,8141,115380620,1427.87
2019-03-14,13999.45,14300,14300,13840,13950,4832,67509395,1402.18
2019-03-15,14156.16,14015,14190,13970,14125,4401,61811145,1418.24
2019-03-18,14462.25,14160,14500,14160,14455,14262,205846105,1449.56
2019-03-19,14443.59,14470,14500,14330,14445,4453,64303560,1447.7
2019-03-20,14526.04,14335,14480,14260,14480,3406,49007020,1456.17
2019-03-21,14336.71,14500,14595,14210,14340,7722,110747395,1436.82
2019-03-22,14320.79,14300,14400,14180,14270,6089,87432545,1435.24
2019-03-25,13946.66,14135,14135,13940,13950,912,12789635,1396.99
2019-03-26,13990.07,13995,14100,13950,13950,57,797965,1401.45
2019-03-27,13974.58,13955,14010,13935,13980,1879,26251710,1399.91
2019-03-28,13908.77,13925,13955,13825,13930,7000,97362150,1392.17
2019-03-29,13986.4,13995,14085,13895,14000,2751,38373125,1400.15
2019-04-01,14145.24,14005,14160,14005,14130,31196,439294025,1416.39
2019-04-02,14042.62,14090,14090,13965,14040,9665,135334140,1405.93
2019-04-03,14454.11,13955,14450,13955,14390,26186,376180865,1448.0
2019-04-04,14648.83,14390,14715,14360,14650,19628,287151470,1467.93
2019-04-05,14922.95,14650,14920,14650,14920,6581,97831760,1495.98
2019-04-08,15108.72,14875,15100,14875,15100,20071,301309375,1515.01
2019-04-09,15096.93,15035,15165,14950,15100,8796,132589185,1513.82
2019-04-10,15287.73,15030,15285,15030,15285,6502,98483645,1533.35
2019-04-11,15353.84,15270,15350,15205,15350,9564,146292865,1540.13
2019-04-12,15302.44,15260,15370,15220,15285,2918,44514995,1534.94
2019-04-15,15169.61,15175,15290,15095,15145,19123,289917255,1521.38
2019-04-16,15419.12,15135,15450,15135,15420,9199,141439555,1546.93
2019-04-17,15709.44,15445,15700,15350,15690,195055,3060936765,1576.45
2019-04-18,15881.76,15760,16165,15740,15880,96437,1542075810,1594.5
2019-04-19,15765.57,15890,15920,15690,15765,9062,143553620,1582.47
2019-04-22,15734.79,15680,15730,15610,15710,10924,171083230,1579.06
2019-04-23,15901.95,15710,15870,15680,15870,27491,434744280,1596.2
2019-04-24,15944.36,15980,15980,15740,15950,6415,101582330,1600.57
2019-04-25,15722.69,15910,15910,15630,15665,2751,43330230,1577.87
2019-04-26,15300.39,15670,15670,15420,15495,3474,53860700,1560.31
2019-04-29,15902.37,15360,15910,15345,15910,151678,2400406860,1621.74
2019-04-30,15802.49,15910,15970,15660,15795,125457,1981939525,1611.67
2019-05-02,15865.08,15725,15930,15675,15870,113555,1800363655,1618.2
2019-05-03,15546.26,15785,15785,15440,15550,34220,531671215,1585.63
2019-05-07,15474.48,15390,15445,15290,15415,5385,82835440,1578.31
2019-05-08,15435.76,15270,15480,15245,15440,9515,146603395,1574.29
2019-05-09,14928.88,15305,15305,14930,14930,48473,731169975,1522.44
2019-05-10,14802.29,15000,15110,14620,14805,12709,188131955,1509.56
2019-05-13,14665.96,14600,14815,14530,14635,15480,227181950,1495.48
2019-05-14,14585.53,14565,14680,14500,14590,15727,230225790,1487.58
2019-05-15,14601.13,14495,14710,14380,14580,21377,312216820,1489.2
2019-05-16,14613.37,15125,15220,14595,14615,25716,379224110,1490.47
2019-05-17,14491.38,14615,14665,14445,14495,32288,471291070,1478.04
2019-05-20,14658.01,14505,14765,14505,14605,17181,252279505,1495.11
2019-05-21,14335.95,14430,14445,14275,14340,59364,851940145,1462.15
2019-05-22,14300.52,14350,14350,14220,14275,5569,79587015,1458.54
2019-05-23,14302.85,14245,14390,14130,14295,3449,49078100,1458.8
2019-05-24,14448.65,14300,14465,14215,14430,413,5918705,1473.78
2019-05-27,14783.93,14480,14790,14480,14790,51808,762091920,1508.13
2019-05-28,14716.77,14760,14770,14530,14700,20935,307500680,1501.28
2019-05-29,14566.76,14700,14705,14455,14595,9105,132474820,1485.92
