date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,7565.09,7690,7690,7510,7560,32112,243747515,747.13
2019-01-03,7573.16,7585,7585,7520,7540,39589,298560415,747.97
2019-01-04,7491.23,7580,7580,7480,7490,35097,264037025,739.54
2019-01-07,7379.01,7510,7545,7365,7380,67188,497782045,727.97
2019-01-08,7392.86,7385,7395,7310,7395,42107,309387320,729.41
2019-01-09,7497.74,7405,7485,7400,7460,121882,909812165,740.25
2019-01-10,7407.45,7470,7475,7370,7410,87965,650593240,730.93
2019-01-11,7427.07,7410,7440,7370,7390,94463,698801080,732.99
2019-01-14,7358.18,7410,7430,7300,7345,45815,336503135,725.88
2019-01-15,7569.57,7360,7540,7360,7540,191657,1432063145,747.71
2019-01-16,7689.28,7545,7665,7545,7665,128132,979470450,760.08
2019-01-17,7739.57,7680,7720,7630,7710,102199,785828395,765.28
2019-01-18,7673.1,7685,7690,7635,7665,65240,500327105,758.45
2019-01-21,7634.43,7670,7670,7595,7625,26931,204922320,754.47
2019-01-22,7611.69,7605,7615,7560,7565,62454,472861270,752.13
2019-01-23,7602.76,7580,7585,7530,7560,54320,410374780,751.22
2019-01-24,7714.05,7610,7680,7600,7675,184309,1413992555,762.72
2019-01-25,7745.69,7660,7720,7630,7715,24207,186109020,766.01
2019-01-28,7724.82,7735,7735,7680,7715,81286,626707505,763.87
2019-01-29,7745.64,7715,7740,7670,7740,105610,815325615,766.03
2019-01-30,7806.28,7755,7765,7675,7765,44458,343808980,772.21
2019-01-31,7951.93,7820,7975,7815,7900,206390,1627280175,787.26
2019-02-01,7996.07,7920,8070,7920,7985,77730,622954800,791.72
2019-02-07,8002.29,7985,8035,7905,8005,164579,1317929740,792.38
2019-02-08,7981.69,7950,8035,7950,7995,174734,1397368725,790.28
2019-02-11,7879.14,7935,7935,7865,7910,190684,1506606680,780.16
2019-02-12,7809.39,7895,7895,7775,7800,60275,470127135,773.01
2019-02-13,7954.27,7820,7935,7805,7935,39684,313381065,787.31
