date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,7847.86,8235,8235,7805,7845,51745,411304155,2943.5
2019-01-03,7580.48,7875,7875,7545,7570,41518,318733985,2842.12
2019-01-04,7591.98,7515,7570,7395,7570,31421,235676135,2846.56
2019-01-07,7949.07,7765,7975,7765,7940,56932,450516605,2982.03
2019-01-08,7870.61,7990,7990,7840,7870,22841,180430805,2952.31
2019-01-09,8129.18,7890,8140,7890,8105,26396,212876475,3050.4
2019-01-10,8141.22,8105,8165,8040,8110,19348,156999985,3054.61
2019-01-11,8124.62,8140,8240,8100,8115,30041,244808595,3048.4
2019-01-14,8067.07,8090,8090,8015,8065,14713,118464070,3026.59
2019-01-15,8230.02,8060,8235,8060,8215,15815,129886350,3088.47
2019-01-16,8285.72,8245,8270,8200,8270,24478,201703015,3109.65
2019-01-17,8075.77,8285,8285,8065,8075,40563,330523790,3029.98
2019-01-18,8125.79,8110,8175,8090,8095,32939,267310150,3049.06
2019-01-21,8053.14,8155,8155,8020,8055,24859,199973890,3021.5
2019-01-22,8002.61,8080,8155,7985,8005,18962,152945235,3002.35
2019-01-23,8005.84,7970,8070,7955,8010,19074,152893620,3003.61
2019-01-24,8003.94,8000,8030,7965,8005,21393,170894885,3002.92
2019-01-25,8342.12,8015,8340,8015,8320,52661,434262750,3131.4
2019-01-28,8305.46,8380,8380,8250,8280,54301,451563390,3117.51
2019-01-29,8336.34,8265,8330,8200,8330,12302,101371270,3128.79
2019-01-30,8327.49,8340,8355,8250,8300,41890,347859780,3124.98
2019-01-31,8266.23,8395,8405,8245,8270,19505,162122585,3101.76
2019-02-01,8276.76,8260,8350,8260,8280,20947,173671430,3105.94
2019-02-07,8547.87,8310,8555,8310,8550,68480,582977705,3208.88
2019-02-08,8482.17,8510,8540,8445,8480,35966,305428375,3184.03
2019-02-11,8466.67,8500,8500,8415,8470,55920,472974115,3178.04
2019-02-12,8529.28,8475,8560,8455,8530,31202,265710855,3201.85
2019-02-13,8654.53,8575,8650,8560,8650,36207,311832990,3249.42
2019-02-14,8713.72,8650,8690,8550,8690,107096,926237535,3271.93
2019-02-15,8592.76,8695,8700,8535,8595,42307,364108845,3226.11
2019-02-18,8785.77,8670,8775,8630,8775,57369,501328300,3299.41
2019-02-19,8822.02,8790,8875,8700,8825,85307,752423630,3313.2
2019-02-20,8859.93,8850,8885,8795,8830,60497,534996625,3327.63
2019-02-21,8754.67,8860,8870,8750,8760,28675,251683840,3287.71
2019-02-22,8585.2,8725,8725,8535,8575,124811,1070906770,3223.52
2019-02-25,8728.4,8625,8725,8585,8725,88928,770489100,3277.93
2019-02-26,8596.83,8720,8720,8575,8580,85837,740555565,3228.02
2019-02-27,8611.54,8585,8645,8550,8620,64423,553835815,3233.66
2019-02-28,8513.84,8660,8700,8485,8485,75697,650867525,3196.75
2019-03-04,8517.9,8595,8620,8495,8495,97762,835600300,3198.33
2019-03-05,8335.26,8515,8515,8290,8325,70806,592469380,3129.06
2019-03-06,8376.37,8355,8420,8315,8355,34380,287649590,3144.71
2019-03-07,8260.36,8350,8395,8200,8260,96029,798346650,3100.47
2019-03-08,8244.63,8215,8295,8185,8245,52860,436288835,3094.62
2019-03-11,8167.43,8225,8235,8035,8165,87606,709454880,3065.35
2019-03-12,8279.79,8205,8285,8205,8280,57424,474511125,3108.03
2019-03-13,8210.03,8275,8275,8150,8210,56133,459625100,3081.58
2019-03-14,8271.76,8230,8305,8230,8270,50270,415765970,3105.06
2019-03-15,8290.97,8230,8330,8230,8290,60055,497088685,3112.48
2019-03-18,8255.63,8300,8310,8225,8250,112058,924245585,3099.11
2019-03-19,8282.48,8230,8335,8230,8280,129808,1076020620,3109.34
2019-03-20,8193.94,8270,8270,8090,8195,89573,728251295,3075.78
2019-03-21,8460.17,8315,8535,8315,8455,327939,2774428210,3176.86
2019-03-22,8372.34,8495,8495,8330,8370,74470,623793730,3143.65
2019-03-25,8062.99,8175,8225,8050,8065,88058,714506065,3026.27
2019-03-26,8070.14,8075,8100,8020,8040,56200,452727485,3029.02
2019-03-27,8012.76,8090,8100,7980,8015,122465,981394880,3007.28
2019-03-28,7796.69,7985,7995,7765,7800,87613,686061975,2925.3
2019-03-29,7824.86,7760,7830,7615,7830,123481,955248445,2936.15
2019-04-01,7912.93,7830,7940,7830,7890,46403,367014390,2971.79
2019-04-02,7912.64,7935,7955,7885,7905,25841,204479535,2971.75
2019-04-03,8010.09,7890,8005,7870,8005,31598,251536155,3008.77
2019-04-04,8020.05,8000,8060,7975,8010,114354,917300085,3012.59
2019-04-05,7982.41,8030,8035,7930,7980,42127,335379200,2998.4
2019-04-08,8051.24,7985,8050,7985,8035,29030,232976425,3024.56
2019-04-09,8139.07,8120,8150,8070,8140,102190,829624300,3057.92
2019-04-10,8093.72,8100,8100,8030,8080,43382,349966645,3040.74
2019-04-11,8136.39,8085,8155,8085,8135,54603,443581975,3056.6
2019-04-12,8169.14,8135,8195,8090,8160,46420,378665310,3069.09
2019-04-15,8164.62,8185,8210,8130,8165,36441,297300655,3067.41
2019-04-16,8126.68,8150,8150,8060,8120,57077,462162945,3053.08
2019-04-17,8154.94,8100,8190,8100,8155,51907,423336475,3063.81
2019-04-18,8011.97,8175,8210,7995,8010,51782,419362750,3009.7
2019-04-19,8062.81,8020,8080,8020,8060,33955,273594575,3029.05
