date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,10578.37,10785,10855,10495,10575,45132,482690880,3595.19
2019-01-03,10196.12,10580,10640,10205,10205,23706,249127955,3464.83
2019-01-04,10591.02,10125,10585,10125,10585,6944,71935885,3599.67
2019-01-07,10589.3,10800,10815,10550,10555,48800,520659605,3599.13
2019-01-08,10491.12,10600,10600,10460,10490,26256,276891750,3565.65
2019-01-09,10560.51,10555,10625,10475,10555,7380,78115280,3589.35
2019-01-10,10561.63,10555,10640,10465,10540,6679,70553710,3589.62
2019-01-11,10504.03,10600,10600,10505,10515,6791,71511160,3570.14
2019-01-14,10355.31,10480,10500,10360,10360,6508,67691935,3518.74
2019-01-15,10392.99,10360,10540,10360,10405,7897,82562335,3531.63
2019-01-16,10344.45,10420,10420,10250,10305,16762,172663155,3515.11
2019-01-17,10269.31,10305,10490,10275,10275,17561,182279190,3489.51
2019-01-18,10434.74,10305,10425,10305,10400,12413,128502065,3546.1
2019-01-21,10290.31,10440,10445,10260,10295,11059,114033375,3496.88
2019-01-22,10347.24,10280,10350,10280,10345,19264,199007280,3516.34
2019-01-23,10314.78,10295,10350,10255,10280,7223,74487175,3505.3
2019-01-24,10598.28,10280,10590,10280,10565,39543,415035420,3602.08
2019-01-25,10627.84,10640,10640,10510,10625,14826,157170940,3612.32
2019-01-28,10723.15,10675,10775,10625,10730,15769,169340925,3644.77
2019-01-29,10662.05,10660,10700,10560,10635,9281,98575060,3623.98
2019-01-30,10684.49,10640,10730,10640,10690,8426,90018010,3631.52
2019-01-31,10881.03,10760,10910,10730,10890,81793,885208050,3698.63
2019-02-01,10843.81,10890,10930,10800,10815,17419,189075620,3686.21
2019-02-07,10887.28,10825,10900,10725,10865,20944,227134180,3701.09
2019-02-08,11033.13,10815,11045,10815,11030,96409,1060111660,3750.98
2019-02-11,11346.99,11145,11355,11125,11350,74026,835789105,3858.07
2019-02-12,11200.79,11375,11375,11125,11210,20588,231434555,3808.22
2019-02-13,11349.67,11240,11360,11180,11340,19959,225467365,3859.36
2019-02-14,11304.74,11330,11335,11215,11315,17617,198400175,3843.99
2019-02-15,11247.61,11285,11300,11150,11205,15091,169293685,3824.69
2019-02-18,11404.22,11275,11440,11275,11400,26904,305889985,3878.14
2019-02-19,11484.66,11430,11495,11310,11480,20159,230402890,3905.6
2019-02-20,11450.7,11500,11500,11395,11445,17174,196686615,3894.08
2019-02-21,11402.95,11425,11465,11375,11390,14323,163432200,3877.81
2019-02-22,11307.25,11380,11385,11260,11265,14894,168222135,3845.29
2019-02-25,11297.93,11290,11330,11245,11260,14297,161288145,3841.37
2019-02-26,11297.63,11290,11430,11260,11260,33237,376450980,3841.06
2019-02-27,11551.49,11270,11510,11270,11510,37484,428940720,3927.69
2019-02-28,11530.53,11610,11925,11510,11545,103642,1220043395,3920.77
2019-03-04,12047.27,11820,12055,11800,12040,169525,2020957055,4097.15
2019-03-05,12114.37,12085,12235,11975,12075,124847,1512919530,4120.12
2019-03-06,11975.34,12175,12175,11835,11950,68063,814214520,4072.72
2019-03-07,11678.2,11905,12035,11600,11630,51043,601996190,3971.36
2019-03-08,11752.51,11560,11795,11520,11750,54823,639742175,3996.84
2019-03-11,11818.16,11755,11795,11470,11795,53330,621584155,4019.31
2019-03-12,12088.46,11900,12085,11875,12045,69397,832415770,4111.57
2019-03-13,12146.75,12065,12280,12040,12155,113721,1384160615,4131.47
2019-03-14,12000.19,12235,12235,12000,12010,66795,807544960,4081.51
2019-03-15,11827.55,12010,12010,11725,11830,101304,1198273860,4023.36
2019-03-18,11798.88,11820,11890,11740,11790,46902,554711610,4013.65
2019-03-19,11631.28,11805,11945,11615,11615,46890,552886590,3956.45
2019-03-20,11732.29,11640,11690,11500,11690,49846,577417730,3991.03
2019-03-21,11425.88,11690,11700,11420,11420,87247,1006265035,3886.4
2019-03-22,11376.27,11435,11480,11310,11345,29837,339374490,3869.6
2019-03-25,11064.56,11170,11310,11065,11065,45071,505132895,3763.13
2019-03-26,11238.47,11135,11290,11135,11240,38247,430877250,3822.58
2019-03-27,11020.26,11275,11290,10980,10980,47883,531048250,3748.09
2019-03-28,10856.77,10950,11040,10840,10850,45013,491826410,3692.25
2019-03-29,11001.58,10875,11015,10745,11015,33433,365730135,3741.13
2019-04-01,10975.81,10915,11015,10800,10980,86865,950172125,3732.35
2019-04-02,10945.74,11040,11045,10905,10915,17650,193145170,3722.06
2019-04-03,11137.82,10960,11150,10925,11150,39216,434842060,3787.74
2019-04-04,11096.87,11175,11175,11000,11060,30076,332489215,3773.8
2019-04-05,10935.89,11050,11075,10905,10930,26070,285425060,3719.0
2019-04-08,10888.9,10965,10970,10880,10900,11352,123929805,3703.02
2019-04-09,10880.03,10870,10970,10800,10890,22848,248134605,3700.02
2019-04-10,11048.21,10870,11035,10825,11030,36014,394427110,3757.51
2019-04-11,11155.61,11085,11165,11060,11115,31408,349532860,3794.24
2019-04-12,11130.98,11145,11175,11125,11140,38264,426740225,3785.95
2019-04-15,11091.49,11140,11140,11060,11100,17058,189343640,3772.57
2019-04-16,11093.73,11070,11115,11010,11105,41713,462241375,3773.39
2019-04-17,11082.48,11110,11115,11030,11045,38066,420973330,3769.56
2019-04-18,10821.71,11040,11050,10810,10820,31983,348724370,3680.54
2019-04-19,11012.62,10870,11005,10840,11005,13114,143638395,3745.86
2019-04-22,11072.28,11050,11145,11015,11070,22601,250296770,3766.3
2019-04-23,11014.38,11040,11100,10970,10970,20479,224975665,3746.52
2019-04-24,10914.86,11030,11030,10870,10890,12913,141046500,3712.64
2019-04-25,10820.94,10875,10875,10780,10785,28244,305319180,3680.4
2019-04-26,10732.96,10780,10810,10725,10765,27154,292158065,3657.33
2019-04-29,10855.52,10790,10860,10725,10860,19578,211594095,3699.23
2019-04-30,10882.68,10845,10895,10745,10875,46220,499855260,3708.65
2019-05-02,10860.58,10855,10945,10830,10835,8944,97234135,3701.12
2019-05-03,10914.51,10895,10915,10825,10875,35112,381517615,3719.79
2019-05-07,10714.8,10785,10800,10680,10680,21116,226522580,3651.62
2019-05-08,10528.0,10590,10665,10490,10490,63678,671273235,3587.9
2019-05-09,10200.25,10505,10545,10170,10210,23391,241381445,3476.02
2019-05-10,10157.35,10150,10305,10050,10125,18682,189962505,3461.51
2019-05-13,9845.3,10060,10125,9805,9805,15753,157073995,3354.94
2019-05-14,9917.83,9650,10035,9650,9895,23973,235737390,3379.73
2019-05-15,10179.36,9975,10195,9900,10195,31744,319742140,3469.15
2019-05-16,9959.19,10175,10185,9955,9975,16582,166712015,3393.92
2019-05-17,9837.94,10030,10065,9810,9810,10827,107500265,3352.66
2019-05-20,9513.55,9855,9885,9500,9500,31919,309033105,3241.86
2019-05-21,9558.06,9500,9645,9495,9550,27176,259728080,3257.08
2019-05-22,9727.55,9635,9780,9635,9750,12192,118317985,3315.05
2019-05-23,9584.7,9795,9795,9600,9605,16099,155720920,3266.27
2019-05-24,9543.07,9570,9625,9480,9560,16488,157465235,3252.18
2019-05-27,9555.91,9545,9600,9490,9525,16112,153310395,3256.58
2019-05-28,9763.43,9575,9725,9540,9725,28343,271909275,3327.58
2019-05-29,9401.51,9700,9700,9360,9400,21673,205212095,3203.97
2019-05-30,9330.13,9400,9460,9260,9355,8757,81697010,3179.6
2019-05-31,9516.12,9295,9550,9290,9530,14198,134548885,3243.24
2019-06-03,9545.59,9440,9585,9420,9555,19741,188299370,3253.25
2019-06-04,9594.1,9555,9645,9500,9585,15861,151415405,3269.89
2019-06-05,9541.35,9700,9700,9500,9505,17398,166440620,3252.01
2019-06-07,9589.2,9595,9595,9500,9550,11291,107640250,3268.52
2019-06-10,9623.39,9660,9660,9565,9635,15358,147704600,3280.22
2019-06-11,9735.71,9635,9760,9600,9745,22743,221062310,3318.66
2019-06-12,9689.15,9745,9745,9645,9670,10409,100734075,3302.8
2019-06-13,9692.85,9650,9725,9615,9720,6058,58717505,3304.02
2019-06-14,9575.84,9700,9700,9580,9585,11167,107467500,3263.42
2019-06-17,9390.01,9600,9600,9400,9410,11344,107258145,3201.84
2019-06-18,9258.9,9400,9470,9280,9280,19229,180548105,3157.52
2019-06-19,9390.87,9370,9395,9310,9340,11688,109337775,3198.88
2019-06-20,9569.28,9380,9585,9380,9575,53004,504797390,3260.63
2019-06-21,9442.7,9565,9565,9450,9470,16089,152760620,3217.69
2019-06-24,9370.17,9460,9465,9370,9375,15934,150065350,3192.98
2019-06-25,9208.59,9370,9380,9160,9210,42157,388818245,3137.87
2019-06-26,9238.47,9160,9310,9160,9240,15135,140068900,3148.04
2019-06-27,8881.29,9225,9250,8780,8845,115712,1032739945,3026.01
2019-06-28,8675.81,8830,8890,8650,8700,43144,378244340,2956.3
2019-07-01,9010.5,8755,9015,8755,9000,35649,317338905,3070.46
2019-07-02,8980.15,8990,9045,8935,8985,13485,121209410,3060.22
2019-07-03,8972.21,9000,9040,8895,8940,25826,231547275,3057.41
2019-07-04,8750.18,8850,8890,8600,8720,39435,344772620,2980.67
2019-07-05,8977.1,8735,8975,8735,8975,22318,197262660,3058.48
2019-07-08,8622.76,8935,8935,8615,8625,41801,365631795,2938.35
2019-07-09,8340.66,8600,8690,8340,8340,28316,240884395,2840.99
2019-07-10,8483.4,8355,8575,8325,8490,43597,368705230,2890.86
2019-07-11,8601.09,8520,8600,8455,8590,20921,178508590,2932.35
2019-07-12,8560.27,8605,8605,8500,8530,127478,1085423000,2918.63
