date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,10980.49,11400,11400,10945,10985,5988,66235980,2148.19
2019-01-03,10703.15,11020,11020,10700,10705,2210,23845775,2092.35
2019-01-04,10707.71,10670,10705,10590,10705,267,2845430,2093.35
2019-01-07,11085.2,10855,11215,10855,11085,3528,38986805,2169.46
2019-01-08,11093.95,11165,11170,11085,11085,823,9147250,2171.23
2019-01-09,11298.88,11110,11315,11110,11270,823,9224905,2212.56
2019-01-10,11279.13,11350,11350,11210,11275,1107,12446915,2208.62
2019-01-11,11382.61,11275,11380,11255,11360,289,3283280,2229.56
2019-01-14,11317.91,11355,11405,11250,11270,2684,30394900,2216.55
2019-01-15,11424.34,11290,11420,11290,11385,593,6729205,2238.02
2019-01-16,11509.84,11385,11455,11385,11455,762,8708645,2255.28
2019-01-17,11520.93,11500,11620,11500,11505,1713,19797980,2257.56
2019-01-18,11658.67,11625,11645,11550,11620,1393,16157155,2285.41
2019-01-21,11738.24,11700,11790,11685,11735,3422,40086490,2301.48
2019-01-22,11676.56,11735,11765,11645,11680,939,10985310,2289.09
2019-01-23,11700.29,11640,11705,11565,11700,1861,21603425,2293.9
2019-01-24,11635.43,11610,11670,11570,11640,1278,14801895,2280.86
2019-01-25,11888.34,11580,11885,11580,11845,2926,34505700,2331.84
2019-01-28,11895.66,11855,11920,11840,11855,1498,17822135,2333.34
2019-01-29,12008.47,11850,11995,11800,11965,2172,25820205,2356.11
2019-01-30,12118.32,12015,12120,11910,12075,2844,34158250,2378.28
2019-01-31,12076.93,12225,12240,11990,12065,2079,25149430,2369.95
2019-02-01,12038.07,12030,12125,12025,12040,1568,18927055,2362.4
2019-02-07,12097.37,12010,12115,11995,12065,3583,43261030,2374.93
2019-02-08,11900.8,12015,12065,11840,11895,765,9111690,2335.79
2019-02-11,11927.55,11925,11945,11805,11900,217,2578860,2341.14
2019-02-12,11886.16,11875,11900,11790,11885,1923,22738030,2332.9
2019-02-13,12087.69,11900,12080,11900,12045,2922,35179030,2373.55
2019-02-14,12153.07,12005,12105,11950,12105,631,7595760,2386.76
2019-02-15,12058.28,12095,12100,12005,12050,908,10931900,2367.74
2019-02-18,12369.46,12115,12425,12115,12370,108330,1344574785,2430.5
2019-02-19,12384.18,12380,12430,12265,12360,18809,233200980,2433.72
2019-02-20,12556.97,12380,12565,12375,12545,16195,202452655,2468.36
2019-02-21,12417.93,12495,12500,12400,12420,14786,183687460,2441.03
2019-02-22,12318.38,12395,12395,12220,12280,9347,114602085,2421.07
2019-02-25,12379.05,12360,12455,12310,12350,1390,17167215,2433.31
2019-02-26,12310.27,12335,12335,12245,12270,5800,71199300,2419.48
2019-02-27,12494.98,12305,12470,12305,12460,7749,95854475,2456.74
2019-02-28,12339.6,12480,12495,12345,12360,14545,180137315,2425.52
2019-03-04,12272.17,12360,12475,12250,12250,23503,289617815,2411.97
2019-03-05,12166.49,12240,12240,12110,12130,1055,12846450,2390.72
2019-03-06,12216.22,12110,12225,12110,12160,2815,34241830,2400.77
2019-03-07,11967.01,12165,12165,11915,11945,7574,90816935,2351.12
2019-03-08,11866.24,11895,11970,11820,11865,470,5588895,2336.31
2019-03-11,11755.18,11870,11870,11645,11730,2053,23966200,2313.95
2019-03-12,11888.3,11820,11910,11820,11885,3880,46033905,2340.82
2019-03-13,11815.13,11830,11830,11725,11815,2831,33276615,2326.12
2019-03-14,11992.76,11895,11980,11895,11980,1504,17995055,2361.95
2019-03-15,12129.86,11920,12130,11920,12090,7839,94999099,2389.69
2019-03-18,12080.3,12160,12200,12030,12050,1207,14570150,2379.73
2019-03-19,12078.94,12080,12115,12035,12075,1206,14539185,2379.49
2019-03-20,11974.53,12065,12065,11840,11950,12591,149498925,2358.49
2019-03-21,12082.39,12030,12145,12000,12070,11460,138447710,2380.23
2019-03-22,11992.3,12055,12055,11920,11950,18468,220652985,2362.16
2019-03-25,11716.89,11755,11795,11670,11715,1426,16699755,2306.7
2019-03-26,11654.98,11745,11745,11620,11655,2613,30395965,2294.25
2019-03-27,11637.4,11655,11655,11580,11640,1754,20330075,2290.74
2019-03-28,11549.43,11585,11585,11450,11550,8406,96883470,2273.04
2019-03-29,11566.42,11520,11570,11380,11570,1677,19208515,2276.56
2019-04-01,11768.62,11640,11800,11640,11755,9238,108719965,2317.33
2019-04-02,11798.29,11810,11835,11735,11760,28170,331842545,2323.34
2019-04-03,11962.88,11705,11920,11705,11920,7443,88138045,2356.54
2019-04-04,11971.52,11940,12025,11930,11930,15763,188844995,2358.31
2019-04-05,11996.93,11960,12045,11905,11995,2518,30178585,2363.52
2019-04-08,12051.06,11995,12085,11985,11990,7291,87799170,2374.45
2019-04-09,12059.94,12100,12100,12000,12065,16380,197335130,2376.25
2019-04-10,12035.22,12040,12040,11920,12035,21503,258184775,2371.29
2019-04-11,12053.81,12050,12080,11995,12020,2346,28277020,2375.07
2019-04-12,12006.49,11970,12050,11900,12010,1634,19616265,2365.64
2019-04-15,12097.15,12110,12125,12055,12065,1698,20552305,2383.94
2019-04-16,12022.83,12005,12065,11950,12000,6238,74908798,2368.99
2019-04-17,11969.72,12000,12000,11930,11970,3227,38518240,2358.31
2019-04-18,11813.21,11920,11940,11790,11810,19415,229847146,2326.79
2019-04-19,11822.0,11830,11835,11780,11820,614,7246415,2328.64
2019-04-22,11811.16,11820,11870,11745,11810,1365,16117235,2326.49
2019-04-23,11811.37,11830,11910,11760,11810,2095,24741785,2326.55
2019-04-24,11706.49,11820,11855,11645,11705,6826,79932320,2305.46
2019-04-25,11621.43,11620,11670,11595,11625,1523,17692325,2288.28
2019-04-26,11186.68,11570,11570,11410,11440,3977,45647700,2251.13
2019-04-29,11367.68,11200,11325,11160,11325,1432,16049005,2287.63
2019-04-30,11224.12,11365,11370,11140,11230,1169,13105320,2258.74
2019-05-02,11278.89,11180,11355,11175,11265,12026,135806460,2269.82
2019-05-03,11236.95,11270,11290,11215,11240,402,4517635,2261.47
2019-05-07,11087.77,11090,11115,11040,11075,2767,30647185,2231.44
2019-05-08,11061.85,10965,11095,10960,11060,3655,40347380,2226.24
2019-05-09,10727.28,11070,11070,10725,10725,1942,21107715,2158.81
2019-05-10,10771.64,10745,10855,10655,10775,25618,274551315,2167.83
2019-05-13,10519.33,10685,10685,10485,10485,5989,63288105,2117.03
2019-05-14,10517.3,10440,10530,10395,10510,23897,250904685,2116.66
2019-05-15,10768.74,10510,10780,10510,10760,11250,121125155,2167.32
2019-05-16,10642.82,10780,10790,10620,10640,5125,54726105,2141.96
2019-05-17,10639.19,10710,10775,10610,10610,5757,61633367,2141.31
2019-05-20,10467.58,10630,10690,10460,10470,2597,27392180,2106.76
2019-05-21,10550.37,10430,10620,10430,10550,21263,224075640,2123.46
2019-05-22,10590.97,10610,10610,10525,10585,101,1067690,2131.63
2019-05-23,10512.29,10575,10575,10460,10515,501,5257115,2115.82
2019-05-24,10400.31,10405,10405,10320,10390,847,8761975,2093.32
2019-05-27,10395.02,10375,10395,10320,10395,240,2481610,2092.3
2019-05-28,10385.82,10375,10470,10340,10380,2766,28699810,2090.46
2019-05-29,10280.73,10395,10395,10260,10280,3340,34381770,2069.33
2019-05-30,10387.48,10350,10380,10310,10360,6442,66683870,2090.87
2019-05-31,10474.17,10350,10510,10305,10485,1710,17867720,2108.42
2019-06-03,10497.11,10365,10500,10345,10500,295,3073655,2113.05
2019-06-04,10546.67,10540,10560,10505,10550,652,6873745,2123.04
2019-06-05,10511.22,10640,10650,10495,10510,2888,30375540,2115.95
2019-06-07,10426.43,10520,10520,10405,10430,4571,47765385,2098.95
2019-06-10,10571.91,10510,10545,10450,10540,646,6802030,2128.31
2019-06-11,10654.61,10600,10640,10525,10620,387,4084730,2145.0
2019-06-12,10582.51,10635,10635,10545,10550,403,4263010,2130.5
2019-06-13,10705.45,10605,10695,10530,10695,134012,1421199220,2155.37
2019-06-14,10568.85,10720,10720,10515,10570,1989,21101250,2127.86
2019-06-17,10537.51,10580,10600,10520,10520,1985,20932890,2121.56
2019-06-18,10508.99,10535,10535,10480,10490,2491,26147750,2115.82
2019-06-19,10635.77,10640,10660,10590,10590,6822,72330720,2141.46
2019-06-20,10710.83,10635,10715,10620,10715,701,7473890,2156.61
2019-06-21,10656.35,10700,10700,10620,10635,31938,340428885,2145.7
2019-06-24,10633.04,10675,10680,10595,10630,60892,647427296,2141.01
2019-06-25,10673.24,10680,10735,10650,10650,4363,46643620,2149.16
2019-06-26,10606.03,10645,10645,10555,10605,3047,32280845,2135.63
2019-06-27,10699.22,10620,10710,10580,10665,8229,87634130,2150.26
2019-06-28,10702.57,10665,10705,10640,10695,2113,22524330,2151.03
2019-07-01,10820.06,10820,10845,10760,10820,4710,50802770,2174.79
2019-07-02,10861.83,10820,10870,10785,10865,2112,22901350,2183.24
2019-07-03,10927.13,10900,11055,10870,10915,27893,307134815,2196.43
2019-07-04,11144.91,10995,11140,10980,11135,32433,357531125,2240.42
2019-07-05,11102.07,11150,11150,10990,11070,1750,19348365,2231.85
2019-07-08,10840.29,11065,11065,10825,10840,1008,11033100,2179.03
2019-07-09,10645.1,10840,10855,10630,10645,663,7076970,2139.65
2019-07-10,10619.99,10665,10710,10605,10620,920,9771305,2134.62
2019-07-11,10777.66,10805,10830,10745,10775,12779,137318795,2166.47
2019-07-12,10858.04,10820,10905,10775,10835,17524,190072920,2182.78
2019-07-15,10994.24,10870,11000,10840,10990,17652,192736447,2210.31
2019-07-16,11051.74,10990,11055,10935,11005,29950,330281825,2221.95
2019-07-17,11035.14,11020,11030,10950,10995,15755,173472610,2218.62
2019-07-18,10937.26,10995,11045,10875,10920,10422,114053840,2198.85
2019-07-19,11024.86,10955,11035,10880,10995,2347,25822312,2216.61
2019-07-22,11032.82,11010,11060,10960,11035,15104,166227485,2218.26
2019-07-23,11136.38,11020,11140,11020,11140,878,9752485,2239.18
2019-07-24,11025.0,11095,11120,10970,11020,1877,20785625,2216.74
2019-07-25,10725.98,10930,10930,10700,10730,1294,13880875,2156.41
2019-07-26,10617.19,10665,10695,10505,10615,6315,66810465,2134.51
2019-07-29,10430.32,10615,10615,10320,10425,11847,124058880,2096.79
2019-07-30,10474.3,10395,10500,10355,10495,6270,65515830,2105.71
2019-07-31,10528.96,10470,10540,10375,10525,12338,129833035,2116.76
2019-08-01,10481.26,10495,10565,10410,10475,599,6263535,2107.16
2019-08-02,10360.08,10280,10385,10270,10360,3288,33891020,2082.88
2019-08-05,10057.99,10325,10360,10045,10045,4136,42044235,2021.92
2019-08-06,9912.81,9740,10105,9620,9910,3505,34912425,1992.64
2019-08-07,9978.25,9900,10040,9875,9975,1019,10156170,2005.89
2019-08-08,10032.55,10060,10065,9900,10020,13714,136603675,2016.87
2019-08-09,9974.63,10085,10085,9975,9975,2218,22253825,2005.26
2019-08-12,9929.86,9945,9980,9900,9925,16165,160394225,1996.26
2019-08-13,9751.97,9870,9870,9720,9720,2158,21109755,1960.37
2019-08-14,10016.96,9840,9985,9835,9980,297,2950735,2013.93
2019-08-16,9902.66,9885,9910,9770,9895,2254,22226691,1990.95
2019-08-19,10010.23,9900,10010,9860,10010,39017,390056032,2012.68
2019-08-20,10123.27,10015,10140,9990,10095,9351,93975769,2035.52
2019-08-21,10214.51,10135,10220,10135,10210,1819,18535295,2053.95
2019-08-22,10120.42,10225,10275,10115,10120,804,8172470,2035.0
2019-08-23,10165.73,10090,10190,10010,10165,5207,52429555,2044.2
2019-08-26,9938.59,9980,10000,9920,9935,2082,20745160,1998.38
2019-08-27,9895.43,9960,10065,9880,9895,1507,15042005,1989.7
2019-08-28,9962.73,9930,9960,9890,9960,332,3297335,2003.29
2019-08-29,9940.67,10000,10040,9900,9940,206,2047420,1998.85
2019-08-30,10219.75,10040,10235,10040,10230,1778,18063850,2055.29
2019-09-02,10149.04,10120,10155,10050,10145,513,5183540,2041.05
2019-09-03,10126.13,10125,10170,10070,10125,7581,76621795,2036.43
2019-09-04,10138.83,10080,10120,10035,10115,614,6173830,2039.02
2019-09-05,10284.83,10165,10325,10160,10275,5992,61628540,2068.53
2019-09-06,10276.82,10290,10305,10210,10260,753,7731625,2066.98
2019-09-09,10279.94,10280,10365,10260,10280,13505,139394090,2067.66
2019-09-10,10343.65,10265,10370,10265,10340,7781,80355705,2080.56
