date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,3131.15,3235,3250,3110,3120,100877,318056240,624.87
2019-01-03,3129.03,3145,3160,3090,3115,94000,293599385,624.45
2019-01-04,3138.32,3115,3135,3065,3135,74219,230033095,626.36
2019-01-07,3198.21,3200,3225,3150,3190,87055,277037620,638.54
2019-01-08,3180.58,3200,3230,3160,3180,105724,338556505,634.97
2019-01-09,3233.58,3190,3235,3190,3220,76625,246227315,645.75
2019-01-10,3225.0,3235,3250,3200,3215,4814,15472245,644.02
2019-01-11,3225.51,3220,3225,3200,3225,57648,185487520,644.14
2019-01-14,3243.79,3230,3240,3205,3230,42041,135601260,647.87
2019-01-15,3269.49,3235,3270,3235,3260,73847,240724490,653.1
2019-01-16,3313.68,3265,3325,3265,3300,46256,152963240,662.08
2019-01-17,3267.06,3315,3325,3250,3260,91109,297442445,652.62
2019-01-18,3281.07,3275,3280,3235,3280,23186,75660955,655.48
2019-01-21,3256.95,3295,3295,3250,3255,40626,132689710,650.59
2019-01-22,3255.06,3260,3270,3235,3255,31877,103659440,650.2
2019-01-23,3320.54,3230,3310,3230,3310,45335,149177835,663.51
2019-01-24,3370.39,3315,3365,3305,3355,120107,400702690,673.65
2019-01-25,3402.87,3355,3400,3340,3395,50250,169448850,680.26
2019-01-28,3383.77,3405,3410,3365,3385,51036,173027030,676.38
2019-01-29,3325.61,3375,3375,3300,3325,68809,228797020,664.54
2019-01-30,3401.99,3365,3400,3350,3395,228306,770259690,680.36
2019-01-31,3401.48,3430,3430,3365,3400,166010,563451110,680.25
2019-02-01,3403.96,3400,3415,3370,3405,121290,412267025,680.79
2019-02-07,3418.43,3450,3450,3390,3420,170925,582427965,683.73
2019-02-08,3388.79,3395,3395,3360,3390,50226,169778430,677.74
2019-02-11,3382.26,3395,3410,3370,3380,191149,646633975,676.42
2019-02-12,3380.67,3380,3390,3355,3380,65818,221917475,676.07
2019-02-13,3393.64,3390,3410,3390,3390,46021,156239915,678.72
2019-02-14,3390.67,3390,3390,3330,3390,101751,341089540,678.1
2019-02-15,3388.4,3355,3400,3355,3385,104488,352585570,677.63
2019-02-18,3399.21,3400,3405,3370,3395,58304,197570155,679.82
2019-02-19,3393.02,3390,3405,3380,3395,150159,509527535,678.59
2019-02-20,3398.83,3400,3410,3375,3390,98877,335871100,679.73
2019-02-21,3374.91,3390,3395,3340,3375,55593,186411550,674.87
2019-02-22,3390.39,3370,3395,3370,3380,38529,130122880,678.04
2019-02-25,3372.79,3410,3410,3350,3370,114754,386966510,674.5
2019-02-26,3376.94,3370,3390,3365,3370,24387,82298225,675.37
2019-02-27,3347.04,3375,3375,3325,3335,42190,140728780,669.3
2019-02-28,3239.29,3345,3360,3220,3220,166743,545413035,646.85
2019-03-04,3196.47,3215,3250,3185,3185,353878,1141472870,638.11
2019-03-05,3194.06,3180,3195,3155,3185,113995,361981240,637.62
2019-03-06,3174.91,3170,3195,3160,3165,30425,96490270,633.75
2019-03-07,3146.55,3170,3195,3130,3140,80619,254505230,628.46
2019-03-08,3107.88,3120,3135,3090,3105,91466,284306030,620.62
2019-03-11,3106.76,3090,3110,3060,3105,45427,140213335,620.4
2019-03-12,3123.19,3115,3140,3110,3120,64179,200499210,623.74
2019-03-13,3108.88,3125,3125,3085,3105,37647,116674765,620.87
2019-03-14,3141.98,3110,3150,3110,3140,171270,535543935,627.59
2019-03-15,3189.1,3145,3215,3145,3180,102655,327077440,637.18
2019-03-18,3187.82,3205,3205,3155,3185,45475,144372850,636.94
2019-03-19,3198.51,3190,3210,3180,3200,41994,134280355,639.13
2019-03-20,3192.45,3185,3190,3150,3190,41416,131087085,637.9
2019-03-21,3141.35,3170,3200,3125,3140,46040,145000825,627.54
2019-03-22,3139.98,3135,3145,3110,3135,23471,73298720,627.28
2019-03-25,3081.85,3095,3100,3070,3070,41259,127336425,615.49
2019-03-26,3109.46,3075,3105,3075,3105,97274,301585441,621.16
2019-03-27,3094.07,3100,3110,3080,3090,51361,158808725,618.04
2019-03-28,3076.71,3080,3085,3060,3075,256822,788556590,614.16
2019-03-29,3164.57,3090,3165,3070,3165,45305,142131015,632.03
2019-04-01,3185.67,3165,3195,3165,3185,56362,179157155,636.31
2019-04-02,3175.29,3185,3195,3160,3165,55746,176916185,634.21
2019-04-03,3209.17,3165,3210,3165,3210,24681,78734000,641.1
2019-04-04,3201.96,3210,3210,3180,3195,169121,541129665,639.64
2019-04-05,3230.77,3200,3220,3190,3215,160140,513269800,645.51
2019-04-08,3219.31,3220,3225,3195,3220,115212,370055180,643.19
2019-04-09,3200.83,3210,3220,3185,3195,47696,152589980,639.45
2019-04-10,3201.09,3195,3205,3175,3200,18214,58047865,639.54
2019-04-11,3221.1,3205,3220,3190,3205,78679,252387160,643.61
2019-04-12,3208.98,3200,3215,3180,3205,18862,60247775,641.18
2019-04-15,3214.78,3210,3225,3200,3210,30539,98022975,642.37
2019-04-16,3228.54,3200,3230,3190,3215,62771,201681112,645.17
2019-04-17,3222.17,3225,3225,3195,3215,91705,294290860,643.85
2019-04-18,3141.6,3225,3225,3125,3130,85756,272329230,627.46
2019-04-19,3153.93,3150,3150,3135,3145,22025,69148360,629.99
2019-04-22,3145.9,3145,3155,3130,3145,26809,84269155,628.34
2019-04-23,3165.23,3150,3160,3130,3155,48327,151909450,632.27
2019-04-24,3114.32,3155,3165,3095,3115,58386,182917590,621.94
2019-04-25,3118.94,3115,3115,3080,3115,22185,68754045,622.9
2019-04-26,3106.93,3110,3145,3105,3145,11314,35338215,628.57
2019-04-29,3146.32,3110,3145,3095,3145,22319,69264110,636.57
2019-04-30,3142.54,3150,3160,3115,3145,245337,768424655,635.85
2019-05-02,3158.92,3130,3175,3130,3155,163404,516656910,639.18
2019-05-03,3139.74,3155,3155,3130,3135,134750,422298275,635.34
2019-05-07,3105.11,3095,3100,3060,3100,18698,57699755,628.31
2019-05-08,3115.12,3075,3120,3060,3110,109320,339843815,630.33
2019-05-09,2959.8,3085,3085,2960,2960,51898,155467770,598.76
2019-05-10,2936.45,2970,2985,2910,2935,93888,275635670,594.03
2019-05-13,2876.63,2905,2920,2860,2875,36342,104665140,581.88
2019-05-14,2890.75,2850,2910,2850,2890,69220,199661299,584.75
2019-05-15,2980.56,2905,2970,2880,2970,44588,131857586,603.01
2019-05-16,2958.79,2975,2980,2945,2945,23760,70119030,598.57
2019-05-17,2998.31,2970,3040,2970,2995,60583,183001100,606.58
2019-05-20,2965.54,3000,3010,2960,2960,13567,40573750,599.92
2019-05-21,2954.37,2940,2970,2940,2940,7833,23109485,597.67
2019-05-22,2968.75,2955,2970,2930,2965,49731,146645890,600.59
2019-05-23,2982.62,2950,2985,2935,2970,23811,70621145,603.44
2019-05-24,2958.96,2950,2970,2945,2945,71288,210911575,598.69
2019-05-27,2972.11,2955,2980,2950,2970,3210,9505025,601.37
2019-05-28,2997.92,2965,3000,2960,3000,22594,67088840,606.58
2019-05-29,2959.95,2980,2980,2940,2960,41367,121998790,598.9
2019-05-30,2988.64,2950,2985,2945,2980,5030,14897410,604.72
2019-05-31,2996.3,2975,3000,2965,2995,96436,287762500,606.31
2019-06-03,2980.46,2970,2975,2930,2975,110473,326240740,603.1
2019-06-04,3057.51,2980,3060,2980,3055,50654,154321665,618.79
2019-06-05,3074.3,3075,3090,3055,3075,27777,85240060,622.19
2019-06-07,3076.36,3070,3090,3050,3065,41103,126308015,622.64
2019-06-10,3117.57,3085,3110,3070,3110,20369,63157495,630.96
2019-06-11,3149.25,3110,3145,3105,3145,33075,103223325,637.39
2019-06-12,3167.59,3145,3185,3145,3155,36810,116544270,641.11
2019-06-13,3192.97,3160,3185,3140,3180,14008,44404440,646.29
2019-06-14,3193.76,3190,3195,3170,3185,15757,50084380,646.47
2019-06-17,3155.59,3190,3190,3145,3155,15218,48184285,638.73
2019-06-18,3150.62,3155,3170,3140,3155,7638,24105880,637.73
2019-06-19,3217.43,3170,3215,3165,3215,79981,256046235,651.3
2019-06-20,3198.44,3215,3215,3190,3190,33443,107022375,647.46
2019-06-21,3163.81,3195,3205,3155,3155,16834,53457325,640.46
2019-06-24,3194.16,3175,3205,3175,3200,43270,138233939,646.63
2019-06-25,3172.68,3200,3210,3155,3160,37709,120151065,642.27
2019-06-26,3159.41,3150,3165,3120,3160,58944,185347570,639.58
2019-06-27,3160.47,3160,3180,3135,3160,25451,80484810,639.29
2019-06-28,3134.86,3150,3165,3110,3135,31603,98998125,634.1
2019-07-01,3157.98,3180,3200,3145,3160,88081,278702065,638.8
2019-07-02,3151.69,3140,3165,3120,3145,86208,271443555,637.53
2019-07-03,3084.83,3145,3145,3070,3075,66792,205818195,623.95
2019-07-04,3110.46,3080,3110,3070,3110,89406,276072380,629.15
2019-07-05,3099.56,3110,3130,3070,3090,7857,24222975,626.95
2019-07-08,3000.97,3085,3085,2990,2990,46903,141738730,606.94
2019-07-09,2913.45,2990,2995,2895,2910,123672,360950500,589.18
2019-07-10,2922.78,2935,2935,2895,2920,160489,467233065,591.07
2019-07-11,2961.87,2920,2960,2920,2960,53949,158544150,599.01
2019-07-12,2951.02,2955,2955,2930,2940,30357,89353675,596.82
2019-07-15,2913.02,2945,2950,2900,2910,78009,227589206,589.1
2019-07-16,2925.91,2915,2935,2905,2920,96220,280698258,591.72
2019-07-17,2863.78,2910,2910,2840,2860,122513,350231600,579.11
2019-07-18,2812.85,2830,2855,2805,2810,131758,371516036,568.77
2019-07-19,2860.51,2825,2860,2825,2855,15284,43460673,578.46
2019-07-22,2860.12,2845,2860,2840,2860,17883,50930500,578.38
2019-07-23,2859.19,2860,2870,2845,2855,31175,89088000,578.19
2019-07-24,2824.8,2855,2855,2820,2825,22170,62969660,571.21
2019-07-25,2777.68,2820,2820,2735,2770,186736,515284800,561.64
2019-07-26,2747.05,2760,2760,2710,2740,39405,107459015,555.44
2019-07-29,2717.18,2745,2755,2700,2715,93244,253442760,549.37
2019-07-30,2730.43,2710,2740,2710,2730,108969,297567325,552.06
2019-07-31,2744.89,2730,2760,2715,2745,70488,192852015,555.0
2019-08-01,2685.4,2720,2725,2680,2680,146089,393972625,542.93
2019-08-02,2666.6,2655,2685,2640,2665,41151,109305440,539.11
2019-08-05,2582.61,2650,2660,2570,2580,184581,479704400,522.06
2019-08-06,2547.3,2505,2615,2495,2545,155153,394789625,514.9
2019-08-07,2522.05,2545,2565,2500,2515,135726,346775660,509.77
2019-08-08,2583.28,2555,2590,2540,2580,110210,281022215,522.2
2019-08-09,2606.14,2605,2615,2595,2605,72903,190212180,526.85
2019-08-12,2632.81,2595,2665,2585,2620,63193,166574985,532.27
2019-08-13,2562.22,2605,2605,2550,2560,55365,142288460,517.94
2019-08-14,2542.71,2585,2585,2535,2540,112341,286265930,513.99
2019-08-16,2546.51,2520,2545,2505,2545,60194,152428472,514.76
2019-08-19,2595.84,2555,2595,2550,2595,94536,243450429,524.78
2019-08-20,2619.76,2590,2620,2585,2620,40249,104881550,529.64
2019-08-21,2645.3,2615,2645,2615,2645,88119,232098105,534.83
2019-08-22,2630.58,2650,2655,2620,2625,34098,89819345,531.85
2019-08-23,2609.51,2605,2610,2590,2605,48331,125554805,527.57
2019-08-26,2550.23,2560,2575,2545,2545,51300,131187255,515.54
2019-08-27,2567.31,2570,2590,2550,2565,59895,154460830,519.0
2019-08-28,2590.43,2565,2590,2560,2590,39120,100543700,523.7
2019-08-29,2587.54,2595,2595,2575,2585,25659,66519045,523.11
2019-08-30,2651.38,2610,2650,2610,2650,59974,158069340,536.08
2019-09-02,2645.76,2645,2645,2625,2635,8402,22146110,534.95
2019-09-03,2637.91,2640,2665,2630,2630,31329,82849830,533.36
2019-09-04,2642.64,2625,2630,2610,2630,84304,221044775,534.33
2019-09-05,2654.52,2635,2670,2635,2655,109064,289783420,536.74
2019-09-06,2659.96,2660,2675,2655,2660,66241,176237130,537.85
2019-09-09,2655.71,2655,2680,2645,2655,31833,84403340,536.99
