date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2024-04-16,10252.49,10250,10330,10170,10250,11282,115402145,402.71
2024-04-17,10481.27,10295,10590,10285,10485,13748,144530575,411.71
2024-04-18,10664.36,10485,10780,10485,10665,31067,333933015,418.93
2024-04-19,10528.34,10610,10730,10370,10525,13469,141997670,413.59
2024-04-22,10586.5,10600,10735,10500,10585,7252,76562700,415.88
2024-04-23,10585.73,10530,10650,10490,10590,3907,41394960,415.86
2024-04-24,10687.15,10590,10695,10535,10695,5265,55972720,419.86
2024-04-25,10517.01,10650,10650,10505,10525,4680,49494720,413.17
2024-04-26,10788.98,10615,10780,10525,10780,15086,160939800,423.9
2024-04-29,11079.08,10850,11105,10850,11075,16049,176999025,435.33
2024-04-30,11476.23,11340,11515,11085,11400,57055,645653635,450.99
2024-05-02,11523.06,11465,11705,11335,11510,25916,298216170,452.84
2024-05-03,11524.72,11465,11515,11400,11515,18381,210836270,452.94
2024-05-07,11507.49,11585,11585,11350,11505,15247,174571710,452.26
2024-05-08,11480.95,11505,11535,11385,11460,7328,83995485,451.22
2024-05-09,12012.21,11580,12105,11580,11980,24000,283299730,472.15
2024-05-10,12416.38,12170,12545,12050,12410,17310,212660925,488.09
2024-05-13,12298.32,12525,12580,12200,12285,49720,612169695,483.45
2024-05-14,12318.74,12285,12500,12225,12330,8981,111023215,484.28
2024-05-16,12452.47,12460,12460,12290,12445,6954,86099710,489.54
2024-05-17,12371.97,12430,12430,12275,12370,37288,460142730,486.4
2024-05-20,12542.49,12385,12660,12275,12545,8069,100771410,493.12
2024-05-21,12866.93,12490,12870,12475,12820,33101,422623265,505.9
2024-05-22,12869.64,12895,13035,12830,12860,19607,253866055,506.02
2024-05-23,12878.43,12815,13050,12775,12880,30861,397435870,506.37
2024-05-24,12891.45,12795,13045,12795,12895,20949,269898495,506.91
2024-05-27,12838.76,12920,13060,12705,12800,18202,235252330,504.84
2024-05-28,12798.71,12800,12980,12660,12805,13118,167842970,503.27
2024-05-29,13003.6,12805,13000,12690,13000,16394,211765730,511.35
2024-05-30,13055.15,12950,13270,12905,13065,31893,418204575,513.39
2024-05-31,13255.92,13200,13580,13075,13260,53367,714559410,521.32
2024-06-03,13348.68,13395,13515,13140,13350,31865,423814970,524.97
2024-06-04,12899.47,13325,13390,12820,12820,27326,354898415,507.29
2024-06-05,12879.0,12750,13000,12610,12880,28051,359106295,506.49
2024-06-07,13088.94,12880,13135,12825,13085,17542,228887085,514.79
2024-06-10,12967.77,12960,13165,12875,12970,9421,122390450,510.02
2024-06-11,13117.25,13190,13285,12980,13105,13066,171128265,515.92
2024-06-12,13729.37,13105,13720,13105,13695,34496,468450670,540.04
2024-06-13,13863.54,13740,14070,13660,13880,27075,377285945,545.34
2024-06-14,13733.36,13980,14150,13590,13755,68205,939964595,540.28
2024-06-17,13678.73,13755,13770,13490,13680,36884,501747320,538.13
2024-06-18,13722.94,13700,13750,13530,13725,19833,271089305,539.89
2024-06-19,13509.86,13795,14045,13340,13510,26745,366837925,531.46
2024-06-20,13243.21,13530,13600,13160,13205,29884,396717610,520.91
2024-06-21,13497.46,13195,13570,13015,13480,32602,432385405,531.0
2024-06-24,13368.92,13545,13575,13330,13355,9521,127946835,525.92
2024-06-25,13252.58,13330,13430,13160,13220,11201,148029475,521.32
2024-06-26,13532.37,13215,13500,13115,13480,18885,252381500,532.4
2024-06-27,13559.53,13515,13765,13430,13515,19502,265005025,533.45
2024-06-28,13215.22,13540,13550,13135,13200,20077,265859820,519.84
2024-07-01,13051.43,13270,13435,13000,13015,28474,374782170,513.37
2024-07-02,12745.96,12955,13015,12525,12720,39901,505005190,501.29
2024-07-03,12355.76,12650,12720,12230,12350,65481,812577300,485.85
2024-07-04,12307.67,12315,12315,12105,12290,48861,598585860,483.96
2024-07-05,12256.18,12295,12655,12230,12250,51473,637086050,481.94
2024-07-08,12600.5,12290,12570,12290,12570,17851,222522985,495.57
2024-07-09,12488.78,12610,12640,12450,12505,12932,162024735,491.16
2024-07-10,12588.83,12505,12605,12380,12605,6751,84537940,495.12
2024-07-11,12484.99,12680,12680,12470,12515,31436,393812630,491.02
2024-07-12,12389.57,12490,12545,12335,12355,15180,188951375,487.27
