date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2023-07-25,10032.88,10125,10160,10010,10035,577242,5821635790,1509.08
2023-07-26,9529.8,10045,10045,9455,9520,693167,6754487110,1433.21
2023-07-27,9784.94,9755,10130,9730,9780,410001,4091512380,1471.71
2023-07-28,9851.17,9785,9890,9690,9835,280671,2740571890,1481.75
2023-07-31,10376.62,9940,10385,9845,10380,353298,3589661865,1561.04
2023-08-01,10815.08,10475,10845,10435,10800,702752,7521182585,1627.21
2023-08-02,10586.08,10850,10875,10505,10595,403985,4356186425,1592.69
2023-08-03,10378.71,10520,10560,10210,10380,328051,3407289195,1561.43
2023-08-04,10817.22,10365,10835,10315,10805,435964,4601036420,1627.63
2023-08-07,10801.8,10830,10980,10650,10810,559300,6077073170,1625.32
2023-08-08,10755.52,10815,10900,10590,10730,440827,4746311465,1618.35
2023-08-09,10763.8,10745,10830,10660,10780,326428,3506844110,1619.62
2023-08-10,10534.98,10680,10760,10510,10555,288556,3066224835,1585.11
2023-08-11,10767.91,10475,10815,10460,10775,315317,3342060435,1620.32
2023-08-14,10821.31,10765,10875,10645,10820,395080,4259250305,1628.43
2023-08-16,10294.58,10640,10655,10270,10270,337101,3525376520,1548.99
2023-08-17,10291.97,10210,10400,10010,10270,270573,2751866505,1548.61
2023-08-18,10200.64,10140,10240,10095,10215,298759,3032237195,1534.9
2023-08-21,10097.95,10210,10225,10075,10105,161214,1639843495,1519.43
2023-08-22,10036.73,10140,10140,10005,10045,108463,1094293965,1510.21
2023-08-23,10050.47,10040,10180,10010,10035,132921,1349135145,1512.31
2023-08-24,10286.92,10145,10290,10100,10265,147026,1496453865,1548.0
2023-08-25,10075.85,10100,10135,10020,10060,125654,1268931560,1516.21
2023-08-28,10401.54,10180,10400,10180,10390,52926,547100995,1565.37
2023-08-29,10614.37,10465,10635,10390,10575,193330,2041956505,1597.49
2023-08-30,10785.97,10700,10860,10630,10755,56085,603722640,1623.4
2023-08-31,11238.22,10830,11250,10730,11225,271003,2999243980,1691.63
2023-09-01,11190.04,11240,11465,11150,11150,168716,1910048165,1684.41
2023-09-04,11318.22,11190,11550,11190,11320,215704,2463050525,1703.78
2023-09-05,11563.7,11375,11535,11220,11505,57985,662391335,1740.83
2023-09-06,11734.62,11505,11880,11390,11745,448757,5273667165,1766.64
2023-09-07,11680.34,11725,12035,11560,11680,245239,2885515980,1758.45
2023-09-08,11921.95,11715,11985,11635,11925,199195,2362018510,1794.94
2023-09-11,11974.56,12100,12425,11795,11980,312515,3805232780,1802.91
2023-09-12,11422.36,11940,11970,11355,11385,200585,2324650020,1719.62
2023-09-13,11106.02,11380,11385,11075,11095,82241,920853690,1671.92
2023-09-14,11458.77,11225,11455,11100,11430,104857,1184196960,1725.15
2023-09-15,11297.0,11505,11520,11205,11320,78349,886902545,1700.82
2023-09-18,11235.07,11245,11440,11185,11230,65612,738693330,1691.5
2023-09-19,11115.23,11250,11275,11045,11125,80957,896850870,1673.44
2023-09-20,11051.42,11220,11220,10915,11060,29222,321993695,1663.83
2023-09-21,10727.12,10975,11060,10705,10730,74577,806081460,1614.94
2023-09-22,10778.49,10555,10890,10475,10760,168917,1805178475,1622.75
2023-09-25,10613.76,10755,10925,10515,10615,57059,608786985,1597.92
2023-09-26,10415.4,10710,10765,10390,10430,38800,409072320,1568.02
2023-09-27,10731.34,10230,10720,10230,10700,67742,714364805,1615.82
2023-10-04,10285.84,10640,10640,10235,10240,72265,750843830,1548.64
2023-10-05,9892.06,10415,10415,9830,9905,53942,540056135,1489.26
2023-10-06,9953.69,9805,10000,9805,9935,22664,224945155,1498.63
2023-10-10,9877.91,10150,10310,9840,9875,81069,816318125,1487.22
2023-10-11,9909.39,9895,10005,9895,9920,53958,537195315,1492.0
2023-10-12,10130.61,10055,10200,10025,10130,56690,573850785,1525.4
2023-10-13,10119.82,10065,10115,9895,10110,53068,532100400,1523.83
2023-10-16,9773.51,10075,10075,9725,9780,91570,905064755,1471.61
2023-10-17,9866.9,9880,10035,9855,9865,47911,475265695,1485.71
2023-10-18,9802.63,9860,9990,9790,9815,18229,179612085,1476.03
2023-10-19,9466.27,9665,9665,9410,9410,135396,1284680465,1425.3
2023-10-20,9160.93,9305,9410,9110,9170,109823,1010127935,1379.3
2023-10-23,9270.78,9050,9300,9045,9265,77908,717491495,1395.89
2023-10-24,9334.51,9305,9365,8970,9295,42934,393218900,1405.52
2023-10-25,9333.65,9400,9470,9280,9325,26115,244355315,1405.42
2023-10-26,9072.56,9115,9215,9050,9075,18694,170756975,1366.05
2023-10-27,9024.81,9075,9150,8930,9015,15875,143029720,1358.89
2023-10-30,9461.19,9075,9505,9055,9465,70613,662110325,1424.74
2023-10-31,9239.16,9545,9580,9155,9220,42239,395676365,1391.26
2023-11-01,9505.92,9290,9575,9290,9480,51023,482566625,1431.54
2023-11-02,9809.96,9625,9820,9615,9820,62913,611063425,1477.42
2023-11-03,10194.23,9900,10200,9875,10200,28120,281131535,1535.45
2023-11-06,10580.98,10300,10540,10180,10540,63754,660443365,1593.8
2023-11-07,10506.67,10580,10585,10310,10490,105571,1102662480,1582.62
2023-11-08,10366.59,10570,10580,10290,10375,22950,238002350,1561.5
2023-11-09,10350.42,10320,10435,10275,10365,10968,113569855,1559.09
2023-11-10,10161.75,10235,10250,10120,10175,18359,186519870,1530.69
2023-11-13,10131.68,10210,10290,10090,10135,28650,293112455,1526.18
2023-11-14,10382.07,10215,10400,10170,10350,22946,236053550,1563.97
2023-11-15,10655.88,10505,10660,10455,10660,63472,672362760,1605.3
2023-11-16,10654.28,10720,10720,10485,10660,30535,323199320,1605.07
2023-11-17,10466.4,10615,10615,10395,10475,50865,531562820,1576.79
2023-11-20,10547.74,10445,10560,10405,10550,8795,92320970,1589.08
2023-11-21,10491.17,10570,10590,10455,10455,16872,177628195,1580.57
2023-11-22,10521.65,10455,10605,10425,10505,46487,489532940,1585.19
2023-11-23,10628.51,10590,10730,10575,10605,46582,497739355,1601.33
2023-11-24,10627.12,10670,10670,10565,10620,23690,251264670,1601.18
2023-11-27,10465.44,10635,10640,10450,10475,13948,146614690,1576.81
