date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,12774.15,12970,12970,12740,12775,78698,1005309565,1260.23
2019-01-03,12460.97,12600,12665,12445,12460,43908,547415445,1228.56
2019-01-04,12490.59,12385,12485,12355,12485,14003,174209550,1231.75
2019-01-07,12891.58,13000,13025,12815,12860,86182,1112746065,1272.26
2019-01-08,12922.59,12985,12985,12905,12915,8403,108661920,1275.44
2019-01-09,13112.92,13050,13120,13005,13105,304,3982410,1294.66
2019-01-10,13098.3,13100,13125,13050,13095,84601,1108093505,1293.11
2019-01-11,13179.99,13135,13155,13135,13135,9157,120638970,1301.4
2019-01-14,13106.27,13135,13135,13015,13060,16996,222591125,1293.95
2019-01-15,13263.23,13065,13255,13065,13255,29540,391720550,1309.87
2019-01-16,13394.01,13315,13360,13315,13360,19474,260814135,1323.08
2019-01-17,13441.82,13375,13485,13375,13445,11443,153797420,1327.94
2019-01-18,13574.06,13560,13565,13520,13535,16533,224418080,1341.38
2019-01-21,13613.45,13640,13660,13570,13575,12797,174210055,1345.33
2019-01-22,13545.3,13650,13650,13550,13550,8040,108902920,1338.49
2019-01-23,13573.06,13450,13580,13450,13575,67,905695,1341.37
2019-01-24,13506.13,13495,13505,13430,13480,397,5346555,1334.58
2019-01-25,13783.56,13500,13745,13500,13740,25371,349510980,1362.79
2019-01-28,13754.43,13760,13775,13700,13715,11061,152004705,1359.89
2019-01-29,13861.22,13695,13825,13650,13825,11593,160642035,1370.7
2019-01-30,14001.7,13770,13985,13725,13920,21702,303036280,1385.02
2019-01-31,13940.64,14130,14130,13870,13945,6272,87601785,1378.81
2019-02-01,13842.49,13885,14000,13830,13830,11792,163264785,1368.87
2019-02-07,13942.94,13850,13950,13825,13910,12607,175661105,1379.19
2019-02-08,13741.62,13820,13835,13675,13745,41003,563315090,1359.1
2019-02-11,13770.35,13760,13760,13700,13730,333,4565330,1362.13
2019-02-12,13801.41,13735,13790,13680,13755,308214,4243701245,1365.38
2019-02-13,13959.21,13870,13940,13860,13940,322815,4486490330,1381.56
2019-02-14,14068.07,13860,14065,13780,14065,4642,64270145,1392.83
2019-02-15,14006.58,14065,14070,13950,14000,9721,136166835,1386.44
2019-02-18,14313.84,14070,14345,14070,14295,83541,1195279065,1417.46
2019-02-19,14290.83,14280,14355,14280,14290,2020,28896015,1415.02
2019-02-20,14471.11,14360,14485,14325,14465,73359,1061449195,1433.13
2019-02-21,14299.01,14395,14395,14270,14300,11452,163881510,1416.11
2019-02-22,14193.76,14185,14190,14075,14190,31346,444837010,1405.72
2019-02-25,14240.52,14245,14295,14205,14205,9845,140205150,1410.44
2019-02-26,14184.48,14235,14235,14075,14165,4188,59205750,1404.69
2019-02-27,14374.97,14235,14350,14200,14350,15260,219242600,1423.95
2019-02-28,14247.41,14405,14405,14225,14245,7889,112437770,1411.12
2019-03-04,14124.19,14305,14415,14100,14120,23839,337004505,1398.82
2019-03-05,14043.94,14090,14095,13960,13960,48597,682116260,1390.63
2019-03-06,14127.9,14040,14105,14040,14085,10078,142363915,1399.1
2019-03-07,13847.08,14035,14035,13800,13850,3537,49011910,1370.94
2019-03-08,13724.39,13760,13800,13650,13725,21218,291269555,1359.57
2019-03-11,13614.57,13640,13640,13520,13615,62186,846584030,1348.54
2019-03-12,13735.25,13725,13755,13725,13730,5044,69278445,1360.82
2019-03-13,13606.56,13605,13605,13525,13595,20345,276767975,1348.04
2019-03-14,13847.46,13690,13870,13690,13850,11156,154311800,1372.32
2019-03-15,14013.71,13805,14040,13805,14020,24341,341090035,1389.66
2019-03-18,13977.58,14040,14040,13935,13970,26331,368166855,1385.97
2019-03-19,13997.58,13975,14010,13960,13990,3318,46443330,1387.9
2019-03-20,13927.29,13940,13940,13705,13885,101081,1407212260,1380.83
2019-03-21,14022.09,14030,14090,13980,14025,29902,419041320,1390.42
2019-03-22,13918.17,13890,13930,13860,13860,14465,201336410,1379.93
2019-03-25,13612.15,13670,13700,13550,13610,5564,75709715,1348.99
2019-03-26,13523.62,13580,13580,13475,13520,11353,153527675,1340.11
2019-03-27,13506.62,13500,13505,13455,13480,7222,97513235,1338.26
2019-03-28,13419.14,13425,13440,13310,13430,66659,894627100,1329.32
2019-03-29,13462.65,13430,13440,13280,13440,6792,91387920,1333.83
2019-04-01,13659.75,13600,13685,13600,13675,41415,565652670,1353.72
2019-04-02,13700.45,13640,13680,13635,13680,657,8962040,1357.85
