date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,8422.12,8670,8695,8365,8405,426,3694010,4072.98
2019-01-03,8406.75,8445,8575,8420,8420,20,170885,4065.6
2019-01-04,8605.65,8495,8630,8480,8580,32,272635,4162.78
2019-01-07,8813.76,8725,8805,8725,8790,96,842445,4264.31
2019-01-08,8689.99,8775,8775,8695,8700,10,87185,4203.98
2019-01-09,8804.9,8720,8805,8705,8800,119,1040680,4260.04
2019-01-10,8781.28,8815,8815,8750,8785,71,622910,4248.58
2019-01-11,8735.7,8795,8810,8735,8740,624,5491505,4226.38
2019-01-14,8623.8,8720,8720,8625,8625,157,1357065,4171.86
2019-01-15,8704.8,8605,8755,8605,8710,190,1651140,4211.5
2019-01-16,8696.58,8685,8695,8655,8660,49,424535,4207.6
2019-01-17,8629.95,8725,8725,8630,8630,29,250695,4175.04
2019-01-18,8760.86,8715,8755,8715,8755,9,78605,4238.97
2019-01-21,8581.56,8685,8685,8565,8580,12,103175,4151.52
2019-01-22,8645.03,8590,8660,8585,8660,5,43035,4182.55
2019-01-23,8617.22,8655,8680,8620,8620,7,60585,4169.1
2019-01-24,8556.41,8595,8595,8520,8560,148,1261800,4139.52
2019-01-25,8718.9,8645,8745,8645,8685,7161,62443365,4218.99
2019-01-28,8713.53,8700,8740,8695,8730,58,505315,4216.46
2019-01-29,8707.82,8680,8680,8590,8670,77,663915,4213.72
2019-01-30,8759.17,8730,8790,8725,8760,73,638595,4238.82
2019-01-31,8785.8,8790,8850,8765,8785,102,896975,4251.87
2019-02-01,8879.03,8830,8885,8800,8875,31,275455,4297.58
2019-02-07,8932.6,8900,8945,8885,8930,8,71350,4323.82
2019-02-08,9009.06,8945,9050,8945,9020,381,3439105,4361.3
2019-02-11,8887.8,9020,9020,8875,8885,55,490555,4303.16
2019-02-12,8776.44,8820,8850,8725,8775,51,446930,4248.98
2019-02-13,8934.47,8805,8940,8805,8940,81,721520,4326.45
2019-02-14,9102.05,8910,9090,8910,9060,24,216670,4408.14
2019-02-15,9017.79,9075,9135,9010,9010,5529,50309610,4367.2
2019-02-18,9118.8,9070,9090,9065,9090,54,490545,4416.53
2019-02-19,9133.81,9095,9145,9050,9145,25,228430,4423.91
2019-02-20,9150.24,9155,9185,9130,9155,2012,18399780,4432.01
2019-02-21,9125.44,9150,9205,9150,9165,9,82530,4419.95
2019-02-22,9086.15,9120,9155,9085,9085,14,127675,4401.0
2019-02-25,9169.12,9115,9140,9095,9135,48,437610,4441.54
2019-02-26,9258.45,9230,9260,9195,9240,142,1307275,4485.1
2019-02-27,9476.86,9265,9465,9265,9465,717,6710105,4591.75
2019-02-28,9267.83,9490,9530,9265,9265,221,2075060,4489.9
2019-03-04,9283.82,9325,9325,9260,9285,5,46425,4497.88
2019-03-05,9202.65,9260,9260,9210,9210,5,46140,4458.33
2019-03-06,9275.74,9225,9275,9220,9275,15,138495,4494.03
2019-03-07,9157.3,9255,9260,9055,9110,113,1036555,4436.31
2019-03-08,9194.95,9150,9185,9145,9185,5,45830,4454.33
2019-03-11,9311.07,9260,9305,9235,9305,139,1285950,4510.97
2019-03-12,9296.22,9345,9345,9305,9310,6,55970,4503.73
2019-03-13,9271.37,9270,9275,9250,9275,17,157510,4491.65
2019-03-14,9226.89,9275,9300,9255,9260,6,55625,4470.0
2019-03-15,9280.43,9270,9290,9205,9255,6,55510,4496.22
2019-03-18,9430.75,9315,9410,9315,9385,6,56325,4569.59
2019-03-19,9255.79,9405,9405,9250,9255,16,148510,4484.43
2019-03-20,9209.95,9220,9220,9135,9210,5,45855,4463.82
2019-03-21,9095.89,9155,9165,9035,9080,62,563055,4408.3
2019-03-22,9096.32,9145,9145,9075,9095,2006,18204735,4408.67
2019-03-25,8978.3,9010,9050,8975,8975,19,171060,4351.25
2019-03-26,9160.8,9060,9165,9060,9120,7,63855,4440.2
2019-03-27,9123.18,9145,9145,9100,9115,7,63875,4421.94
2019-03-28,9238.02,9100,9250,9100,9235,12,110335,4478.03
2019-03-29,9280.03,9260,9265,9170,9265,19,175775,4498.61
2019-04-01,9205.95,9270,9270,9170,9180,45,415070,4463.77
2019-04-02,9189.2,9210,9210,9180,9185,7,64325,4455.66
2019-04-03,9410.41,9405,9450,9320,9370,1041,9755410,4563.5
2019-04-04,9452.5,9380,9455,9380,9455,89,837745,4584.07
2019-04-05,9466.49,9480,9480,9450,9470,15,141865,4591.05
2019-04-08,9397.29,9475,9475,9375,9375,38,357230,4557.39
2019-04-09,9339.28,9395,9395,9295,9345,15,140380,4529.19
2019-04-10,9432.46,9340,9405,9340,9405,18,168595,4574.62
2019-04-11,9496.43,9395,9460,9395,9440,39,368060,4605.88
2019-04-12,9543.39,9490,9540,9480,9540,1039,9850645,4628.92
2019-04-15,9603.67,9650,9650,9535,9605,80,767015,4658.28
2019-04-16,9604.72,9645,9645,9540,9610,11,105385,4658.86
2019-04-17,9574.25,9610,9610,9530,9570,511,4892635,4644.07
2019-04-18,9435.02,9570,9570,9440,9440,5,47495,4576.27
2019-04-19,9463.76,9475,9475,9430,9460,104,983000,4590.41
2019-04-22,9449.31,9520,9520,9435,9445,17,160750,4583.41
2019-04-23,9376.04,9435,9435,9350,9350,5,46865,4547.77
2019-04-24,9471.8,9380,9500,9350,9420,50,469790,4594.47
2019-04-25,9392.13,9430,9465,9350,9390,516,4825040,4555.7
2019-04-26,9288.74,9370,9370,9305,9305,7,65280,4514.27
2019-04-29,9400.76,9305,9380,9285,9365,138,1283925,4568.88
2019-04-30,9525.46,9440,9525,9340,9525,19,179880,4629.76
2019-05-02,9460.2,9455,9490,9440,9460,54,510115,4598.02
2019-05-03,9551.72,9535,9560,9480,9560,17,161700,4642.78
2019-05-07,9490.4,9395,9500,9385,9435,71,672775,4612.93
2019-05-08,9645.47,9400,9655,9400,9600,44,422315,4688.56
2019-05-09,9381.31,9670,9675,9385,9385,15,144225,4559.89
2019-05-10,9544.04,9440,9525,9440,9525,15,141845,4639.35
2019-05-13,9612.71,9525,9655,9525,9610,96,920280,4672.93
2019-05-14,9426.16,9475,9530,9395,9425,65,613160,4582.05
2019-05-15,9491.96,9460,9495,9450,9475,18,170305,4614.14
2019-05-16,9488.91,9460,9535,9460,9475,55,522445,4612.71
