date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,7908.01,8025,8045,7865,7890,7918,62936940,1537.25
2019-01-03,7908.93,7890,7905,7855,7900,1161,9153190,1537.46
2019-01-04,7954.94,7875,7960,7860,7925,3851,30557560,1546.83
2019-01-07,7925.2,7975,8015,7875,7925,2627,20907550,1540.84
2019-01-08,7887.89,7925,7925,7825,7850,196,1539375,1533.31
2019-01-09,7861.18,7870,7905,7825,7855,484,3804175,1527.93
2019-01-10,7868.53,7840,7870,7815,7830,4753,37246060,1529.43
2019-01-11,7889.29,7850,7890,7850,7890,555,4369185,1533.69
2019-01-14,7820.81,7875,7875,7765,7820,2245,17493115,1519.86
2019-01-15,7927.17,7820,7930,7820,7895,1351,10641945,1541.4
2019-01-16,7963.57,7895,7960,7895,7960,1211,9600030,1548.78
2019-01-17,8039.35,7960,8035,7960,8015,1892,15146980,1564.13
2019-01-18,8041.05,8030,8050,8000,8005,1930,15463375,1564.53
2019-01-21,8021.08,8005,8005,7980,7980,407,3252610,1560.51
2019-01-22,8046.36,7980,8030,7980,8030,726,5817305,1565.64
2019-01-23,8082.62,8025,8085,8025,8065,4782,38522850,1573.0
2019-01-24,8167.84,8045,8145,8045,8125,2275,18419795,1590.26
2019-01-25,8170.72,8135,8190,8105,8140,1093,8927885,1590.91
2019-01-28,8157.45,8115,8145,8115,8130,222,1806205,1588.24
2019-01-29,8155.52,8130,8140,8075,8140,150441,1217075870,1588.0
2019-01-30,8185.29,8150,8155,8060,8155,161374,1304757500,1594.04
2019-01-31,8098.16,8155,8155,8055,8095,11281,91162870,1578.65
2019-02-01,8249.68,8095,8250,8095,8220,12574,103120825,1609.03
2019-02-07,8186.91,8275,8275,8135,8190,8982,73558415,1596.35
2019-02-08,8239.89,8200,8215,8165,8215,3831,31361355,1609.22
2019-02-11,8189.42,8220,8255,8180,8190,799,6552090,1599.04
2019-02-12,8288.26,8220,8285,8190,8260,1594,13134745,1619.34
2019-02-13,8383.95,8280,8370,8280,8360,2185,18211485,1638.93
2019-02-14,8476.26,8340,8440,8320,8440,3176,26665365,1657.63
2019-02-15,8347.09,8365,8375,8315,8315,1120,9345030,1631.56
2019-02-18,8387.04,8315,8395,8315,8355,2233,18686730,1639.66
2019-02-19,8386.03,8355,8400,8355,8360,4884,40954047,1639.48
2019-02-20,8460.0,8360,8435,8340,8430,2440,20498850,1654.46
2019-02-21,8500.31,8485,8490,8430,8490,19520,165228588,1662.65
2019-02-22,8485.19,8480,8485,8440,8485,219,1854430,1659.65
2019-02-25,8525.74,8485,8585,8485,8525,3785,32224790,1667.88
2019-02-26,8453.3,8465,8465,8390,8440,8071,67817045,1653.24
2019-02-27,8460.9,8385,8455,8375,8455,1429,11999030,1654.89
2019-02-28,8413.21,8455,8455,8390,8440,5162,43565970,1645.33
2019-03-04,8369.41,8435,8440,8335,8345,15595,130828165,1637.64
2019-03-05,8377.04,8295,8380,8295,8340,10360,86557825,1639.21
2019-03-06,8359.17,8330,8365,8300,8330,3573,29808150,1635.61
2019-03-07,8281.05,8300,8300,8220,8250,21584,178194765,1619.82
2019-03-08,8172.63,8230,8230,8140,8170,788,6438870,1597.95
2019-03-11,8220.74,8185,8215,8185,8210,1277,10475095,1607.71
2019-03-12,8269.05,8240,8290,8240,8260,19967,165165411,1617.5
2019-03-13,8245.86,8260,8260,8200,8220,11100,91549553,1612.83
2019-03-14,8317.58,8255,8310,8245,8285,15108,124601660,1627.36
2019-03-15,8523.3,8285,8490,8285,8490,2722,22977270,1669.04
2019-03-18,8557.87,8515,8550,8485,8550,35264,301799137,1676.06
2019-03-19,8569.39,8555,8600,8520,8570,101770,872519820,1678.41
2019-03-20,8554.89,8500,8525,8480,8525,531,4511850,1675.5
2019-03-21,8379.96,8490,8490,8355,8355,1136,9549975,1640.13
2019-03-22,8396.11,8345,8430,8320,8370,503,4209595,1643.46
2019-03-25,8315.36,8350,8350,8280,8310,1221,10130990,1627.24
