date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-06-20,10245.57,10105,10235,10105,10225,18,183605,1484.48
2019-06-21,10209.89,10240,10250,10190,10210,13,132900,1479.38
2019-06-24,10190.8,10185,10220,10180,10185,6,61185,1476.64
2019-06-25,10169.57,10220,10240,10155,10170,6,61210,1473.54
2019-06-26,10208.98,10200,10230,10165,10190,31,316115,1479.26
2019-06-27,10374.0,10285,10415,10285,10380,5,51845,1500.23
2019-06-28,10344.73,10390,10410,10315,10350,16,165615,1496.03
2019-07-01,10300.89,10370,10370,10290,10310,6,61900,1489.65
2019-07-02,10276.72,10195,10315,10195,10280,5,51350,1486.23
2019-07-03,10191.04,10265,10265,10190,10190,5,51070,1473.87
2019-07-04,10317.99,10240,10315,10240,10315,5,51360,1492.3
2019-07-05,10299.52,10315,10315,10265,10290,5,51475,1489.71
2019-07-08,10032.64,10150,10150,10000,10010,47,472215,1451.02
2019-07-09,10065.01,10100,10120,10055,10095,5,50480,1455.68
2019-07-10,10183.48,10160,10235,10160,10205,5,50990,1472.86
2019-07-11,10315.67,10300,10355,10295,10355,6,61980,1492.04
2019-07-12,10379.59,10340,10400,10340,10365,7,72625,1501.42
2019-07-15,10436.41,10345,10440,10345,10440,5,52030,1509.72
2019-07-16,10498.44,10445,10490,10445,10460,8,83745,1518.74
2019-07-17,10359.43,10395,10395,10355,10360,11,113975,1498.63
2019-07-18,10391.88,10390,10410,10360,10405,10,103795,1503.33
2019-07-19,10553.78,10500,10555,10485,10555,24,253125,1526.89
2019-07-22,10566.22,10505,10575,10505,10540,52,548180,1528.7
2019-07-23,10584.55,10625,10640,10575,10575,16,169890,1531.37
2019-07-24,10479.52,10555,10640,10475,10475,5,52835,1516.12
2019-07-25,10550.21,10570,10570,10480,10530,15,157985,1526.31
2019-07-26,10614.85,10545,10615,10520,10615,16,168575,1535.7
2019-07-29,10365.2,10505,10505,10370,10370,13,135290,1499.49
2019-07-30,10448.11,10445,10465,10425,10465,5,52220,1511.57
2019-07-31,10399.96,10450,10450,10300,10400,20,207600,1504.61
2019-08-01,10433.8,10355,10460,10340,10400,45,468570,1509.48
2019-08-02,10420.56,10310,10450,10310,10425,24,249290,1507.56
2019-08-05,10126.06,10315,10315,10125,10125,16,162795,1464.83
2019-08-06,9933.01,9830,10050,9830,9935,17,169915,1436.87
2019-08-07,9959.5,10050,10050,9945,9980,5,49935,1440.73
2019-08-08,10039.31,10045,10085,10045,10050,7,70455,1452.37
2019-08-09,10197.23,10170,10225,10160,10175,7,71315,1475.32
2019-08-12,10239.74,10275,10295,10245,10245,10,102750,1481.44
2019-08-13,10183.4,10155,10195,10155,10190,7,71305,1473.29
2019-08-14,10312.89,10330,10330,10275,10295,43,442690,1492.15
2019-08-16,10267.01,10230,10250,10215,10245,7,71645,1485.59
2019-08-19,10249.43,10330,10330,10240,10240,5,51400,1483.06
2019-08-20,10445.6,10270,10455,10270,10455,5,51730,1511.52
2019-08-21,10452.85,10375,10465,10375,10460,11,114940,1512.59
2019-08-22,10349.91,10455,10460,10355,10355,5,52090,1497.68
2019-08-23,10368.41,10305,10380,10305,10375,5,51735,1500.42
2019-08-26,10140.13,10160,10180,10140,10140,6,60985,1467.36
2019-08-27,10269.32,10220,10300,10220,10235,6,61540,1486.02
