date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2023-10-17,10145.82,10245,10245,10125,10150,245174,2491722435,931.07
2023-10-18,10372.06,10170,10375,10170,10350,853984,8821021950,951.9
2023-10-19,10214.98,10305,10305,10180,10220,361094,3684662100,937.45
2023-10-20,10187.41,10160,10210,10105,10195,269436,2739623330,934.94
2023-10-23,9969.01,10185,10185,9935,9970,439850,4403075845,914.85
2023-10-24,9950.95,10045,10045,9900,9965,471802,4698891175,913.2
2023-10-25,9993.21,9965,10010,9905,9990,240780,2402857370,917.1
2023-10-26,9867.18,9975,9985,9855,9875,264040,2616713495,905.51
2023-10-27,9766.36,9900,9980,9730,9780,303135,2983305650,896.25
2023-10-30,9555.86,9715,9715,9440,9570,309199,2955163935,876.89
2023-10-31,9592.79,9605,9665,9540,9575,188417,1811675145,880.3
2023-11-01,9665.74,9610,9670,9565,9670,284054,2736613200,887.02
2023-11-02,9547.17,9710,9800,9520,9560,325664,3142515830,876.12
2023-11-03,9695.29,9590,9695,9580,9695,249902,2411283250,889.77
2023-11-06,10062.33,9765,9990,9675,9990,383410,3734678885,923.56
2023-11-07,9794.35,9910,9910,9710,9800,318111,3106427740,898.91
2023-11-08,9732.57,9800,9800,9715,9720,318290,3103717430,893.23
2023-11-09,9814.61,9720,9840,9720,9805,274805,2693530240,900.79
2023-11-10,9837.76,9750,9850,9750,9825,296508,2910231115,902.95
2023-11-13,9864.19,9880,9880,9810,9845,28389,279571540,905.39
2023-11-14,9959.04,9875,9975,9875,9965,46013,457648875,914.13
2023-11-15,10031.59,10020,10075,9945,10030,39586,396250360,920.81
2023-11-16,10038.44,10045,10070,9965,10005,38781,388546505,921.45
2023-11-17,9991.82,10035,10035,9970,10000,38019,380004855,917.19
2023-11-20,9982.38,9940,10020,9920,9995,50461,502943655,916.33
2023-11-21,10066.8,10010,10060,9990,10050,33337,334765875,924.11
2023-11-22,10074.61,10015,10095,10000,10075,57753,579905675,924.83
2023-11-23,10106.05,10095,10145,10060,10080,32338,327108835,927.74
2023-11-24,10063.71,10140,10140,10060,10070,36705,370291295,923.87
2023-11-27,10047.97,10050,10070,10000,10030,28739,288243915,922.43
2023-11-28,10092.32,10040,10090,9980,10090,60118,603772425,926.52
2023-11-29,9988.49,10035,10050,9970,9995,62314,623694390,916.97
2023-11-30,10070.14,9980,10065,9945,10060,56530,566228025,924.5
2023-12-01,10025.57,10085,10085,10010,10030,63211,634427520,920.42
2023-12-04,10001.88,10030,10055,10005,10015,57385,575495565,918.25
2023-12-05,9993.93,10015,10015,9935,10000,64733,646198095,917.53
2023-12-06,10026.78,9995,10090,9990,10025,47459,476887880,920.56
2023-12-07,9949.49,9990,9990,9930,9955,119505,1189979070,913.45
2023-12-08,9985.98,9955,9995,9955,9985,59719,596178660,916.84
2023-12-11,9988.96,9990,10000,9950,9995,73337,731324395,917.12
2023-12-12,10077.39,10000,10065,10000,10055,57976,582225905,925.27
2023-12-13,10043.28,10070,10100,10035,10045,88674,892963410,922.14
2023-12-14,10094.06,10100,10120,10060,10100,52050,525676605,926.82
2023-12-15,10231.54,10150,10220,10120,10200,67399,686727545,939.61
2023-12-18,10126.82,10190,10190,10105,10135,85720,869217895,929.99
2023-12-19,10077.76,10095,10120,10050,10100,39873,402582470,925.48
2023-12-20,10226.94,10180,10230,10130,10225,63598,647739635,939.22
2023-12-21,10231.94,10190,10250,10165,10200,55150,562770125,939.69
2023-12-22,10200.48,10255,10255,10195,10205,49692,507598065,936.82
2023-12-26,10238.32,10230,10250,10195,10250,120005,1226799635,940.31
2023-12-27,10181.65,10250,10250,10110,10185,196636,1995436610,932.8
