date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,2906.32,2940,2955,2875,2895,66221,192335730,580.55
2019-01-03,2896.98,2910,2925,2885,2885,7936,23066445,578.67
2019-01-04,2924.11,2870,2935,2855,2910,138660,404833175,584.15
2019-01-07,2950.52,2940,2965,2930,2940,28448,83992745,589.48
2019-01-08,2948.41,2950,2965,2935,2950,86308,254091670,589.06
2019-01-09,2996.48,2960,3000,2960,2985,84809,253551640,598.75
2019-01-10,2968.05,2960,2975,2950,2965,48262,142894700,593.03
2019-01-11,2981.45,2960,2985,2950,2980,59887,177372440,595.75
2019-01-14,2992.64,2980,2995,2965,2980,110248,328930290,598.01
2019-01-15,3041.14,2990,3045,2990,3045,92092,278434970,607.78
2019-01-16,3065.84,3035,3075,3030,3070,17912,54816825,612.76
2019-01-17,3082.62,3075,3110,3070,3080,16100,49782425,616.14
2019-01-18,3105.16,3090,3100,3065,3100,18727,57686505,620.7
2019-01-21,3077.5,3105,3120,3065,3065,11747,36305075,615.15
2019-01-22,3060.81,3065,3070,3030,3050,35333,107772920,611.8
2019-01-23,3079.73,3040,3080,3040,3065,7043,21516105,615.62
2019-01-24,3082.06,3060,3080,3040,3080,10284,31269805,616.09
2019-01-25,3006.5,3060,3070,3000,3010,40445,121980330,600.92
2019-01-28,3007.23,3010,3025,2990,3010,27897,83952850,601.08
2019-01-29,3032.53,3025,3035,3005,3035,6521,19686375,606.18
2019-01-30,3058.85,3020,3055,3015,3045,12025,36591795,611.49
2019-01-31,3040.5,3065,3070,3015,3035,25784,78163065,607.8
2019-02-01,3040.24,3035,3050,3005,3040,35238,106547590,607.82
2019-02-07,3009.39,3050,3050,2990,3010,55949,167566050,601.64
2019-02-08,3027.04,3015,3025,2980,3015,7658,22918635,605.2
2019-02-11,3028.6,3020,3040,2980,3030,5546,16611375,605.52
2019-02-12,3020.84,3020,3035,3010,3020,1901,5750110,603.96
2019-02-13,3047.3,3030,3060,3030,3050,6529,19904160,609.08
2019-02-14,3073.88,3060,3065,3030,3065,8461,25867500,614.44
2019-02-15,3052.45,3045,3065,3030,3040,6848,20848390,610.15
2019-02-18,3027.23,3045,3050,3000,3025,39595,119561505,605.1
2019-02-19,3055.33,3010,3055,3010,3055,978,2972735,610.76
2019-02-20,3084.68,3060,3110,3060,3085,2259,6976705,616.67
2019-02-21,3087.93,3090,3090,3055,3090,1137,3500720,617.32
2019-02-22,3097.25,3080,3100,3080,3100,20296,62783010,619.22
2019-02-25,3126.9,3105,3130,3105,3125,5979,18628595,625.19
2019-02-26,3159.82,3125,3160,3120,3160,42225,132913615,631.83
2019-02-27,3122.15,3160,3170,3100,3120,28093,87436305,624.26
2019-02-28,3057.31,3120,3130,3040,3050,8040,24813390,611.21
2019-03-04,3078.28,3040,3080,3040,3065,51009,156449100,615.43
2019-03-05,3051.41,3060,3070,3030,3040,12154,36922390,610.03
2019-03-06,3042.15,3050,3050,3020,3040,3553,10765700,607.53
2019-03-07,3006.15,3035,3040,2990,3010,69124,208240870,600.29
2019-03-08,2959.67,2990,2990,2945,2960,1761,5202475,590.96
2019-03-11,2928.35,2945,2945,2905,2930,11230,32669275,584.67
2019-03-12,2935.82,2940,2950,2910,2940,115934,338185230,586.19
2019-03-13,2917.09,2925,2925,2880,2915,3044,8812200,582.42
2019-03-14,2923.13,2925,2925,2910,2920,529,1541360,583.65
2019-03-15,2935.54,2925,2950,2900,2935,97708,284549008,585.89
2019-03-18,2959.01,2940,2975,2940,2955,7951,23449635,590.63
2019-03-19,2926.04,2970,2970,2925,2930,1037,3038160,584.0
2019-03-20,2908.98,2925,2925,2880,2905,5354,15505345,580.57
2019-03-21,2839.61,2900,2900,2800,2835,518183,1464304930,566.62
2019-03-22,2853.34,2800,2835,2800,2835,15145,42535530,569.41
2019-03-25,2808.81,2815,2825,2750,2795,122857,340967845,560.46
2019-03-26,2791.44,2785,2805,2775,2795,3269,9107470,556.97
2019-03-27,2795.04,2805,2840,2780,2800,9277,25839595,557.7
2019-03-28,2745.37,2790,2790,2725,2750,8213,22415715,547.71
2019-03-29,2804.48,2755,2800,2755,2800,41834,116543305,559.63
2019-04-01,2847.13,2800,2850,2800,2850,33947,95686940,568.22
2019-04-02,2849.02,2845,2845,2820,2840,3403,9647420,568.61
2019-04-03,2872.54,2835,2865,2830,2865,15013,42770765,573.36
2019-04-04,2861.1,2865,2865,2850,2860,50099,142810955,571.06
2019-04-05,2869.75,2865,2875,2855,2870,445,1273865,572.83
2019-04-08,2956.27,2940,2970,2905,2960,25632,75395970,590.29
2019-04-09,2942.78,2960,3015,2930,2945,12025,35516350,587.58
