date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,5976.08,6170,6200,5940,5975,55776,336345690,579.14
2019-01-03,5898.34,5970,6015,5865,5890,60567,358116765,571.31
2019-01-04,5957.73,5865,5955,5825,5935,182842,1084686775,577.3
2019-01-07,6176.94,6060,6215,6060,6155,59647,367762145,599.39
2019-01-08,6091.01,6155,6170,6065,6095,24277,148628730,590.73
2019-01-09,6213.17,6110,6210,6110,6210,197826,1224993240,603.04
2019-01-10,6191.13,6205,6210,6140,6180,25688,158733605,600.82
2019-01-11,6172.82,6165,6230,6145,6150,223919,1381238640,598.98
2019-01-14,6141.42,6150,6155,6110,6140,17436,106820050,595.82
2019-01-15,6394.28,6145,6390,6145,6375,156158,988765585,621.3
2019-01-16,6520.94,6370,6565,6370,6520,110209,715280595,634.07
2019-01-17,6485.4,6545,6570,6445,6475,111298,723186420,630.49
2019-01-18,6599.51,6515,6590,6510,6580,103564,679002030,642.0
2019-01-21,6546.33,6650,6650,6520,6550,52081,341348190,636.64
2019-01-22,6483.53,6530,6565,6405,6485,58001,374941135,630.31
2019-01-23,6476.79,6435,6520,6415,6455,26515,171475695,629.63
2019-01-24,6726.21,6550,6715,6550,6700,268147,1779449595,654.77
2019-01-25,6732.29,6675,6735,6630,6710,177142,1185114440,655.39
2019-01-28,6640.77,6710,6720,6610,6640,88861,591615220,646.17
2019-01-29,6621.09,6585,6615,6525,6610,227884,1494941380,644.19
2019-01-30,6688.21,6655,6670,6530,6670,114146,753487130,650.93
2019-01-31,6729.57,6810,6830,6715,6730,282625,1907961160,655.1
2019-02-01,6742.46,6720,6775,6715,6725,86852,585757730,656.4
2019-02-07,6871.91,6780,6860,6750,6845,349709,2379672040,669.45
2019-02-08,6653.99,6790,6815,6625,6640,119874,800333685,647.5
2019-02-11,6631.54,6645,6700,6610,6630,70658,469151340,645.23
2019-02-12,6664.28,6640,6665,6615,6650,190710,1270657870,648.53
2019-02-13,6609.76,6715,6715,6590,6610,81237,537537245,643.04
