date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,3491.1,3605,3605,3470,3490,1616,5671145,1680.23
2019-01-03,3450.11,3490,3500,3435,3440,7525,25866790,1659.71
2019-01-04,3481.6,3430,3480,3410,3480,3407,11698520,1675.56
2019-01-07,3611.04,3535,3625,3535,3600,5715,20534235,1740.47
2019-01-08,3559.91,3600,3600,3550,3550,493,1761905,1714.86
2019-01-09,3629.96,3600,3630,3595,3615,13008,46955445,1749.99
2019-01-10,3617.38,3615,3625,3590,3625,479,1730485,1743.69
2019-01-11,3606.49,3620,3625,3590,3605,2513,9063745,1738.31
2019-01-14,3589.8,3595,3600,3570,3580,1260,4510605,1729.95
2019-01-15,3739.19,3575,3740,3575,3730,25651,94951895,1804.86
2019-01-16,3812.09,3730,3820,3730,3800,19873,75521845,1841.43
2019-01-17,3791.98,3825,3830,3765,3790,31727,121182865,1831.37
2019-01-18,3857.42,3810,3850,3810,3850,2486,9483455,1864.24
2019-01-21,3825.18,3865,3870,3810,3820,5469,21096715,1848.1
2019-01-22,3790.48,3820,3820,3740,3775,359,1355035,1830.72
2019-01-23,3785.9,3775,3800,3760,3775,3103,11714715,1828.44
2019-01-24,3930.34,3825,3930,3825,3920,9837,38114475,1900.87
2019-01-25,3933.12,3895,3930,3875,3905,44414,173744930,1902.33
2019-01-28,3876.06,3900,3915,3865,3870,19312,75189070,1873.76
2019-01-29,3867.31,3860,3860,3815,3850,3588,13758385,1869.4
2019-01-30,3904.97,3875,3890,3825,3890,36144,139494225,1887.85
2019-01-31,3929.01,3965,3980,3905,3905,28156,111355605,1899.91
2019-02-01,3934.56,3935,3950,3930,3935,54397,214314205,1902.81
2019-02-07,4011.46,3965,4015,3950,4005,148785,596042125,1941.39
2019-02-08,3884.89,3975,3975,3880,3885,31307,122164340,1877.89
2019-02-11,3871.08,3885,3900,3860,3875,13264,51334060,1870.99
2019-02-12,3889.24,3875,3895,3870,3890,40802,158590350,1880.12
2019-02-13,3855.87,3925,3925,3850,3850,23162,89207440,1863.41
2019-02-14,3898.48,3845,3885,3840,3885,103488,402630440,1884.79
2019-02-15,3822.6,3885,3885,3820,3825,8466,32461455,1846.82
2019-02-18,3864.8,3850,3885,3850,3855,35774,138511140,1868.0
2019-02-19,3843.09,3850,3860,3830,3835,42417,163194650,1857.13
2019-02-20,3892.43,3835,3890,3830,3885,18435,71240770,1881.89
2019-02-21,3885.04,3885,3885,3855,3875,5295,20479880,1878.21
