date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,17164.19,17480,17500,17150,17170,1629,28346650,1727.08
2019-01-03,16480.29,17150,17150,16485,16485,5163,86975675,1657.07
2019-01-04,16200.59,16405,16425,15860,16150,6117,97993735,1628.49
2019-01-07,16503.7,16420,16540,16350,16445,2030,33504260,1659.55
2019-01-08,16522.95,16445,16690,16435,16470,9035,150193465,1661.54
2019-01-09,17397.09,16550,17450,16550,17370,9188,157707740,1751.07
2019-01-10,17667.15,17480,17765,17290,17650,15896,278576220,1778.75
2019-01-11,17670.3,17705,17890,17595,17675,7118,126404370,1779.13
2019-01-14,17316.72,17660,17660,17285,17325,14131,244675335,1742.93
2019-01-15,17645.95,17330,17660,17330,17595,1342,23549745,1776.68
2019-01-16,17860.73,17665,17815,17560,17815,4725,83409870,1798.69
2019-01-17,17947.5,17960,18230,17935,17955,33826,608894850,1807.63
2019-01-18,18119.96,18045,18045,17860,18045,2444,44030530,1825.36
2019-01-21,18654.94,18290,18605,18215,18605,9291,171453895,1880.18
2019-01-22,18472.37,18750,18750,18365,18450,6134,113128720,1861.49
2019-01-23,18520.0,18175,18565,18175,18520,1533,28296165,1866.4
2019-01-24,19005.81,18500,18995,18500,18980,10397,195941015,1916.22
2019-01-25,19616.44,19130,19610,19095,19565,9579,185060525,1978.81
2019-01-28,19579.02,19610,19700,19440,19515,9328,182602825,1974.98
2019-01-29,19862.66,19490,19870,19420,19870,5635,110188550,2004.09
2019-01-30,20400.08,19870,20410,19800,20410,7127,144135480,2059.14
2019-01-31,20126.1,20500,20560,20095,20125,14490,295453780,2030.85
2019-02-01,20232.5,20125,20385,20125,20165,8780,178171070,2041.9
2019-02-07,20806.86,20390,20840,20345,20815,15330,317704535,2100.22
2019-02-08,20277.55,20610,20610,20175,20285,11385,231825780,2045.99
2019-02-11,20211.63,20115,20220,19950,20220,8328,166931820,2039.26
2019-02-12,20613.69,20130,20655,20130,20545,12529,257903430,2080.6
2019-02-13,21220.1,20735,21200,20735,21200,12640,264026855,2142.76
2019-02-14,21687.04,21200,21620,21020,21620,7728,165423770,2190.18
2019-02-15,20971.38,21630,21630,20865,20940,13322,280807755,2116.98
2019-02-18,21242.37,21055,21320,21055,21190,8555,181678765,2144.24
2019-02-19,21175.89,21190,21245,20965,21150,8003,169063485,2137.55
2019-02-20,21629.75,21150,21570,21150,21560,5822,124414540,2184.13
2019-02-21,21607.88,21565,21640,21410,21530,3771,81330010,2181.93
2019-02-22,21551.54,21470,21540,21390,21510,3131,67091130,2176.23
2019-02-25,22035.59,21630,22015,21630,22010,8138,177949115,2225.27
2019-02-26,21746.0,22000,22000,21625,21750,10389,225787690,2195.3
2019-02-27,21630.83,21750,21750,21550,21600,3227,69881680,2183.5
2019-02-28,20759.46,21500,21500,20905,20915,19079,404829620,2094.22
2019-03-04,21059.94,20870,21135,20870,21045,4695,98733390,2125.06
2019-03-05,20797.39,20840,20855,20700,20725,5562,115456530,2098.16
2019-03-06,20641.67,20725,20790,20520,20575,2758,56925785,2082.19
2019-03-07,20462.47,20520,20825,20385,20390,6324,130059765,2063.75
2019-03-08,20247.35,20325,20415,20155,20175,3793,76686365,2041.75
2019-03-11,20568.63,20230,20580,20075,20580,8483,171442795,2074.72
2019-03-12,21066.12,20725,21060,20725,21060,3763,78830730,2125.77
2019-03-13,21234.31,21060,21235,21000,21235,3591,75815340,2142.36
2019-03-14,21514.16,21235,21900,21235,21510,26942,582650895,2171.09
2019-03-15,21494.46,21495,21695,21245,21335,7500,160510725,2169.14
2019-03-18,21488.26,21675,21710,21310,21410,1583,34043165,2168.52
2019-03-19,21271.63,21455,21525,21185,21285,714,15241060,2146.33
2019-03-20,21656.99,21320,21605,21145,21605,2596,55587620,2185.89
2019-03-21,21948.15,21840,22320,21840,21945,17783,392552425,2215.82
2019-03-22,22149.41,22280,22365,22070,22160,15510,343869780,2236.54
2019-03-25,21336.11,21565,21695,21330,21345,20067,430342650,2153.14
2019-03-26,21509.13,21380,21500,21070,21500,9952,212456395,2170.92
2019-03-27,21513.19,21450,21600,21200,21520,3258,69572500,2171.02
2019-03-28,21058.85,21380,21380,21070,21070,3855,81812560,2124.47
2019-03-29,21387.26,21180,21400,20920,21400,4235,89519570,2158.24
2019-04-01,22024.58,21500,22040,21500,21945,14983,328438980,2223.63
2019-04-02,21919.49,22170,22190,21875,21875,7644,168432985,2212.88
2019-04-03,22480.28,21870,22480,21865,22430,10851,241378740,2270.43
2019-04-04,22650.23,22480,22960,22450,22615,25034,568345635,2287.87
2019-04-05,22862.5,22600,22890,22600,22850,7244,164888010,2309.75
2019-04-08,22497.36,22870,22925,22420,22420,15466,350295265,2272.29
2019-04-09,22579.62,22425,22630,22420,22585,4368,98590465,2280.75
2019-04-10,22713.67,22440,22675,22320,22650,6788,153338525,2294.53
2019-04-11,22836.1,22730,22960,22700,22790,4908,112098685,2307.11
2019-04-12,22805.16,22700,22885,22550,22790,6776,153893870,2304.02
2019-04-15,22885.97,22880,22985,22790,22870,9960,227950100,2312.35
2019-04-16,22717.96,22845,22845,22480,22725,2407,54447985,2295.15
2019-04-17,23128.26,22750,23150,22750,23135,7180,165565955,2337.23
2019-04-18,22755.57,23200,23225,22650,22745,9969,229044330,2299.07
2019-04-19,23094.79,22860,23125,22860,23010,10693,246303355,2334.02
2019-04-22,22817.5,23010,23045,22680,22815,5949,136060825,2305.62
2019-04-23,22983.7,22840,23000,22840,22940,1533,35167980,2322.68
2019-04-24,22759.53,23060,23090,22575,22785,11239,256598905,2299.86
2019-04-25,23087.46,22785,23400,22785,23100,27032,626621990,2333.55
2019-04-26,22155.08,22915,22915,22405,22445,5100,115102905,2266.79
