date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2022-09-15,10124.33,10095,10235,10050,10170,47193,479695945,1656.79
2022-09-16,9875.59,10075,10075,9810,9815,36111,357851000,1616.05
2022-09-19,9620.56,9815,9855,9580,9600,13515,131640365,1574.22
2022-09-20,9743.02,9685,9750,9680,9725,7101,68779825,1594.34
2022-09-21,9991.18,9780,10165,9780,9995,57308,572116780,1635.1
2022-09-22,10217.85,9925,10220,9885,10185,10633,107202040,1672.32
2022-09-23,10035.97,10245,10285,10025,10050,136321,1376734115,1642.55
2022-09-26,9626.63,9905,9905,9570,9630,34344,333176015,1575.4
2022-09-27,9672.64,9500,9740,9350,9570,55839,535155410,1582.97
2022-09-28,9255.5,9615,9740,9200,9265,54539,518747135,1514.54
2022-09-29,9208.01,9450,9450,9180,9180,15199,142697470,1506.76
2022-09-30,9117.98,9090,9280,9090,9140,38665,354459770,1492.08
2022-10-04,9515.48,9215,9515,9195,9510,21056,198616925,1557.35
2022-10-05,9271.53,9600,9630,9225,9290,12430,116572070,1517.33
2022-10-06,9683.47,9430,9685,9415,9655,34976,333577280,1584.96
2022-10-07,9611.65,9535,9730,9535,9620,5043,48787010,1573.27
2022-10-11,9189.72,9350,9355,9120,9195,14271,131831425,1504.05
2022-10-12,9258.62,9230,9255,9005,9250,50343,459447860,1515.37
2022-10-13,8941.16,9205,9205,8960,8965,18176,164105185,1463.29
2022-10-14,9102.98,9200,9220,9060,9075,5411,49411415,1489.92
2022-10-17,9145.53,9010,9130,8855,9125,2751,24929380,1496.92
2022-10-18,9087.94,9255,9255,8985,9065,14083,128760755,1487.49
2022-10-19,8972.65,9075,9170,8985,8985,9294,83965145,1468.6
2022-10-20,8974.07,9060,9060,8890,8950,2709,24391745,1468.86
2022-10-21,8744.2,8920,8920,8700,8735,14688,128823810,1431.2
2022-10-24,8836.03,8815,8935,8795,8835,6954,61561625,1446.29
2022-10-25,8640.97,8835,8835,8600,8635,23038,200034875,1414.3
2022-10-26,8559.4,8620,8675,8540,8555,4931,42477875,1400.93
2022-10-27,8760.59,8620,8760,8540,8725,6667,57573440,1433.97
2022-10-28,8796.29,8730,8890,8730,8770,7766,68785720,1439.89
2022-10-31,8781.26,8770,8800,8720,8770,3327,29161720,1437.45
2022-11-01,8905.76,8765,8920,8765,8880,8956,79392895,1457.9
2022-11-02,8897.63,8830,8920,8795,8900,5147,45528875,1456.58
2022-11-03,8835.34,8785,8865,8735,8850,1358,11962605,1446.38
2022-11-04,9029.7,8820,9020,8820,8985,26005,232902385,1478.34
2022-11-07,9130.11,8985,9135,8985,9135,58864,533662600,1494.85
2022-11-08,9251.32,9230,9250,9150,9225,3175,29208945,1514.76
2022-11-09,9177.86,9225,9290,9130,9185,12053,111130650,1502.73
2022-11-10,9063.81,9040,9225,9040,9075,3236,29703890,1484.03
2022-11-11,9448.56,9295,9450,9290,9450,17032,159606220,1547.25
2022-11-14,9364.0,9450,9485,9350,9365,16130,152266285,1533.39
2022-11-15,9474.37,9325,9495,9325,9455,3142,29562485,1551.53
2022-11-16,9572.32,9450,9575,9340,9575,13382,126303085,1567.63
2022-11-17,9399.45,9570,9580,9365,9365,14599,138202130,1539.28
2022-11-18,9406.53,9460,9480,9400,9410,519,4896615,1540.5
2022-11-21,9228.46,9300,9300,9155,9195,11867,109512945,1511.31
2022-11-22,9319.55,9200,9340,9200,9295,1747,16154260,1526.28
