date,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2019-01-02,7763.27,7905,7935,7765,7765,449,3493795,761.86
2019-01-03,7837.17,7760,7840,7740,7840,53,411085,769.28
2019-01-04,7939.64,7840,7960,7840,7960,1254,9888300,779.65
2019-01-07,8046.93,8005,8095,8005,8055,2431,19579120,790.61
2019-01-08,8035.96,8030,8055,8030,8035,15,120635,789.51
2019-01-09,8311.56,8090,8325,8090,8310,608,5018735,817.46
2019-01-10,8350.15,8250,8295,8250,8295,13,107790,821.37
2019-01-11,8320.73,8280,8325,8270,8295,86,713915,818.4
2019-01-14,8182.04,8305,8305,8185,8185,1677,13733515,804.33
2019-01-15,8320.39,8200,8335,8195,8335,1157,9569390,818.36
2019-01-16,8359.94,8350,8370,8300,8330,10161,84745475,822.38
2019-01-17,8305.22,8330,8360,8265,8280,3324,27620310,816.87
2019-01-18,8335.86,8370,8370,8320,8320,3512,29290445,820.05
2019-01-21,8474.22,8425,8490,8425,8465,83,703020,834.05
2019-01-22,8423.79,8490,8490,8400,8400,165,1393370,828.95
2019-01-23,8451.19,8350,8430,8340,8430,114,955725,831.76
2019-01-24,8346.16,8380,8390,8325,8345,294,2454535,821.13
2019-01-25,8429.06,8310,8445,8305,8435,44386,375278835,829.57
2019-01-28,8393.75,8410,8460,8365,8390,65230,548747524,826.01
2019-01-29,8405.3,8350,8395,8280,8395,3902,32601375,827.13
2019-01-30,8631.43,8485,8615,8480,8615,3989,33847330,850.09
2019-01-31,8615.93,8720,8720,8560,8615,5098,43925820,848.43
2019-02-01,8619.71,8610,8630,8560,8630,829,7135040,849.03
2019-02-07,8686.44,8695,8695,8595,8645,829,7152700,855.74
2019-02-08,8454.57,8615,8615,8415,8450,1093,9257995,832.26
2019-02-11,8409.1,8430,8430,8320,8390,1911,16016690,827.7
2019-02-12,8425.71,8390,8430,8365,8420,47114,396230450,829.36
2019-02-13,8446.06,8440,8445,8410,8440,344,2899160,831.46
2019-02-14,8504.09,8375,8470,8305,8470,100909,851288430,837.38
2019-02-15,8402.81,8455,8455,8370,8385,2140,18033285,827.15
2019-02-18,8471.63,8440,8455,8410,8440,7843,66306940,834.17
2019-02-19,8524.61,8455,8530,8455,8510,29858,254082710,839.55
2019-02-20,8746.4,8535,8755,8535,8750,10933,95608770,862.06
2019-02-21,8762.04,8725,8765,8695,8760,26022,227463980,863.63
2019-02-22,8790.21,8735,8785,8705,8765,79,691870,866.51
2019-02-25,8799.14,8830,8840,8770,8770,429,3769530,867.41
2019-02-26,8887.25,8835,8885,8815,8870,1702,15063595,876.34
2019-02-27,8833.94,8910,8910,8795,8795,145,1281820,871.0
2019-02-28,8654.33,8775,8840,8655,8655,1150,10092270,852.83
