date,advancing,declining,unchanged,adl_cumulative
2024-06-03,626,243,58,383
2024-06-04,223,633,71,-27
2024-06-05,414,435,78,-48
2024-06-07,454,396,77,10
2024-06-10,370,494,63,-114
2024-06-11,344,506,77,-276
2024-06-12,496,366,65,-146
2024-06-13,388,455,84,-213
2024-06-14,390,476,61,-299
2024-06-17,354,517,56,-462
2024-06-18,364,497,66,-595
2024-06-19,338,527,62,-784
2024-06-20,487,367,73,-664
2024-06-21,291,573,63,-946
2024-06-24,232,627,68,-1341
2024-06-25,486,370,71,-1225
2024-06-26,350,506,71,-1381
2024-06-27,258,612,57,-1735
2024-06-28,573,288,66,-1450
2024-07-01,372,490,66,-1568
2024-07-02,191,683,54,-2060
2024-07-03,268,576,84,-2368
2024-07-04,479,380,69,-2269
2024-07-05,394,454,80,-2329
2024-07-08,513,342,73,-2158
2024-07-09,446,404,78,-2116
2024-07-10,418,427,83,-2125
2024-07-11,432,410,87,-2103
2024-07-12,423,426,80,-2106
2024-07-15,488,376,65,-1994
2024-07-16,349,495,85,-2140
2024-07-17,406,455,68,-2189
2024-07-18,274,593,62,-2508
2024-07-19,297,568,64,-2779
2024-07-22,208,667,54,-3238
2024-07-23,360,490,79,-3368
2024-07-24,366,481,82,-3483
2024-07-25,159,719,51,-4043
2024-07-26,591,280,58,-3732
2024-07-29,622,244,65,-3354
2024-07-30,223,655,53,-3786
2024-07-31,575,301,55,-3512
2024-08-01,627,243,61,-3128
2024-08-02,57,857,17,-3928
2024-08-05,10,908,13,-4826
2024-08-06,841,71,19,-4056
2024-08-07,715,176,40,-3517
2024-08-08,418,462,51,-3561
2024-08-09,689,201,41,-3073
2024-08-12,669,197,65,-2601
2024-08-13,322,550,59,-2829
2024-08-14,639,231,61,-2421
2024-08-16,469,404,58,-2356
2024-08-19,340,528,64,-2544
2024-08-20,637,242,53,-2149
2024-08-21,404,442,86,-2187
2024-08-22,281,589,62,-2495
2024-08-23,424,422,86,-2493
2024-08-26,369,501,62,-2625
2024-08-27,430,417,85,-2612
2024-08-28,254,620,58,-2978
2024-08-29,280,580,72,-3278
2024-08-30,572,292,68,-2998
2024-09-02,320,527,85,-3205
2024-09-03,451,413,68,-3167
2024-09-04,51,847,34,-3963
2024-09-05,351,515,66,-4127
2024-09-06,137,751,44,-4741
2024-09-09,496,367,69,-4612
2024-09-10,337,529,66,-4804
2024-09-11,339,520,73,-4985
2024-09-12,753,125,54,-4357
2024-09-13,594,266,72,-4029
2024-09-19,493,364,75,-3900
2024-09-20,557,314,61,-3657
2024-09-23,430,444,58,-3671
2024-09-24,596,262,74,-3337
2024-09-25,350,512,70,-3499
2024-09-26,739,137,56,-2897
2024-09-27,407,453,73,-2943
2024-09-30,178,700,55,-3465
2024-10-02,173,700,60,-3992
2024-10-04,456,406,71,-3942
2024-10-07,611,258,64,-3589
2024-10-08,300,564,69,-3853
2024-10-10,436,420,77,-3837
2024-10-11,365,483,85,-3955
2024-10-14,477,394,62,-3872
2024-10-15,413,439,81,-3898
2024-10-16,320,544,69,-4122
2024-10-17,352,507,74,-4277
2024-10-18,265,582,86,-4594
2024-10-21,429,422,82,-4587
2024-10-22,191,684,58,-5080
2024-10-23,444,402,87,-5038
2024-10-24,255,605,73,-5388
2024-10-25,252,612,69,-5748
2024-10-28,608,267,58,-5407
2024-10-29,405,438,90,-5440
2024-10-30,346,508,79,-5602
2024-10-31,467,395,71,-5530
2024-11-01,284,594,55,-5840
2024-11-04,611,251,71,-5480
2024-11-05,508,354,71,-5326
2024-11-06,318,551,65,-5559
2024-11-07,348,507,79,-5718
2024-11-08,383,463,88,-5798
2024-11-11,182,720,32,-6336
2024-11-12,118,781,35,-6999
2024-11-13,103,795,36,-7691
2024-11-14,426,441,67,-7706
2024-11-15,500,386,48,-7592
2024-11-18,608,279,47,-7263
2024-11-19,454,404,76,-7213
2024-11-20,430,417,87,-7200
2024-11-21,388,472,74,-7284
2024-11-22,511,350,73,-7123
2024-11-25,602,281,51,-6802
2024-11-26,477,387,70,-6712
2024-11-27,370,509,55,-6851
2024-11-28,507,358,69,-6702
2024-11-29,169,713,53,-7246
2024-12-02,212,670,53,-7704
2024-12-03,728,160,47,-7136
2024-12-04,173,726,36,-7689
2024-12-05,173,716,46,-8232
2024-12-06,248,647,40,-8631
2024-12-09,59,856,20,-9428
2024-12-10,864,48,23,-8612
2024-12-11,800,101,34,-7913
2024-12-12,608,276,51,-7581
2024-12-13,623,254,58,-7212
2024-12-16,481,393,62,-7124
2024-12-17,376,492,68,-7240
2024-12-18,573,302,61,-6969
2024-12-19,209,676,51,-7436
2024-12-20,200,698,38,-7934
2024-12-23,710,181,46,-7405
2024-12-24,386,476,75,-7495
2024-12-26,294,586,57,-7787
2024-12-27,110,798,29,-8475
2024-12-30,439,436,62,-8472
2025-01-02,449,420,68,-8443
2025-01-03,685,199,53,-7957
2025-01-06,621,255,61,-7591
2025-01-07,438,421,78,-7574
2025-01-08,455,403,79,-7522
2025-01-09,360,512,65,-7674
2025-01-10,457,404,76,-7621
2025-01-13,260,631,46,-7992
2025-01-14,504,361,72,-7849
2025-01-15,262,593,82,-8180
2025-01-16,591,277,69,-7866
2025-01-17,431,441,65,-7876
2025-01-20,384,481,72,-7973
2025-01-21,383,480,74,-8070
2025-01-22,399,475,63,-8146
2025-01-23,190,687,60,-8643
2025-01-24,535,318,84,-8426
2025-01-31,332,554,51,-8648
2025-02-03,92,816,29,-9372
2025-02-04,685,203,49,-8890
2025-02-05,582,298,58,-8606
2025-02-06,591,277,70,-8292
2025-02-07,284,594,60,-8602
2025-02-10,413,448,77,-8637
2025-02-11,465,404,69,-8576
2025-02-12,329,545,64,-8792
2025-02-13,565,307,66,-8534
2025-02-14,493,360,85,-8401
2025-02-17,609,265,64,-8057
2025-02-18,472,392,74,-7977
2025-02-19,571,298,69,-7704
2025-02-20,446,410,82,-7668
2025-02-21,501,370,67,-7537
2025-02-24,444,416,78,-7509
2025-02-25,354,523,61,-7678
2025-02-26,540,329,69,-7467
2025-02-27,315,562,61,-7714
2025-02-28,93,824,21,-8445
2025-03-04,304,587,47,-8728
2025-03-05,706,178,54,-8200
2025-03-06,479,389,70,-8110
2025-03-07,345,537,56,-8302
2025-03-10,402,464,72,-8364
2025-03-11,176,724,38,-8912
2025-03-12,506,348,84,-8754
2025-03-13,328,534,76,-8960
2025-03-14,502,353,84,-8811
2025-03-17,523,352,65,-8640
2025-03-18,428,427,85,-8639
2025-03-19,503,363,74,-8499
2025-03-20,329,538,73,-8708
2025-03-21,313,557,70,-8952
2025-03-24,397,458,85,-9013
2025-03-25,300,571,69,-9284
2025-03-26,452,411,77,-9243
2025-03-27,279,600,61,-9564
2025-03-28,166,721,53,-10119
2025-03-31,84,818,38,-10853
2025-04-01,706,180,54,-10327
