date,advancing,declining,adv_volume,dec_volume,trin,signal
2024-06-03,626,243,433777336,116459113,0.6916,Bullish
2024-06-04,223,633,246102839,286210215,0.4097,Bullish
2024-06-05,414,435,407738863,189678377,0.4427,Bullish
2024-06-07,454,396,286744468,231824445,0.9269,Neutral
2024-06-10,370,494,227265539,154706789,0.5099,Bullish
2024-06-11,344,506,219121609,191910762,0.5954,Bullish
2024-06-12,496,366,285736424,111061789,0.5267,Bullish
2024-06-13,388,455,354960435,224357800,0.539,Bullish
2024-06-14,390,476,412468517,145657555,0.2893,Bullish
2024-06-17,354,517,269735718,249708549,0.6339,Bullish
2024-06-18,364,497,288435214,163886455,0.4161,Bullish
2024-06-19,338,527,279496373,151691608,0.3481,Bullish
2024-06-20,487,367,487801596,128484826,0.3495,Bullish
2024-06-21,291,573,268888609,251737945,0.4755,Bullish
2024-06-24,232,627,378247760,157143924,0.1537,Bullish
2024-06-25,486,370,508828756,110119553,0.2843,Bullish
2024-06-26,350,506,344390621,125902399,0.2529,Bullish
2024-06-27,258,612,175129383,189186122,0.4554,Bullish
2024-06-28,573,288,430919503,113787056,0.5254,Bullish
2024-07-01,372,490,205522575,201068426,0.7427,Bullish
2024-07-02,191,683,239598296,220378509,0.2572,Bullish
2024-07-03,268,576,112965315,185678977,0.7648,Bullish
2024-07-04,479,380,209321033,114540296,0.6898,Bullish
2024-07-05,394,454,204196381,122080629,0.5188,Bullish
2024-07-08,513,342,296173464,77768554,0.3939,Bullish
2024-07-09,446,404,271508644,142552486,0.5796,Bullish
2024-07-10,418,427,281324089,115093235,0.4005,Bullish
2024-07-11,432,410,223254217,144417114,0.6816,Bullish
2024-07-12,423,426,165938002,206575709,1.2361,Neutral
2024-07-15,488,376,279153106,111556420,0.5187,Bullish
2024-07-16,349,495,406916405,166424852,0.2884,Bullish
2024-07-17,406,455,304797584,205138117,0.6006,Bullish
2024-07-18,274,593,310608670,275207107,0.4094,Bullish
2024-07-19,297,568,196248602,198647410,0.5293,Bullish
2024-07-22,208,667,241360508,180346617,0.233,Bullish
2024-07-23,360,490,217188020,158535853,0.5363,Bullish
2024-07-24,366,481,243267344,168008109,0.5255,Bullish
2024-07-25,159,719,134396303,279795720,0.4604,Bullish
2024-07-26,591,280,423284140,72503750,0.3615,Bullish
2024-07-29,622,244,289038390,105117395,0.9271,Neutral
2024-07-30,223,655,148499132,223468079,0.5123,Bullish
2024-07-31,575,301,319038698,128214641,0.7677,Bullish
2024-08-01,627,243,312391371,121032638,0.9997,Neutral
2024-08-02,57,857,127180651,336421661,0.1759,Bullish
2024-08-05,10,908,48327701,621823497,0.1417,Bullish
2024-08-06,841,71,504498798,24182884,0.5678,Bullish
2024-08-07,715,176,297900332,142762599,1.9469,Bearish
2024-08-08,418,462,213940464,215696163,0.9122,Neutral
2024-08-09,689,201,333308894,66640618,0.6854,Bullish
