period,group_name,keywords,chunk_id,ratio,anchor_ratio,anchor_relative_ratio,anchor_relative_ratio_winsorized,low_anchor_flag,saturation_flag,anchor_saturation_flag,zero_ratio_flag,missing_flag,data_quality_score,ratio_momentum_1m,ratio_momentum_3m,ratio_momentum_6m,ratio_zscore_12m,ratio_zscore_24m,anchor_relative_momentum_1m,anchor_relative_momentum_3m,anchor_relative_momentum_6m,anchor_relative_zscore_12m,anchor_relative_zscore_24m,relative_rank,relative_rank_pct,relative_zscore_cross_sectional,top_20pct_flag,bottom_20pct_flag,factor_family_recent_strength,recent_strength_score,recent_strength_bucket,factor_family_market_relative,market_relative_score,market_relative_bucket,factor_family_cross_sector,cross_sector_rank_score,cross_sector_rank_bucket
2021-01-01,ai_software,AI|인공지능|소프트웨어,7,0.94691,41.0458,2.306959542754679,2.306959542754679,False,False,False,False,False,100,,,,,,,,,,,27.0,0.7714285714285715,-0.196036723067069,False,False,same_sector_recent_strength,0.0,insufficient_history,market_relative_strength,0.0,insufficient_history,cross_sector_current_rank,0.7714285714285715,middle
2021-02-01,ai_software,AI|인공지능|소프트웨어,7,0.48446,28.53669,1.697674117075246,1.697674117075246,False,False,False,False,False,100,-0.46245,,,,,-0.6092854256794329,,,,,28.0,0.8,-0.25450400284621283,True,False,same_sector_recent_strength,0.0,insufficient_history,market_relative_strength,0.0,insufficient_history,cross_sector_current_rank,0.8,top
2021-03-01,ai_software,AI|인공지능|소프트웨어,7,0.73153,26.46336,2.7643126194103846,2.7643126194103846,False,False,False,False,False,100,0.24707,,,,,1.0666385023351386,,,,,28.0,0.8,-0.20291781570329157,True,False,same_sector_recent_strength,0.0,insufficient_history,market_relative_strength,0.0,insufficient_history,cross_sector_current_rank,0.8,top
2021-04-01,ai_software,AI|인공지능|소프트웨어,7,0.61062,17.89123,3.412957074499629,3.412957074499629,False,False,False,False,False,100,-0.12090999999999996,-0.33629,,,,0.6486444550892445,1.1059975317449502,,,,27.0,0.7714285714285715,-0.21610943023969015,False,False,same_sector_recent_strength,0.011059975317449502,insufficient_history,market_relative_strength,0.0,insufficient_history,cross_sector_current_rank,0.7714285714285715,middle
2021-05-01,ai_software,AI|인공지능|소프트웨어,7,0.58012,17.12051,3.388450460879962,3.388450460879962,False,False,False,False,False,100,-0.030500000000000083,0.09565999999999997,,,,-0.024506613619667217,1.6907763438047159,,,,27.0,0.7714285714285715,-0.22218598737934647,False,False,same_sector_recent_strength,0.01690776343804716,insufficient_history,market_relative_strength,0.0,insufficient_history,cross_sector_current_rank,0.7714285714285715,middle
2021-06-01,ai_software,AI|인공지능|소프트웨어,7,0.48206,14.16577,3.402991859955371,3.402991859955371,False,False,False,False,False,100,-0.09805999999999998,-0.24947000000000003,,-0.8896601461620522,,0.014541399075409078,0.6386792405449864,,0.805472507195013,,27.0,0.7714285714285715,-0.2547853268566811,False,False,same_sector_recent_strength,0.8118592996004628,neutral,market_relative_strength,0.805472507195013,weak,cross_sector_current_rank,0.7714285714285715,middle
2021-07-01,ai_software,AI|인공지능|소프트웨어,7,0.42889,13.36778,3.2083861344217217,3.2083861344217217,False,False,False,False,False,100,-0.053169999999999995,-0.18173000000000006,-0.51802,-1.0026555526108478,,-0.1946057255336493,-0.20457094007790744,0.9014265916670428,0.48821152139527557,,25.0,0.7142857142857143,-0.26629337257233526,False,False,same_sector_recent_strength,0.4861658119944965,cooling,market_relative_strength,0.48821152139527557,weak,cross_sector_current_rank,0.7142857142857143,middle
2021-08-01,ai_software,AI|인공지능|소프트웨어,7,0.38401,16.49357,2.3282406416561123,2.3282406416561123,False,False,False,False,False,100,-0.044879999999999975,-0.19610999999999995,-0.10044999999999998,-1.0676609647537991,-1.0676609647537991,-0.8801454927656094,-1.0602098192238496,0.6305665245808663,-0.7500582839702415,-0.7500582839702415,25.0,0.7142857142857143,-0.26701772580081307,False,False,same_sector_recent_strength,-0.76066038216248,neutral,market_relative_strength,-0.7500582839702415,weak,cross_sector_current_rank,0.7142857142857143,middle
2021-09-01,ai_software,AI|인공지능|소프트웨어,7,0.46402,12.64596,3.669314152504041,3.669314152504041,False,False,False,False,False,100,0.08000999999999997,-0.01804,-0.26751,-0.5878157164627714,-0.5878157164627714,1.3410735108479286,0.2663222925486699,0.9050015330936563,1.136290438661371,1.136290438661371,28.0,0.8,-0.23486884028631233,True,False,same_sector_recent_strength,1.1389536615868576,strong,market_relative_strength,1.136290438661371,weak,cross_sector_current_rank,0.8,top
2021-10-01,ai_software,AI|인공지능|소프트웨어,7,0.45842,16.58623,2.763858935996908,2.763858935996908,False,False,False,False,False,100,-0.005599999999999994,0.02953,-0.15220000000000006,-0.5789612386981564,-0.5789612386981564,-0.905455216507133,-0.4445271984248138,-0.6490981385027212,-0.20619767829966687,-0.20619767829966687,26.0,0.7428571428571429,-0.23415663433487896,False,False,same_sector_recent_strength,-0.210642950283915,neutral,market_relative_strength,-0.20619767829966687,weak,cross_sector_current_rank,0.7428571428571429,middle
2021-11-01,ai_software,AI|인공지능|소프트웨어,7,0.51654,18.9459,2.726394628917074,2.726394628917074,False,False,False,False,False,100,0.058120000000000005,0.13252999999999998,-0.06357999999999997,-0.22740021777917993,-0.22740021777917993,-0.03746430707983395,0.39815398726096163,-0.662055831962888,-0.2534367647423895,-0.2534367647423895,27.0,0.7714285714285715,-0.20515478389872271,False,False,same_sector_recent_strength,-0.2494552248697799,recovering,market_relative_strength,-0.2534367647423895,weak,cross_sector_current_rank,0.7714285714285715,middle
2021-12-01,ai_software,AI|인공지능|소프트웨어,7,0.50321,17.11108,2.940843009324952,2.940843009324952,False,False,False,False,False,100,-0.013329999999999953,0.03919000000000006,0.021150000000000058,-0.2963532616712871,-0.2963532616712871,0.21444838040787806,-0.7284711431790889,-0.462148850630419,0.09858346605508186,0.09858346605508186,28.0,0.8,-0.20918009643000707,True,False,same_sector_recent_strength,0.09129875462329097,cooling,market_relative_strength,0.09858346605508186,weak,cross_sector_current_rank,0.8,top
