date,trend_score
2026-03-05,67
2026-03-06,72
2026-03-07,62
2026-03-08,65
2026-03-09,81
2026-03-10,79
2026-03-11,81
2026-03-12,83
2026-03-13,74
2026-03-14,61
2026-03-15,65
2026-03-16,84
2026-03-17,80
2026-03-18,82
2026-03-19,82
2026-03-20,73
2026-03-21,67
2026-03-22,72
2026-03-23,83
2026-03-24,76
2026-03-25,85
2026-03-26,83
2026-03-27,72
2026-03-28,60
2026-03-29,62
2026-03-30,75
2026-03-31,74
2026-04-01,75
2026-04-02,77
2026-04-03,68
2026-04-04,55
2026-04-05,59
2026-04-06,66
2026-04-07,69
2026-04-08,69
2026-04-09,70
2026-04-10,71
2026-04-11,58
2026-04-12,61
2026-04-13,76
2026-04-14,77
2026-04-15,75
2026-04-16,77
2026-04-17,72
2026-04-18,56
2026-04-19,61
2026-04-20,74
2026-04-21,77
2026-04-22,72
2026-04-23,75
2026-04-24,77
2026-04-25,57
2026-04-26,67
2026-04-27,79
2026-04-28,79
2026-04-29,78
2026-04-30,72
2026-05-01,54
2026-05-02,54
2026-05-03,48
2026-05-04,63
2026-05-05,81
2026-05-06,94
2026-05-07,94
2026-05-08,86
2026-05-09,73
2026-05-10,80
2026-05-11,100
2026-05-12,92
2026-05-13,88
2026-05-14,94
2026-05-15,78
2026-05-16,65
2026-05-17,68
2026-05-18,84
2026-05-19,84
2026-05-20,81
2026-05-21,85
2026-05-22,45
2026-05-23,37
2026-05-24,40
2026-05-25,51
2026-05-26,52
2026-05-27,53
2026-05-28,53
2026-05-29,47
2026-05-30,38
2026-05-31,44
2026-06-01,56
2026-06-02,45
2026-06-03,37
2026-06-04,45
2026-06-05,47
