날짜,BPS,PER,PBR,EPS,DIV,DPS
2025-12-04,58,0.0,758.62,0,0.0,0
2025-12-05,58,0.0,986.21,0,0.0,0
2025-12-08,58,0.0,837.07,0,0.0,0
2025-12-09,58,0.0,862.07,0,0.0,0
2025-12-10,58,0.0,803.45,0,0.0,0
2025-12-11,58,0.0,805.17,0,0.0,0
2025-12-12,58,0.0,963.79,0,0.0,0
2025-12-15,58,0.0,1215.52,0,0.0,0
2025-12-16,58,0.0,1248.28,0,0.0,0
2025-12-17,58,0.0,1155.17,0,0.0,0
2025-12-18,58,0.0,1250.0,0,0.0,0
2025-12-19,58,0.0,1213.79,0,0.0,0
2025-12-22,58,0.0,1156.9,0,0.0,0
2025-12-23,58,0.0,1060.34,0,0.0,0
2025-12-24,58,0.0,1072.41,0,0.0,0
2025-12-26,58,0.0,1118.97,0,0.0,0
2025-12-29,58,0.0,1067.24,0,0.0,0
2025-12-30,58,0.0,993.1,0,0.0,0
2026-01-02,58,0.0,943.1,0,0.0,0
2026-01-05,58,0.0,967.24,0,0.0,0
2026-01-06,58,0.0,943.1,0,0.0,0
2026-01-07,58,0.0,1013.79,0,0.0,0
2026-01-08,58,0.0,1036.21,0,0.0,0
2026-01-09,58,0.0,1075.86,0,0.0,0
2026-01-12,58,0.0,1031.03,0,0.0,0
2026-01-13,58,0.0,968.97,0,0.0,0
2026-01-14,58,0.0,956.9,0,0.0,0
2026-01-15,58,0.0,960.34,0,0.0,0
2026-01-16,58,0.0,946.55,0,0.0,0
2026-01-19,58,0.0,931.03,0,0.0,0
2026-01-20,58,0.0,960.34,0,0.0,0
2026-01-21,58,0.0,879.31,0,0.0,0
2026-01-22,58,0.0,879.31,0,0.0,0
2026-01-23,58,0.0,915.52,0,0.0,0
2026-01-26,58,0.0,1005.17,0,0.0,0
2026-01-27,58,0.0,1015.52,0,0.0,0
2026-01-28,58,0.0,986.21,0,0.0,0
2026-01-29,58,0.0,1000.0,0,0.0,0
2026-01-30,58,0.0,939.66,0,0.0,0
2026-02-02,58,0.0,881.03,0,0.0,0
2026-02-03,58,0.0,920.69,0,0.0,0
2026-02-04,58,0.0,958.62,0,0.0,0
2026-02-05,58,0.0,937.93,0,0.0,0
2026-02-06,58,0.0,896.55,0,0.0,0
2026-02-09,58,0.0,901.72,0,0.0,0
2026-02-10,58,0.0,893.1,0,0.0,0
2026-02-11,58,0.0,917.24,0,0.0,0
2026-02-12,58,0.0,918.97,0,0.0,0
2026-02-13,58,0.0,893.1,0,0.0,0
2026-02-19,58,0.0,912.07,0,0.0,0
2026-02-20,58,0.0,879.31,0,0.0,0
2026-02-23,58,0.0,891.38,0,0.0,0
2026-02-24,58,0.0,924.14,0,0.0,0
2026-02-25,58,0.0,905.17,0,0.0,0
2026-02-26,58,0.0,894.83,0,0.0,0
2026-02-27,58,0.0,1060.34,0,0.0,0
2026-03-03,58,0.0,1108.62,0,0.0,0
2026-03-04,58,0.0,884.48,0,0.0,0
2026-03-05,58,0.0,1082.76,0,0.0,0
2026-03-06,58,0.0,1125.86,0,0.0,0
2026-03-09,58,0.0,1081.03,0,0.0,0
2026-03-10,58,0.0,1110.34,0,0.0,0
2026-03-11,58,0.0,1122.41,0,0.0,0
2026-03-12,58,0.0,1212.07,0,0.0,0
2026-03-13,58,0.0,1196.55,0,0.0,0
2026-03-16,58,0.0,1108.62,0,0.0,0
2026-03-17,58,0.0,1034.48,0,0.0,0
2026-03-18,58,0.0,1043.1,0,0.0,0
2026-03-19,58,0.0,970.69,0,0.0,0
2026-03-20,58,0.0,953.45,0,0.0,0
2026-03-23,58,0.0,879.31,0,0.0,0
2026-03-24,58,0.0,862.07,0,0.0,0
2026-03-25,58,0.0,922.41,0,0.0,0
2026-03-26,58,0.0,937.93,0,0.0,0
2026-03-27,58,0.0,917.24,0,0.0,0
2026-03-30,58,0.0,865.52,0,0.0,0
2026-03-31,58,0.0,813.79,0,0.0,0
2026-04-01,58,0.0,855.17,0,0.0,0
2026-04-02,58,0.0,847.41,0,0.0,0
2026-04-03,58,0.0,832.76,0,0.0,0
2026-04-06,58,0.0,798.28,0,0.0,0
2026-04-07,58,0.0,781.03,0,0.0,0
2026-04-08,58,0.0,828.45,0,0.0,0
2026-04-09,58,0.0,798.28,0,0.0,0
2026-04-10,58,0.0,819.83,0,0.0,0
2026-04-13,58,0.0,792.24,0,0.0,0
2026-04-14,58,0.0,802.59,0,0.0,0
2026-04-15,58,0.0,867.24,0,0.0,0
2026-04-16,58,0.0,884.48,0,0.0,0
2026-04-17,58,0.0,872.41,0,0.0,0
2026-04-20,58,0.0,859.48,0,0.0,0
2026-04-21,58,0.0,830.17,0,0.0,0
2026-04-22,58,0.0,812.93,0,0.0,0
2026-04-23,58,0.0,817.24,0,0.0,0
2026-04-24,58,0.0,865.52,0,0.0,0
2026-04-27,58,0.0,877.59,0,0.0,0
2026-04-28,58,0.0,842.24,0,0.0,0
2026-04-29,58,0.0,840.52,0,0.0,0
2026-04-30,58,0.0,807.76,0,0.0,0
2026-05-04,3002,432.41,15.56,108,0.0,0
2026-05-06,3002,409.72,14.74,108,0.0,0
2026-05-07,3002,409.26,14.72,108,0.0,0
2026-05-08,3002,408.33,14.69,108,0.0,0
2026-05-11,3002,387.04,13.92,108,0.0,0
2026-05-12,3002,401.85,14.46,108,0.0,0
2026-05-13,3002,377.31,13.57,108,0.0,0
