date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-12-04,44000.0,3793239.0,-181422.0,241767.0,848839.0,1.32
2025-12-05,57200.0,1548062.0,-246821.0,-5524.0,846248.0,1.32
2025-12-08,48550.0,8060417.0,-104343.0,-268325.0,580491.0,0.9
2025-12-09,50000.0,3709929.0,-104369.0,-1129.0,598702.0,0.93
2025-12-10,46600.0,1848223.0,-42516.0,-56037.0,542717.0,0.85
2025-12-11,46700.0,1714470.0,6092.0,52079.0,635177.0,0.99
2025-12-12,55900.0,10441014.0,-82372.0,299197.0,927393.0,1.45
2025-12-15,70500.0,11408893.0,26123.0,-77904.0,858097.0,1.34
2025-12-16,72400.0,12482920.0,52271.0,-133105.0,724278.0,1.13
2025-12-17,67000.0,6132009.0,-74788.0,-16197.0,701597.0,1.09
2025-12-18,72500.0,4037398.0,3451.0,-32619.0,661909.0,1.03
2025-12-19,70400.0,3785790.0,-105805.0,-336812.0,329806.0,0.51
2025-12-22,67100.0,1717960.0,-49444.0,985.0,340275.0,0.53
2025-12-23,61500.0,1881452.0,-47504.0,32232.0,386249.0,0.6
2025-12-24,62200.0,1510894.0,1497.0,11448.0,405065.0,0.63
2025-12-26,64900.0,3512704.0,754.0,59341.0,463747.0,0.72
2025-12-29,61900.0,1068755.0,-978.0,-77631.0,386489.0,0.6
2025-12-30,57600.0,1144166.0,-6904.0,12326.0,396732.0,0.62
2026-01-02,54700.0,553910.0,-13153.0,11709.0,407211.0,0.63
2026-01-05,56100.0,1265695.0,-216928.0,-24513.0,314173.0,0.49
2026-01-06,54700.0,373606.0,-22583.0,-29711.0,256522.0,0.4
2026-01-07,58800.0,982227.0,-693.0,2371.0,288424.0,0.45
2026-01-08,60100.0,587151.0,-2224.0,-28197.0,224971.0,0.35
2026-01-09,62400.0,1044970.0,103.0,-19931.0,221462.0,0.35
2026-01-12,59800.0,453527.0,1285.0,-14287.0,211170.0,0.33
2026-01-13,56200.0,404963.0,-10777.0,-14924.0,186895.0,0.29
2026-01-14,55500.0,239425.0,-1231.0,-25718.0,153395.0,0.24
2026-01-15,55700.0,266196.0,-732.0,9188.0,170374.0,0.27
2026-01-16,54900.0,640024.0,-9055.0,-19076.0,147241.0,0.23
2026-01-19,54000.0,246647.0,1136.0,3657.0,155005.0,0.24
2026-01-20,55700.0,629612.0,5545.0,40536.0,233206.0,0.36
2026-01-21,51000.0,396535.0,-8351.0,-39635.0,180290.0,0.28
2026-01-22,51000.0,341348.0,-2344.0,9548.0,193295.0,0.3
2026-01-23,53100.0,367176.0,-510.0,20968.0,240220.0,0.37
2026-01-26,58300.0,791503.0,12057.0,-2164.0,229357.0,0.35
2026-01-27,58900.0,356393.0,54293.0,-7100.0,217702.0,0.34
2026-01-28,57200.0,408478.0,-11527.0,-30589.0,187729.0,0.29
2026-01-29,58000.0,481120.0,31861.0,10998.0,216527.0,0.33
2026-01-30,54500.0,369691.0,-26114.0,-15256.0,176184.0,0.27
2026-02-02,51100.0,181127.0,-2439.0,15548.0,176203.0,0.27
2026-02-03,53400.0,306408.0,-37109.0,-4073.0,169634.0,0.26
2026-02-04,55600.0,1285155.0,12695.0,1012949.0,1198415.0,1.85
2026-02-05,54400.0,376970.0,-1113.0,-70082.0,989083.0,1.53
2026-02-06,52000.0,428445.0,4374.0,-94790.0,848082.0,1.31
2026-02-09,52300.0,208929.0,1941.0,-44625.0,796107.0,1.23
