날짜,시가총액,거래량,거래대금,상장주식수
2025-12-04,2822871084000,3793239,166393670325,64156161
2025-12-05,3669732409200,1548062,86907819900,64156161
2025-12-08,3114781616550,8060417,425267487625,64156161
2025-12-09,3207808050000,3709929,186686140150,64156161
2025-12-10,2989677102600,1848223,88747868150,64156161
2025-12-11,2996092718700,1714470,81197272200,64156161
2025-12-12,3586329399900,10441014,568919535100,64156161
2025-12-15,4523009350500,11408893,727632893250,64156161
2025-12-16,4644906056400,12482920,918555343200,64156161
2025-12-17,4298462787000,6132009,452229517350,64156161
2025-12-18,4651321672500,4037398,282033713950,64156161
2025-12-19,4516593734400,3785790,272266030550,64156161
2025-12-22,4304878403100,1717960,116362269600,64156161
2025-12-23,3945603901500,1881452,118375447400,64156161
2025-12-24,3990513214200,1510894,94482150700,64156161
2025-12-26,4163734848900,3512704,227666181550,64156161
2025-12-29,3971266365900,1068755,67585230250,64156161
2025-12-30,3695394873600,1144166,66942980700,64156161
2026-01-02,3509342006700,553910,30894583200,64156161
2026-01-05,3599160632100,1265695,68348174250,64156161
2026-01-06,3509342006700,373606,20387619750,64156161
2026-01-07,3772382266800,982227,56133264000,64156161
2026-01-08,3855785276100,587151,35557553550,64156161
2026-01-09,4003344446400,1044970,65263605800,64156161
2026-01-12,3836538427800,453527,27298871550,64156161
2026-01-13,3605576248200,404963,23065225650,64156161
2026-01-14,3560666935500,239425,13338050850,64156161
2026-01-15,3573498167700,266196,14653183050,64156161
2026-01-16,3550446738900,640024,35316334000,64671161
2026-01-19,3492242694000,246647,13414601850,64671161
2026-01-20,3602183667700,629612,35694038950,64671161
2026-01-21,3298229211000,396535,20528925100,64671161
2026-01-22,3298229211000,341348,17316210025,64671161
2026-01-23,3434038649100,367176,19139504850,64671161
2026-01-26,3770328686300,791503,45145526050,64671161
2026-01-27,3809131382900,356393,20649962300,64671161
2026-01-28,3699190409200,408478,23471757700,64671161
2026-01-29,3750927338000,481120,28008885600,64671161
2026-01-30,3524578274500,369691,20557960950,64671161
2026-02-02,3304696327100,181127,9477352400,64671161
2026-02-03,3453439997400,306408,16165006250,64671161
2026-02-04,3595716551600,1285155,67577567650,64671161
2026-02-05,3518111158400,376970,21227634500,64671161
2026-02-06,3362900372000,428445,22788352950,64671161
2026-02-09,3382301720300,208929,10904315500,64671161
2026-02-10,3349966139800,157103,8203522900,64671161
2026-02-11,3440505765200,299283,16276556700,64671161
2026-02-12,3446972881300,168806,8963859850,64671161
2026-02-13,3349966139800,134778,6994880800,64671161
2026-02-19,3421104416900,154915,8111584900,64671161
2026-02-20,3298229211000,175755,9058851750,64671161
2026-02-23,3343499023700,190124,9767952950,64671161
2026-02-24,3466374229600,260100,13781596200,64671161
2026-02-25,3395235952500,339540,18369753400,64671161
2026-02-26,3356433255900,262986,13644176300,64671161
2026-02-27,3977276401500,3800852,232337655450,64671161
2026-03-03,4158355652300,3125625,212167930350,64671161
2026-03-04,3317630559300,1598164,89784984700,64671161
2026-03-05,4061348910800,1910654,116747850000,64671161
2026-03-06,4223026813300,1180753,75345731300,64671161
2026-03-09,4054881794700,690434,42448381000,64671161
2026-03-10,4164822768400,1480674,97329575750,64671161
2026-03-11,4210092581100,1362546,90585103750,64671161
2026-03-12,4546382618300,4271978,296586367650,64671161
2026-03-13,4488178573400,1313637,91410112750,64671161
2026-03-16,4158355652300,1158362,76222959000,64671161
2026-03-17,3880269660000,782698,48431344950,64671161
2026-03-18,3912605240500,441329,26834305050,64671161
2026-03-19,3640986364300,459618,26219154300,64671161
2026-03-20,3576315203300,369285,20639843700,64671161
2026-03-23,3298229211000,285851,14819791350,64671161
2026-03-24,3233558050000,391956,19814787375,64671161
2026-03-25,3459907113500,313820,16479312450,64671161
2026-03-26,3518111158400,442546,24677087500,64671161
2026-03-27,3440505765200,177457,9456848050,64671161
2026-03-30,3246492282200,178118,8928075125,64671161
2026-03-31,3052478799200,313640,15082566225,64671161
2026-04-01,3207689585600,173167,8605274450,64671161
2026-04-02,3178587563150,367060,18548532900,64671161
2026-04-03,3123617076300,179091,8769157200,64671161
2026-04-06,2994274754300,153049,7179816675,64671161
2026-04-07,2929603593300,142031,6525318075,64671161
2026-04-08,3107449286050,211496,10129439800,64671161
2026-04-09,2994274754300,140242,6603003475,64671161
2026-04-10,3075113705550,129235,6086842675,64671161
2026-04-13,2971639847950,105073,4837029150,64671161
2026-04-14,3010442544550,269992,12718833625,64671161
2026-04-15,3252959398300,345463,16956484200,64671161
2026-04-16,3317630559300,217172,11186795400,64671161
2026-04-17,3272360746600,130597,6647420350,64671161
2026-04-20,3223857375850,164114,8314464825,64671161
2026-04-21,3113916402150,258055,12493352050,64671161
2026-04-22,3049245241150,198589,9370711850,64671161
2026-04-23,3065413031400,183427,8697139625,64671161
2026-04-24,3246492282200,263519,12951949325,64671161
2026-04-27,3291762094900,218949,11128222225,64671161
2026-04-28,3159186214850,185568,9108693875,64671161
2026-04-29,3152719098750,129983,6391026950,64671161
2026-04-30,3029843892850,194521,9226160275,64671161
2026-05-04,3020143218700,115347,5419840875,64671161
2026-05-06,2861698874250,207116,9278802100,64671161
2026-05-07,2858465316200,206876,9414518425,64671161
