날짜,시가,고가,저가,종가,거래량,등락률
2023-06-07,147000,147700,144500,147300,33392,0.20408163265306123
2023-06-08,146500,152500,146100,149500,67186,1.4935505770536321
2023-06-09,150700,150800,144500,145800,51504,-2.4749163879598663
2023-06-12,146400,147400,143200,144400,36103,-0.9602194787379973
2023-06-13,144900,146600,143000,144100,28961,-0.20775623268698062
2023-06-14,145100,155800,144400,152100,123958,5.551700208188757
2023-06-15,151100,151500,143200,143800,86225,-5.456936226166995
2023-06-16,146000,149500,145200,146500,45264,1.8776077885952713
2023-06-19,146800,154200,146600,152000,63925,3.754266211604096
2023-06-20,155000,161000,154700,156100,138386,2.697368421052632
2023-06-21,155000,155000,148300,150700,62576,-3.459320948110186
2023-06-22,150800,152900,148600,151000,27636,0.19907100199071004
2023-06-23,152100,152100,145000,145000,54957,-3.9735099337748347
2023-06-26,144800,147700,142100,144000,39364,-0.6896551724137931
2023-06-27,144900,146800,144300,145800,22920,1.25
2023-06-28,145800,146300,139100,139400,67116,-4.38957475994513
2023-06-29,139600,141200,137400,137800,25249,-1.1477761836441895
2023-06-30,139600,140500,136900,139700,27442,1.3788098693759072
2023-07-03,139700,143300,138800,141500,28232,1.288475304223336
2023-07-04,140600,140700,137400,138200,35952,-2.3321554770318023
2023-07-05,138600,140600,136800,139100,42722,0.6512301013024602
2023-07-06,138100,138200,133100,135000,54850,-2.9475197699496762
2023-07-07,134400,137800,131300,132500,39348,-1.8518518518518516
2023-07-10,132500,135700,131700,134100,31563,1.2075471698113207
2023-07-11,134200,136200,131200,132500,41434,-1.193139448173005
2023-07-12,132500,134300,130500,132700,29994,0.1509433962264151
2023-07-13,133700,136700,132700,132700,52893,0.0
2023-07-14,133300,135700,131800,134700,33578,1.5071590052750565
2023-07-17,133600,136100,132600,134000,21658,-0.5196733481811433
2023-07-18,135000,137600,133900,135400,30764,1.0447761194029852
2023-07-19,136600,136600,132300,133100,28146,-1.6986706056129988
2023-07-20,133100,136600,131900,134900,28733,1.35236664162284
2023-07-21,136200,136200,132100,133200,19545,-1.2601927353595257
2023-07-24,133200,133800,130300,131500,29583,-1.2762762762762763
2023-07-25,129200,131000,129200,129400,33256,-1.596958174904943
2023-07-26,129400,129500,123000,123800,60458,-4.327666151468315
2023-07-27,124200,131700,123900,129300,41663,4.44264943457189
2023-07-28,125000,130900,125000,127800,29252,-1.160092807424594
2023-07-31,127100,134800,127100,134000,50321,4.851330203442879
2023-08-01,132700,138600,132300,137600,39965,2.6865671641791042
2023-08-02,137600,141100,135500,137800,35315,0.14534883720930233
2023-08-03,137800,139700,135600,137700,19900,-0.07256894049346879
2023-08-04,138900,142000,136600,138600,36692,0.6535947712418301
2023-08-07,138100,140800,135600,138600,24509,0.0
2023-08-08,139900,140300,132800,133500,24224,-3.67965367965368
2023-08-09,133500,134100,130000,131600,29474,-1.4232209737827715
2023-08-10,131300,133500,130400,133000,29217,1.0638297872340425
2023-08-11,132000,134100,131700,132500,15855,-0.37593984962406013
2023-08-14,132500,132500,126200,126200,36979,-4.754716981132075
2023-08-16,126100,126100,112900,113200,106189,-10.301109350237718
2023-08-17,111000,113000,108000,112000,53681,-1.0600706713780919
2023-08-18,111100,113500,108600,111800,31001,-0.17857142857142858
2023-08-21,111500,118300,111500,116100,33720,3.8461538461538463
2023-08-22,117300,117300,113300,114200,21460,-1.636520241171404
2023-08-23,112500,114500,111100,113600,35122,-0.5253940455341506
2023-08-24,114000,115000,112600,115000,17154,1.232394366197183
2023-08-25,114000,115500,112800,114800,15125,-0.17391304347826086
2023-08-28,116900,121200,114100,119600,41674,4.181184668989547
2023-08-29,123300,127300,120500,125300,60165,4.765886287625419
2023-08-30,127500,129300,125200,127800,34707,1.9952114924181963
2023-08-31,127900,131000,127700,128700,25216,0.7042253521126761
2023-09-01,127500,130000,123100,126000,18414,-2.097902097902098
2023-09-04,125600,137800,123100,137100,60554,8.80952380952381
2023-09-05,135300,138700,134500,137800,42932,0.5105762217359592
2023-09-06,137800,142100,135700,140000,60917,1.5965166908563133
2023-09-07,139900,141700,136000,136600,20252,-2.4285714285714284
2023-09-08,136000,142500,134900,141500,46409,3.5871156661786237
2023-09-11,141600,142300,139400,141100,17600,-0.2826855123674912
2023-09-12,142500,142500,138900,140000,17533,-0.7795889440113395
2023-09-13,139200,146300,137700,143200,47169,2.2857142857142856
2023-09-14,142600,145100,140100,145100,36254,1.3268156424581006
2023-09-15,145700,150000,144100,145800,67671,0.4824259131633356
2023-09-18,145300,148900,145300,145600,16965,-0.1371742112482853
2023-09-19,145100,149300,145000,146500,30156,0.6181318681318682
2023-09-20,147500,148200,144600,145000,19709,-1.023890784982935
2023-09-21,145000,145300,137200,138800,68864,-4.275862068965517
2023-09-22,135800,138600,135800,136500,19732,-1.6570605187319885
2023-09-25,135900,142500,135900,138100,32344,1.1721611721611722
2023-09-26,137100,140600,136400,136400,21664,-1.2309920347574221
2023-09-27,135200,137500,134100,136400,20696,0.0
2023-10-04,134400,134900,131500,132000,21652,-3.225806451612903
2023-10-05,131100,137000,131100,134700,26970,2.0454545454545454
2023-10-06,135900,135900,129500,130800,25238,-2.89532293986637
2023-10-10,134200,137300,132200,133000,30948,1.6819571865443423
2023-10-11,133100,136600,131800,133800,15555,0.6015037593984963
2023-10-12,136000,140800,132500,140600,45508,5.082212257100149
2023-10-13,139400,139500,133900,135000,22062,-3.982930298719772
2023-10-16,134800,139700,133800,136800,21904,1.3333333333333335
2023-10-17,139500,139500,133700,134800,21371,-1.461988304093567
2023-10-18,135000,136300,131600,134700,16959,-0.0741839762611276
2023-10-19,133400,136300,130500,135000,23489,0.22271714922048996
2023-10-20,135000,135700,128900,132200,33896,-2.074074074074074
2023-10-23,132900,136000,129100,133100,19508,0.680786686838124
2023-10-24,134400,134900,129000,133900,20750,0.6010518407212623
2023-10-25,137000,147200,133800,145300,98936,8.513816280806571
2023-10-26,143800,144900,139700,139700,41757,-3.8540949759119063
2023-10-27,141000,148700,139600,143000,55977,2.3622047244094486
2023-10-30,146000,163000,145800,158000,203733,10.48951048951049
2023-10-31,157600,161800,156000,159100,59893,0.6962025316455696
2023-11-01,157900,158400,152000,157500,55616,-1.005656819610308
2023-11-02,156900,158600,151600,153700,56043,-2.412698412698413
2023-11-03,153700,159500,153700,156800,48443,2.0169160702667535
2023-11-06,154300,157500,152700,156800,39729,0.0
2023-11-07,156700,162700,155000,161800,56124,3.188775510204082
2023-11-08,163400,163400,157600,159900,36476,-1.1742892459826948
2023-11-09,159500,164200,155200,160000,33432,0.06253908692933083
2023-11-10,158500,158500,150900,152200,47019,-4.875
2023-11-13,152200,154700,150000,152800,22095,0.39421813403416556
2023-11-14,154200,155100,151300,151400,13418,-0.9162303664921465
2023-11-15,154400,155200,151400,155200,29782,2.509907529722589
2023-11-16,155200,156200,152100,153000,11393,-1.4175257731958764
2023-11-17,153100,160800,153100,160200,48703,4.705882352941177
2023-11-20,161000,161500,157500,160000,16472,-0.12484394506866417
2023-11-21,162900,164000,159100,161300,21420,0.8125
2023-11-22,160700,163900,160500,161800,14596,0.3099814011159331
2023-11-23,162000,163300,155700,157800,32357,-2.4721878862793574
2023-11-24,157900,164500,157700,162700,30969,3.1051964512040557
2023-11-27,162700,168000,162600,166000,28115,2.028272894898586
2023-11-28,166000,167500,164500,164600,17198,-0.8433734939759037
2023-11-29,164600,166200,160900,162900,16869,-1.0328068043742407
2023-11-30,162900,167800,162200,164400,27122,0.9208103130755065
2023-12-01,164400,167500,163200,164000,19490,-0.24330900243309003
2023-12-04,166700,167100,162500,164100,26329,0.06097560975609756
2023-12-05,164100,166700,163200,164700,20178,0.3656307129798903
2023-12-06,164000,165900,161500,161500,15086,-1.9429265330904677
2023-12-07,161600,172500,161200,167300,62153,3.591331269349845
