date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,8260.0,2469719.0,204378.0,-160965.0,12668358.0,9.21
2025-06-17,8220.0,2099900.0,-50000.0,-18494.0,12655163.0,9.2
2025-06-18,8310.0,1548979.0,-97802.0,285650.0,12929316.0,9.4
2025-06-19,8030.0,1850633.0,-37126.0,201045.0,13114426.0,9.54
2025-06-20,7980.0,3044427.0,313584.0,424101.0,13539100.0,9.85
2025-06-23,8720.0,5939935.0,-483964.0,1136840.0,14710315.0,10.7
2025-06-24,9000.0,2589314.0,104003.0,261085.0,14959444.0,10.88
2025-06-25,9400.0,2162621.0,-33203.0,543633.0,15404079.0,11.2
2025-06-26,8590.0,2178352.0,-141559.0,106040.0,15489278.0,11.26
2025-06-27,8290.0,1270367.0,107713.0,207153.0,15695670.0,11.42
2025-06-30,8390.0,1211728.0,-104918.0,409247.0,16098222.0,11.71
2025-07-01,8500.0,1168899.0,-56187.0,241795.0,16337492.0,11.88
2025-07-02,8560.0,950957.0,-58160.0,253984.0,16593836.0,12.07
2025-07-03,8750.0,895344.0,59592.0,163484.0,16758122.0,12.19
2025-07-04,8030.0,1704668.0,23438.0,361432.0,17139570.0,12.47
2025-07-07,8180.0,952584.0,4760.0,282861.0,17421485.0,12.67
2025-07-08,8730.0,1497706.0,-73510.0,359397.0,17776926.0,12.93
2025-07-09,9200.0,2418380.0,90034.0,693164.0,18455660.0,13.42
2025-07-10,9660.0,2183699.0,-95275.0,414649.0,18876111.0,13.73
2025-07-11,9690.0,1550478.0,-21179.0,181888.0,19020201.0,13.83
2025-07-14,9960.0,1251900.0,-23872.0,201607.0,19222732.0,13.98
2025-07-15,9990.0,953743.0,-35270.0,147178.0,19287047.0,14.03
2025-07-16,9400.0,1914927.0,-149876.0,350257.0,19636406.0,14.28
2025-07-17,9330.0,1028671.0,-188160.0,218289.0,19858472.0,14.44
2025-07-18,9190.0,955062.0,-129208.0,132264.0,19999380.0,14.55
2025-07-21,9100.0,899938.0,99653.0,202004.0,20151530.0,14.66
2025-07-22,9110.0,1424956.0,161001.0,247140.0,20205633.0,14.7
2025-07-23,9050.0,1240424.0,68718.0,285189.0,20400431.0,14.84
2025-07-24,8750.0,1911615.0,-40260.0,314488.0,20709471.0,15.06
2025-07-25,8900.0,863642.0,61177.0,171495.0,20882930.0,15.19
2025-07-28,8360.0,1751538.0,31163.0,485533.0,21349616.0,15.53
2025-07-29,8620.0,832337.0,33025.0,130729.0,21133653.0,15.37
2025-07-30,8520.0,791025.0,44710.0,242067.0,21185910.0,15.41
2025-07-31,8520.0,731381.0,7738.0,193032.0,21375417.0,15.55
