날짜,시가,고가,저가,종가,거래량,등락률
2023-06-05,3733,3747,3723,3733,98954,0.13412017167381973
2023-06-07,3723,3762,3723,3742,69509,0.24109295472810074
2023-06-08,3733,3757,3733,3752,33237,0.26723677177979693
2023-06-09,3752,3767,3742,3757,90448,0.13326226012793177
2023-06-12,3762,3767,3718,3723,61839,-0.904977375565611
2023-06-13,3752,3752,3723,3733,40340,0.26860059092130006
2023-06-14,3733,3742,3694,3694,63698,-1.0447361371551032
2023-06-15,3694,3718,3684,3694,29576,0.0
2023-06-16,3713,3728,3698,3713,67002,0.5143475906876015
2023-06-19,3694,3708,3674,3679,43997,-0.915701589011581
2023-06-20,3689,3689,3664,3684,41444,0.1359064963305246
2023-06-21,3728,3738,3674,3708,128047,0.6514657980456027
2023-06-22,3728,3728,3694,3708,55249,0.0
2023-06-23,3713,3713,3650,3659,72103,-1.3214670981661272
2023-06-26,3674,3689,3635,3684,51112,0.6832467887400929
2023-06-27,3703,3703,3659,3664,27188,-0.5428881650380022
2023-06-28,3698,3698,3640,3640,43821,-0.6550218340611353
2023-06-29,3640,3645,3606,3625,54890,-0.4120879120879121
2023-06-30,3625,3664,3615,3635,33898,0.27586206896551724
2023-07-03,3645,3679,3635,3669,45547,0.9353507565337001
2023-07-04,3738,3738,3630,3635,76041,-0.9266830198964295
2023-07-05,3640,3655,3615,3625,54793,-0.2751031636863824
2023-07-06,3625,3635,3581,3625,61513,0.0
2023-07-07,3655,3655,3537,3586,50066,-1.0758620689655174
2023-07-10,3586,3596,3532,3557,67520,-0.8087005019520357
2023-07-11,3591,3611,3542,3611,99766,1.5181332583637897
2023-07-12,3606,3611,3567,3567,64408,-1.2184990307394072
2023-07-13,3606,3615,3571,3601,46262,0.9531819456125596
2023-07-14,3601,3630,3586,3625,30513,0.6664815329075257
2023-07-17,3596,3615,3567,3586,95148,-1.0758620689655174
2023-07-18,3576,3581,3523,3547,92287,-1.0875627440044617
2023-07-19,3547,3547,3498,3542,86888,-0.140964195094446
2023-07-20,3537,3542,3513,3532,29159,-0.282326369282891
2023-07-21,3527,3527,3503,3503,68106,-0.8210645526613816
2023-07-24,3503,3503,3469,3474,100669,-0.827861832714816
2023-07-25,3474,3483,3459,3464,73277,-0.28785261945883706
2023-07-26,3464,3469,3405,3420,152529,-1.2702078521939952
2023-07-27,3420,3483,3410,3469,56970,1.432748538011696
2023-07-28,3459,3464,3415,3444,114710,-0.7206687806284232
2023-07-31,3444,3474,3440,3469,48107,0.7259001161440186
2023-08-01,3459,3542,3459,3513,70405,1.2683770539060248
2023-08-02,3518,3527,3488,3498,40690,-0.4269854824935952
2023-08-03,3518,3518,3479,3503,29833,0.1429388221841052
2023-08-04,3493,3542,3493,3518,38860,0.4282043962318013
2023-08-07,3523,3557,3503,3542,78487,0.6822057987492893
2023-08-08,3523,3581,3508,3527,54240,-0.4234895539243365
2023-08-09,3552,3557,3518,3547,43866,0.5670541536716757
2023-08-10,3547,3552,3508,3532,44638,-0.422892585283338
2023-08-11,3513,3542,3493,3508,65057,-0.6795016987542469
2023-08-14,3508,3527,3469,3488,90968,-0.5701254275940707
2023-08-16,3479,3483,3444,3469,114054,-0.5447247706422018
2023-08-17,3459,3464,3415,3464,164948,-0.14413375612568463
2023-08-18,3440,3474,3425,3469,56130,0.14434180138568128
2023-08-21,3449,3483,3449,3479,55384,0.28826751225136926
2023-08-22,3488,3493,3464,3469,49007,-0.2874389192296637
2023-08-23,3493,3493,3464,3474,35718,0.14413375612568463
2023-08-24,3498,3498,3459,3479,37804,0.14392630972941853
2023-08-25,3479,3488,3464,3479,35105,0.0
2023-08-28,3479,3498,3479,3488,85576,0.25869502730669736
2023-08-29,3488,3503,3474,3503,73395,0.43004587155963303
2023-08-30,3503,3508,3483,3488,103162,-0.4282043962318013
2023-08-31,3488,3493,3459,3479,102914,-0.25802752293577985
2023-09-01,3488,3488,3464,3483,61392,0.11497556769186547
2023-09-04,3479,3483,3464,3479,56945,-0.11484352569623889
2023-09-05,3479,3479,3449,3469,110340,-0.2874389192296637
2023-09-06,3449,3474,3449,3459,63999,-0.28826751225136926
2023-09-07,3464,3464,3440,3449,66954,-0.28910089621277824
2023-09-08,3449,3464,3440,3464,74936,0.43490866917947235
2023-09-11,3469,3479,3454,3474,80155,0.28868360277136257
2023-09-12,3474,3488,3459,3469,64046,-0.14392630972941853
2023-09-13,3469,3483,3464,3479,58411,0.28826751225136926
2023-09-14,3479,3503,3469,3498,100065,0.546133946536361
2023-09-15,3488,3576,3488,3576,303591,2.2298456260720414
2023-09-18,3562,3567,3542,3562,64348,-0.39149888143176736
2023-09-19,3557,3567,3547,3557,73109,-0.1403705783267827
2023-09-20,3557,3562,3542,3542,44959,-0.4217036828788305
2023-09-21,3537,3547,3523,3532,60361,-0.282326369282891
2023-09-22,3532,3532,3483,3488,93477,-1.245753114382786
2023-09-25,3483,3513,3464,3479,104465,-0.25802752293577985
2023-09-26,3479,3479,3435,3454,163075,-0.7185972980741593
2023-09-27,3459,3459,3391,3454,132894,0.0
2023-10-04,3449,3454,3396,3396,135776,-1.679212507237985
2023-10-05,3400,3425,3391,3396,46315,0.0
2023-10-06,3410,3430,3400,3410,27860,0.4122497055359246
2023-10-10,3415,3444,3410,3420,44271,0.2932551319648094
2023-10-11,3440,3449,3405,3420,46258,0.0
2023-10-12,3449,3454,3400,3430,31510,0.29239766081871343
2023-10-13,3430,3440,3400,3425,59277,-0.1457725947521866
2023-10-16,3435,3435,3391,3410,77452,-0.43795620437956206
2023-10-17,3415,3425,3410,3415,34272,0.1466275659824047
2023-10-18,3410,3449,3410,3425,62538,0.29282576866764276
2023-10-19,3440,3440,3386,3410,245285,-0.43795620437956206
2023-10-20,3415,3415,3391,3410,190001,0.0
2023-10-23,3410,3449,3381,3386,159560,-0.7038123167155426
2023-10-24,3405,3405,3371,3396,40220,0.29533372711163614
2023-10-25,3396,3410,3396,3400,56989,0.11778563015312131
2023-10-26,3400,3415,3376,3415,102064,0.4411764705882353
2023-10-27,3410,3420,3396,3415,23327,0.0
2023-10-30,3410,3430,3405,3430,19512,0.43923865300146414
2023-10-31,3430,3435,3391,3420,33841,-0.2915451895043732
2023-11-01,3430,3440,3420,3430,30626,0.29239766081871343
2023-11-02,3449,3449,3415,3435,71347,0.1457725947521866
2023-11-03,3440,3459,3430,3454,58632,0.5531295487627365
2023-11-06,3454,3542,3454,3532,208893,2.25825130283729
2023-11-07,3518,3518,3444,3469,171822,-1.783691959229898
2023-11-08,3469,3493,3454,3469,76233,0.0
2023-11-09,3469,3483,3459,3474,54352,0.14413375612568463
2023-11-10,3479,3513,3459,3474,82529,0.0
2023-11-13,3483,3498,3469,3474,37265,0.0
2023-11-14,3483,3498,3474,3479,35791,0.14392630972941853
2023-11-15,3498,3518,3493,3518,67990,1.1210117849956884
2023-11-16,3523,3523,3493,3513,28222,-0.14212620807276863
2023-11-17,3518,3518,3493,3503,23303,-0.2846569883290635
2023-11-20,3508,3527,3498,3527,40671,0.6851270339708821
2023-11-21,3518,3542,3518,3542,28523,0.4252906152537568
2023-11-22,3537,3552,3527,3547,29701,0.1411631846414455
2023-11-23,3557,3576,3542,3576,87043,0.817592331547787
2023-11-24,3576,3625,3576,3615,93323,1.0906040268456376
2023-11-27,3625,3640,3611,3620,57079,0.13831258644536654
2023-11-28,3615,3645,3615,3635,62931,0.4143646408839779
2023-11-29,3645,3645,3586,3591,37855,-1.2104539202200826
2023-11-30,3591,3601,3576,3596,24022,0.1392369813422445
2023-12-01,3601,3615,3586,3596,10300,0.0
2023-12-04,3596,3620,3576,3611,46120,0.41713014460511677
2023-12-05,3611,3625,3596,3615,35139,0.11077263915812793
2023-12-06,3586,3620,3586,3606,107999,-0.24896265560165973
2023-12-07,3606,3611,3586,3591,32409,-0.4159733777038269
2023-12-08,3601,3601,3567,3596,85507,0.1392369813422445
2023-12-11,3596,3606,3576,3591,73693,-0.13904338153503892
2023-12-12,3591,3615,3591,3601,59652,0.278473962684489
2023-12-13,3601,3615,3596,3611,131860,0.27770063871146905
2023-12-14,3611,3625,3601,3606,54159,-0.13846579894765992
2023-12-15,3606,3620,3601,3615,68799,0.24958402662229617
2023-12-18,3615,3615,3591,3596,242684,-0.5255878284923928
2023-12-19,3611,3611,3576,3611,164035,0.41713014460511677
2023-12-20,3591,3630,3591,3625,244891,0.3877042370534478
2023-12-21,3615,3664,3606,3620,115944,-0.13793103448275862
2023-12-22,3640,3640,3601,3606,104092,-0.3867403314917127
2023-12-26,3606,3611,3591,3606,836938,0.0
2023-12-27,3576,3606,3576,3581,93531,-0.6932889628397115
2023-12-28,3581,3615,3581,3615,125901,0.9494554593688914
2024-01-02,3611,3611,3586,3601,79413,-0.3872752420470263
2024-01-03,3601,3601,3571,3591,235110,-0.27770063871146905
2024-01-04,3591,3591,3567,3581,97150,-0.278473962684489
2024-01-05,3586,3591,3562,3567,103912,-0.3909522479754258
2024-01-08,3567,3567,3547,3557,91016,-0.28034763106251753
2024-01-09,3557,3576,3552,3571,72711,0.3935901040202418
2024-01-10,3567,3576,3547,3547,59929,-0.6720806496779613
2024-01-11,3547,3557,3542,3552,97616,0.140964195094446
2024-01-12,3552,3552,3532,3537,90906,-0.4222972972972973
2024-01-15,3552,3552,3523,3532,29033,-0.14136273678258413
2024-01-16,3532,3532,3493,3498,65926,-0.9626274065685164
2024-01-17,3498,3498,3435,3440,112975,-1.6580903373356204
2024-01-18,3440,3440,3391,3420,164779,-0.5813953488372093
2024-01-19,3420,3449,3410,3430,78851,0.29239766081871343
2024-01-22,3449,3449,3386,3405,201604,-0.7288629737609329
2024-01-23,3405,3444,3400,3435,137059,0.881057268722467
2024-01-24,3435,3440,3410,3435,47446,0.0
2024-01-25,3435,3498,3410,3479,311779,1.2809315866084425
2024-01-26,3503,3635,3493,3615,335213,3.909169301523426
2024-01-29,3606,3635,3591,3596,145312,-0.5255878284923928
2024-01-30,3620,3694,3601,3655,354138,1.6407119021134595
2024-01-31,3645,3659,3611,3645,113498,-0.27359781121751026
2024-02-01,3645,3830,3620,3821,654074,4.828532235939644
2024-02-02,3830,3938,3767,3894,554887,1.9104946349123266
2024-02-05,3894,3909,3791,3879,297895,-0.3852080123266564
2024-02-06,3870,3899,3811,3865,205042,-0.3609177623098737
2024-02-07,3865,3938,3801,3928,410685,1.630012936610608
2024-02-08,3938,3957,3899,3948,242234,0.5091649694501018
2024-02-13,3948,3972,3943,3967,309137,0.48125633232016213
2024-02-14,3933,3943,3855,3874,373626,-2.344340811696496
2024-02-15,3899,3899,3850,3850,216583,-0.619514713474445
2024-02-16,3850,3957,3826,3948,1126678,2.5454545454545454
2024-02-19,3948,4075,3933,4065,733475,2.9635258358662613
2024-02-20,4060,4060,3933,3962,356479,-2.5338253382533824
2024-02-21,3982,4031,3948,4006,306830,1.110550227158001
2024-02-22,3967,4001,3938,3967,219279,-0.9735396904643037
2024-02-23,4001,4060,3967,3992,485699,0.6301991429291656
2024-02-26,3982,3982,3840,3845,272390,-3.682364729458918
2024-02-27,3884,3933,3835,3865,304871,0.5201560468140443
2024-02-28,3884,3997,3835,3972,411087,2.7684346701164295
2024-02-29,3977,3992,3923,3948,230791,-0.6042296072507553
2024-03-04,3953,3987,3938,3953,140179,0.12664640324214793
2024-03-05,3943,3953,3899,3923,187089,-0.7589172780166962
2024-03-06,3909,3913,3777,3845,525799,-1.988274279887841
2024-03-07,3806,3845,3782,3811,86722,-0.8842652795838752
2024-03-08,3830,3870,3806,3845,127578,0.8921542902125426
2024-03-11,3845,3845,3747,3806,186806,-1.0143042912873863
2024-03-12,3762,3806,3728,3742,225306,-1.6815554387808722
2024-03-13,3757,3811,3742,3782,66246,1.0689470871191877
2024-03-14,3782,3865,3782,3860,263119,2.0624008461131678
2024-03-15,3845,3889,3742,3742,3615194,-3.0569948186528495
2024-03-18,3742,3782,3718,3728,201853,-0.3741314804917157
2024-03-19,3728,3738,3674,3674,397007,-1.448497854077253
2024-03-20,3684,3747,3679,3718,162532,1.1976047904191618
2024-03-21,3723,3821,3723,3791,344702,1.9634211941904252
2024-03-22,3821,3850,3782,3811,278126,0.5275652862041678
2024-03-25,3816,3826,3742,3752,279372,-1.5481500918394122
2024-03-26,3767,3801,3752,3752,90760,0.0
2024-03-27,3757,3767,3703,3703,181219,-1.3059701492537312
2024-03-28,3655,3664,3591,3659,366491,-1.18822576289495
2024-03-29,3659,3659,3586,3591,534034,-1.8584312653730526
2024-04-01,3615,3620,3498,3513,1091957,-2.172096908939014
2024-04-02,3527,3542,3503,3513,189345,0.0
2024-04-03,3513,3523,3488,3503,986549,-0.2846569883290635
2024-04-04,3508,3567,3508,3562,244937,1.6842706251784185
2024-04-05,3547,3576,3537,3562,81580,0.0
2024-04-08,3567,3601,3557,3601,136001,1.094890510948905
2024-04-09,3586,3615,3576,3591,55144,-0.27770063871146905
2024-04-11,3591,3591,3508,3527,168449,-1.7822333611807295
2024-04-12,3557,3557,3469,3493,183421,-0.9639920612418486
2024-04-15,3508,3508,3459,3493,80201,0.0
2024-04-16,3488,3493,3440,3444,239145,-1.402805611222445
2024-04-17,3464,3469,3425,3425,107120,-0.5516840882694541
2024-04-18,3425,3449,3425,3444,77546,0.5547445255474452
2024-04-19,3444,3449,3400,3444,108870,0.0
2024-04-22,3469,3503,3449,3498,70800,1.5679442508710801
2024-04-23,3513,3542,3498,3523,672299,0.714694110920526
2024-04-24,3537,3547,3518,3527,67745,0.11353959693443089
2024-04-25,3523,3567,3513,3547,98222,0.5670541536716757
2024-04-26,3552,3581,3537,3571,233829,0.6766281364533409
2024-04-29,3571,3576,3547,3576,98062,0.14001680201624195
2024-04-30,3576,3576,3552,3562,94547,-0.39149888143176736
2024-05-02,3562,3562,3527,3542,226374,-0.5614823133071308
2024-05-03,3552,3557,3527,3527,40280,-0.4234895539243365
2024-05-07,3532,3562,3498,3513,664262,-0.396937907570173
2024-05-08,3513,3547,3508,3537,158655,0.6831767719897524
2024-05-09,3542,3557,3513,3527,153039,-0.28272547356516825
2024-05-10,3537,3679,3537,3650,322365,3.487383045080805
2024-05-13,3645,3650,3606,3615,163163,-0.9589041095890412
2024-05-14,3615,3645,3562,3615,192790,0.0
2024-05-16,3625,3650,3601,3630,94598,0.4149377593360996
2024-05-17,3625,3625,3586,3615,139880,-0.4132231404958678
2024-05-20,3611,3620,3591,3615,134023,0.0
2024-05-21,3615,3615,3571,3591,182873,-0.6639004149377593
2024-05-22,3591,3596,3518,3576,201996,-0.4177109440267335
2024-05-23,3581,3581,3557,3567,96216,-0.25167785234899326
2024-05-24,3567,3567,3523,3537,134386,-0.8410428931875525
2024-05-27,3537,3552,3508,3523,192857,-0.3958156629912355
2024-05-28,3523,3547,3493,3508,208602,-0.42577348850411584
2024-05-29,3513,3513,3469,3483,308808,-0.7126567844925884
2024-05-30,3483,3493,3449,3454,308746,-0.8326155612977318
2024-05-31,3454,3513,3454,3474,141921,0.5790387955993052
2024-06-03,3493,3498,3474,3488,112338,0.40299366724237184
2024-06-04,3488,3498,3449,3469,181701,-0.5447247706422018
2024-06-05,3449,3479,3449,3459,100524,-0.28826751225136926
2024-06-07,3469,3518,3464,3483,164299,0.6938421509106678
2024-06-10,3483,3488,3459,3469,132729,-0.4019523399368361
2024-06-11,3469,3479,3449,3464,106037,-0.14413375612568463
2024-06-12,3469,3474,3444,3459,308186,-0.14434180138568128
2024-06-13,3464,3508,3454,3459,367741,0.0
2024-06-14,3459,3493,3444,3493,293701,0.9829430471234462
2024-06-17,3469,3483,3464,3469,76394,-0.6870884626395649
2024-06-18,3483,3483,3459,3474,268207,0.14413375612568463
2024-06-19,3483,3503,3474,3483,66064,0.2590673575129534
2024-06-20,3493,3508,3479,3508,86665,0.7177720356014929
2024-06-21,3508,3518,3474,3474,136874,-0.9692132269099202
2024-06-24,3469,3483,3454,3474,261828,0.0
2024-06-25,3474,3493,3464,3479,310598,0.14392630972941853
2024-06-26,3469,3488,3459,3479,95666,0.0
2024-06-27,3483,3483,3459,3469,63496,-0.2874389192296637
2024-06-28,3469,3498,3469,3493,119931,0.6918420294032862
2024-07-01,3488,3493,3459,3474,219666,-0.5439450329229888
2024-07-02,3488,3488,3459,3469,57564,-0.14392630972941853
2024-07-03,3469,3537,3469,3508,170338,1.12424329778034
2024-07-04,3513,3620,3513,3620,300420,3.192702394526796
2024-07-05,3606,3640,3581,3591,231738,-0.8011049723756906
2024-07-08,3586,3611,3581,3606,95632,0.4177109440267335
2024-07-09,3606,3611,3576,3601,77177,-0.13865779256794233
2024-07-10,3596,3615,3586,3611,62423,0.27770063871146905
2024-07-11,3606,3655,3601,3640,257227,0.8031016338964275
2024-07-12,3635,3669,3630,3664,144810,0.6593406593406593
2024-07-15,3664,3723,3630,3669,494620,0.13646288209606985
2024-07-16,3664,3703,3659,3674,240946,0.1362769146906514
2024-07-17,3674,3718,3645,3684,242001,0.2721829069134458
2024-07-18,3684,3684,3640,3655,90122,-0.7871878393051032
2024-07-19,3655,3655,3601,3625,122673,-0.8207934336525308
2024-07-22,3635,3635,3586,3596,51479,-0.8
2024-07-23,3596,3611,3567,3601,81863,0.13904338153503892
2024-07-24,3591,3601,3567,3567,66522,-0.9441821716189948
2024-07-25,3567,3567,3527,3547,191160,-0.5606952621250351
2024-07-26,3547,3586,3547,3581,79542,0.9585565266422329
2024-07-29,3596,3713,3596,3703,260529,3.4068695895001397
2024-07-30,3689,3703,3669,3684,107637,-0.5130974885228193
2024-07-31,3684,3757,3674,3742,317176,1.5743756786102063
2024-08-01,3752,3752,3718,3742,106103,0.0
2024-08-02,3718,3718,3606,3625,245499,-3.1266702298236235
2024-08-05,3586,3586,3371,3405,761352,-6.068965517241379
