date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-06-16,37800.0,299339.0,-74902.0,26174.0,1345163.0,1.97
2025-06-17,43900.0,1387110.0,81912.0,-98592.0,1257193.0,1.84
2025-06-18,44550.0,544462.0,48325.0,18511.0,1291906.0,1.89
2025-06-19,45200.0,392618.0,36546.0,-46770.0,1260910.0,1.84
2025-06-20,43200.0,392412.0,8046.0,-54813.0,1202031.0,1.76
2025-06-23,45300.0,425865.0,28197.0,-16199.0,1198524.0,1.75
2025-06-24,46250.0,494435.0,124359.0,-95664.0,1093106.0,1.6
2025-06-25,45900.0,181146.0,47663.0,-26847.0,1089962.0,1.59
2025-06-26,44500.0,229702.0,3496.0,24485.0,1117828.0,1.63
2025-06-27,44600.0,114205.0,335.0,106.0,1091197.0,1.6
2025-06-30,44800.0,135509.0,27039.0,-18235.0,1084641.0,1.59
2025-07-01,46150.0,317847.0,73696.0,27579.0,1180481.0,1.73
2025-07-02,43650.0,270159.0,37684.0,21347.0,1203844.0,1.76
2025-07-03,43300.0,113131.0,10789.0,-28056.0,1165245.0,1.7
2025-07-04,41750.0,251932.0,-53050.0,74563.0,1240147.0,1.81
2025-07-07,41100.0,278043.0,-78061.0,85094.0,1342886.0,1.96
2025-07-08,41850.0,181782.0,-21520.0,-16927.0,1316237.0,1.92
2025-07-09,45550.0,466063.0,-19390.0,-22774.0,1300942.0,1.9
2025-07-10,47450.0,552719.0,28374.0,-43529.0,1272614.0,1.86
2025-07-11,46950.0,264581.0,-489.0,10777.0,1286493.0,1.88
2025-07-14,47050.0,160574.0,73120.0,-35881.0,1252652.0,1.83
2025-07-15,48750.0,899115.0,123134.0,-16973.0,1234705.0,1.81
2025-07-16,48500.0,215735.0,54692.0,-56315.0,1168969.0,1.71
2025-07-17,48250.0,209756.0,18925.0,-13324.0,1152102.0,1.68
2025-07-18,49850.0,447553.0,22654.0,-7216.0,1139036.0,1.67
2025-07-21,48500.0,186423.0,1542.0,-41865.0,1094242.0,1.6
2025-07-22,46800.0,241419.0,1264.0,51406.0,1150566.0,1.68
2025-07-23,48550.0,240807.0,45651.0,-24380.0,1120027.0,1.64
2025-07-24,50000.0,396968.0,60289.0,-4085.0,1130420.0,1.65
2025-07-25,49700.0,129949.0,27948.0,-21019.0,1123668.0,1.64
2025-07-28,45950.0,412074.0,-31402.0,-75140.0,1035960.0,1.51
2025-07-29,50000.0,768017.0,31273.0,27159.0,1069710.0,1.56
2025-07-30,51900.0,482897.0,82393.0,-9060.0,1086586.0,1.59
2025-07-31,50700.0,251500.0,71896.0,-25347.0,1060018.0,1.55
2025-08-01,45300.0,708860.0,-249849.0,90769.0,1175146.0,1.72
2025-08-04,44300.0,221803.0,-52989.0,59314.0,1215619.0,1.78
2025-08-05,43500.0,358284.0,-106314.0,98563.0,1327084.0,1.94
2025-08-06,43700.0,255727.0,46426.0,-1999.0,1303998.0,1.91
2025-08-07,43750.0,307961.0,23555.0,-22865.0,1264483.0,1.85
2025-08-08,43350.0,203125.0,-25706.0,24746.0,1302321.0,1.9
2025-08-11,42300.0,197279.0,8775.0,57344.0,1361750.0,1.99
2025-08-12,41800.0,173475.0,2854.0,33829.0,1387640.0,2.03
2025-08-13,42150.0,140966.0,15071.0,17150.0,1401393.0,2.05
2025-08-14,41850.0,200482.0,-48879.0,30134.0,1429864.0,2.09
2025-08-18,42850.0,183989.0,24466.0,-42390.0,1385082.0,2.03
2025-08-19,42700.0,121527.0,36423.0,-27566.0,1358381.0,1.99
2025-08-20,41100.0,257226.0,-19418.0,14053.0,1382015.0,2.02
2025-08-21,40800.0,117069.0,-9806.0,37729.0,1411027.0,2.06
2025-08-22,40950.0,199795.0,-75181.0,101887.0,1517575.0,2.22
2025-08-25,41050.0,131597.0,-26610.0,29617.0,1547302.0,2.26
2025-08-26,41000.0,140265.0,-40127.0,42958.0,1568756.0,2.29
2025-08-27,41550.0,122198.0,-22525.0,-2970.0,1556335.0,2.28
2025-08-28,42550.0,154018.0,26853.0,-27259.0,1535478.0,2.25
2025-08-29,41050.0,151818.0,-4315.0,-21874.0,1506996.0,2.2
2025-09-01,41000.0,98940.0,-16370.0,29776.0,1532253.0,2.24
2025-09-02,41200.0,90815.0,-3530.0,8823.0,1516125.0,2.22
2025-09-03,39850.0,167431.0,-57171.0,25487.0,1536176.0,2.25
2025-09-04,40000.0,86272.0,-9309.0,28465.0,1564838.0,2.29
2025-09-05,39300.0,210892.0,-48540.0,104169.0,1690647.0,2.47
2025-09-08,39250.0,88603.0,-14291.0,20986.0,1706491.0,2.5
2025-09-09,38700.0,317689.0,-53340.0,105375.0,1802140.0,2.64
2025-09-10,38850.0,103992.0,-25445.0,25331.0,1815279.0,2.65
2025-09-11,38700.0,131386.0,-36860.0,10195.0,1817864.0,2.66
2025-09-12,39250.0,125365.0,-23701.0,14429.0,1770803.0,2.59
2025-09-15,39350.0,76744.0,-8465.0,16557.0,1787930.0,2.61
2025-09-16,40000.0,197224.0,572.0,-13034.0,1751703.0,2.56
2025-09-17,39200.0,102653.0,-47412.0,-5547.0,1737787.0,2.54
2025-09-18,40300.0,190031.0,-11476.0,20084.0,1755156.0,2.57
2025-09-19,41600.0,467135.0,73052.0,-54797.0,1706701.0,2.5
2025-09-22,41300.0,253425.0,-66413.0,6189.0,1706384.0,2.5
2025-09-23,41750.0,205438.0,-28401.0,-307.0,1707997.0,2.5
2025-09-24,40750.0,170373.0,-66908.0,22239.0,1730053.0,2.53
2025-09-25,39050.0,192326.0,-91529.0,6878.0,1741424.0,2.55
2025-09-26,38700.0,147099.0,-47731.0,30435.0,1760331.0,2.57
2025-09-29,38750.0,97080.0,-22952.0,27203.0,1782711.0,2.61
2025-09-30,38900.0,120077.0,-17929.0,-6164.0,1769360.0,2.59
2025-10-01,38400.0,70786.0,-5224.0,-12021.0,1756562.0,2.57
2025-10-02,38100.0,116077.0,-32343.0,28922.0,1767420.0,2.58
2025-10-10,37350.0,131722.0,-43962.0,29833.0,1794855.0,2.62
2025-10-13,36550.0,173177.0,-94369.0,103224.0,1904858.0,2.79
2025-10-14,36300.0,137900.0,-41460.0,57082.0,1960899.0,2.87
2025-10-15,36750.0,81620.0,3168.0,-6888.0,1944260.0,2.84
2025-10-16,37600.0,111807.0,-4418.0,16653.0,1957685.0,2.86
2025-10-17,37450.0,81259.0,-789.0,-14657.0,1989999.0,2.91
2025-10-20,38100.0,68411.0,10399.0,-9979.0,1986798.0,2.91
2025-10-21,37750.0,73424.0,7893.0,-16634.0,1973417.0,2.89
2025-10-22,38300.0,66500.0,5427.0,4091.0,1962387.0,2.87
2025-10-23,37650.0,72652.0,-2801.0,-6464.0,1954116.0,2.86
2025-10-24,37400.0,71805.0,-287.0,7257.0,1961305.0,2.87
2025-10-27,40900.0,1736708.0,16043.0,-274798.0,1664248.0,2.43
2025-10-28,39750.0,214817.0,21226.0,21313.0,1687240.0,2.47
2025-10-29,38550.0,184476.0,-9424.0,-15876.0,1674594.0,2.45
2025-10-30,38200.0,116577.0,-7251.0,-12427.0,1620555.0,2.37
2025-10-31,39400.0,187170.0,6346.0,16634.0,1649838.0,2.41
2025-11-03,39300.0,101550.0,-3486.0,1262.0,1649577.0,2.41
2025-11-04,40500.0,262521.0,-4276.0,47401.0,1700769.0,2.49
2025-11-05,40000.0,163027.0,400.0,-8808.0,1690971.0,2.47
2025-11-06,39400.0,98770.0,9518.0,13427.0,1709886.0,2.5
2025-11-07,39000.0,98845.0,-180.0,-18882.0,1678392.0,2.45
2025-11-10,39800.0,65326.0,13521.0,17272.0,1682945.0,2.46
2025-11-11,39600.0,108393.0,-26063.0,37450.0,1723127.0,2.52
2025-11-12,40950.0,173430.0,22697.0,55649.0,1786469.0,2.61
2025-11-13,41600.0,213753.0,11842.0,28160.0,1817077.0,2.66
2025-11-14,40750.0,113139.0,387.0,12638.0,1795472.0,2.63
2025-11-17,40450.0,131190.0,-4749.0,1769.0,1798308.0,2.63
2025-11-18,38550.0,119595.0,-8221.0,-13464.0,1769272.0,2.59
2025-11-19,38000.0,113718.0,-25121.0,927.0,1761936.0,2.58
2025-11-20,38700.0,93760.0,2148.0,18514.0,1785604.0,2.61
2025-11-21,37850.0,68039.0,6896.0,-17516.0,1759803.0,2.57
2025-11-24,37600.0,104415.0,1706.0,-7043.0,1758159.0,2.57
2025-11-25,37450.0,86554.0,-1521.0,55.0,1758550.0,2.57
2025-11-26,38500.0,73175.0,16352.0,3613.0,1765072.0,2.58
2025-11-27,38000.0,64792.0,-2962.0,7398.0,1766449.0,2.58
2025-11-28,38850.0,84911.0,4365.0,14255.0,1779662.0,2.6
2025-12-01,38700.0,59500.0,-4727.0,9745.0,1786735.0,2.61
2025-12-02,37000.0,179016.0,-40561.0,-75949.0,1700577.0,2.49
2025-12-03,37300.0,85407.0,-6014.0,5229.0,1703631.0,2.49
2025-12-04,37100.0,62141.0,-17505.0,-12335.0,1680919.0,2.46
2025-12-05,36950.0,64971.0,7302.0,-8205.0,1670923.0,2.44
2025-12-08,36650.0,68936.0,-4916.0,-8143.0,1663378.0,2.43
2025-12-09,36850.0,48342.0,56.0,7875.0,1671321.0,2.44
2025-12-10,36950.0,66292.0,-17039.0,22251.0,1704068.0,2.49
2025-12-11,37250.0,146090.0,-2633.0,29897.0,1743332.0,2.55
2025-12-12,38050.0,106659.0,17168.0,8042.0,1756299.0,2.57
2025-12-15,37850.0,114538.0,-7633.0,20960.0,1779562.0,2.6
2025-12-16,37500.0,92593.0,-436.0,3724.0,1777748.0,2.6
2025-12-17,37400.0,73659.0,16340.0,-12455.0,1722608.0,2.52
2025-12-18,37100.0,104020.0,7692.0,-16328.0,1693838.0,2.48
2025-12-19,37450.0,77184.0,8351.0,16812.0,1664398.0,2.43
2025-12-22,37150.0,100137.0,5527.0,-25745.0,1630141.0,2.38
2025-12-23,37200.0,43015.0,4173.0,1726.0,1695288.0,2.48
2025-12-24,36800.0,66306.0,-20635.0,-6535.0,1669744.0,2.44
2025-12-26,37000.0,68467.0,2700.0,3163.0,1664684.0,2.43
2025-12-29,36750.0,54154.0,-9160.0,1102.0,1663642.0,2.43
2025-12-30,36250.0,106629.0,-33937.0,-21237.0,1615216.0,2.36
2026-01-02,36500.0,59546.0,-8719.0,12318.0,1629041.0,2.38
2026-01-05,37950.0,92019.0,-12778.0,54255.0,1699065.0,2.48
2026-01-06,38000.0,87858.0,-19158.0,27463.0,1733716.0,2.54
2026-01-07,37700.0,98063.0,-16214.0,2159.0,1731973.0,2.53
2026-01-08,37000.0,166095.0,-87659.0,70416.0,1802204.0,2.64
2026-01-09,38400.0,312813.0,25319.0,26424.0,1830401.0,2.68
2026-01-12,38550.0,103367.0,-16659.0,-5931.0,1823230.0,2.67
2026-01-13,36550.0,310097.0,-78062.0,-131760.0,1668540.0,2.44
2026-01-14,36200.0,113793.0,-9629.0,-31719.0,1634809.0,2.39
2026-01-15,36850.0,99730.0,13692.0,3060.0,1644502.0,2.4
2026-01-16,36850.0,92914.0,8702.0,-4151.0,1639305.0,2.4
2026-01-19,38550.0,180797.0,17865.0,46899.0,1718050.0,2.51
2026-01-20,40400.0,320486.0,33220.0,85031.0,1828012.0,2.67
2026-01-21,38750.0,154689.0,14733.0,-69739.0,1747380.0,2.55
2026-01-22,39100.0,110575.0,-425.0,18766.0,1774430.0,2.59
2026-01-23,40400.0,199074.0,40504.0,50982.0,1833473.0,2.68
