date,close,volume,inst_net_volume,foreign_net_volume,foreign_shares,foreign_ratio_pct
2025-11-24,438500.0,1178683.0,-193470.0,-122183.0,3113141.0,12.51
2025-11-25,335500.0,1690325.0,-16187.0,-526603.0,2597024.0,10.44
2025-11-26,363000.0,2178506.0,10309.0,-414898.0,2204017.0,8.86
2025-11-27,434500.0,2858529.0,5630.0,-132491.0,2073196.0,8.33
2025-11-28,429000.0,1666338.0,-16296.0,-173374.0,1918261.0,7.71
2025-12-01,398000.0,884247.0,-37673.0,-229629.0,1677238.0,6.74
2025-12-02,442000.0,1923357.0,7612.0,17473.0,1692693.0,6.8
2025-12-03,549000.0,3759058.0,99244.0,-134322.0,1558052.0,6.26
2025-12-04,557000.0,1946500.0,13594.0,-73525.0,1486352.0,5.97
2025-12-05,515000.0,1284866.0,-15392.0,-91612.0,1394876.0,5.61
2025-12-08,515000.0,681006.0,-28813.0,-39438.0,1357235.0,5.45
2025-12-09,575000.0,2149855.0,22227.0,90575.0,1448098.0,5.82
2025-12-10,565000.0,634546.0,-228.0,-93494.0,1340914.0,5.39
2025-12-11,569000.0,1277380.0,29685.0,-26219.0,1324854.0,5.32
2025-12-12,661000.0,2493488.0,-15691.0,148224.0,1474227.0,5.92
2025-12-15,709000.0,1591265.0,18396.0,-8871.0,1464451.0,5.89
2025-12-16,712000.0,1281265.0,9880.0,-63711.0,1398936.0,5.62
2025-12-17,666000.0,741249.0,-38806.0,-106873.0,1286240.0,5.17
2025-12-18,680000.0,1039039.0,-3510.0,10421.0,1319977.0,5.3
2025-12-19,673000.0,433458.0,-14376.0,-37416.0,1280025.0,5.14
2025-12-22,663000.0,411969.0,-34210.0,24419.0,1315752.0,5.29
2025-12-23,652000.0,411504.0,-4251.0,36984.0,1360226.0,5.47
2025-12-24,638000.0,391074.0,-18760.0,18984.0,1379216.0,5.54
2025-12-26,680000.0,919960.0,-980.0,80649.0,1459112.0,5.86
2025-12-29,739000.0,741759.0,22092.0,51148.0,1510340.0,6.07
2025-12-30,743000.0,676279.0,-26.0,-43130.0,1463808.0,5.88
2026-01-02,715000.0,378185.0,-23587.0,-70501.0,1389040.0,5.58
2026-01-05,705000.0,216659.0,-25843.0,-199.0,1392706.0,5.6
2026-01-06,690000.0,283375.0,-21999.0,-18259.0,1361442.0,5.47
2026-01-07,697000.0,192050.0,-15451.0,-10629.0,1365859.0,5.49
2026-01-08,689000.0,230302.0,-6942.0,-26200.0,1348717.0,5.42
2026-01-09,688000.0,181703.0,-4658.0,10600.0,1355766.0,5.45
2026-01-12,663000.0,201774.0,-32376.0,-7224.0,1337476.0,5.38
2026-01-13,668000.0,163472.0,-6738.0,25792.0,1371753.0,5.51
2026-01-14,652000.0,145336.0,-12178.0,-11220.0,1358754.0,5.46
2026-01-15,685000.0,246587.0,1366.0,53576.0,1429010.0,5.74
2026-01-16,651000.0,214930.0,-15545.0,-53648.0,1371630.0,5.51
2026-01-19,630000.0,193226.0,-8565.0,-5074.0,1374343.0,5.52
2026-01-20,632000.0,174733.0,-1519.0,34474.0,1415551.0,5.69
2026-01-21,615000.0,234171.0,-2320.0,1790.0,1408350.0,5.66
2026-01-22,640000.0,273481.0,8933.0,39512.0,1465028.0,5.89
2026-01-23,638000.0,131560.0,-5798.0,-10152.0,1453515.0,5.84
2026-01-26,640000.0,137985.0,-9474.0,25963.0,1478256.0,5.94
2026-01-27,612000.0,211411.0,-64116.0,-32072.0,1442958.0,5.8
2026-01-28,628000.0,178384.0,2541.0,38074.0,1457694.0,5.86
2026-01-29,619000.0,103248.0,-10733.0,7762.0,1463742.0,5.88
2026-01-30,606000.0,100234.0,-5589.0,-1638.0,1462574.0,5.88
2026-02-02,584000.0,129758.0,-6915.0,3887.0,1462782.0,5.88
2026-02-03,598000.0,81560.0,-4530.0,16222.0,1490507.0,5.99
2026-02-04,607000.0,74476.0,-2146.0,23776.0,1499538.0,6.03
2026-02-05,581000.0,94551.0,-8762.0,-9885.0,1484868.0,5.97
2026-02-06,558000.0,93670.0,-19260.0,19775.0,1516021.0,6.09
2026-02-09,598000.0,101481.0,-9262.0,22216.0,1549106.0,6.23
2026-02-10,615000.0,119603.0,4535.0,11803.0,1559953.0,6.27
2026-02-11,615000.0,201687.0,8426.0,8451.0,1561875.0,6.28
2026-02-12,610000.0,92185.0,-3158.0,8824.0,1571014.0,6.31
2026-02-13,603000.0,63139.0,-3397.0,4817.0,1574747.0,6.33
2026-02-19,621000.0,93336.0,-2064.0,46223.0,1636643.0,6.58
2026-02-20,613000.0,56875.0,-818.0,268.0,1634416.0,6.57
2026-02-23,655000.0,250538.0,7998.0,74565.0,1730667.0,6.96
2026-02-24,674000.0,194455.0,22195.0,44684.0,1779313.0,7.15
