날짜,시가총액,거래량,거래대금,상장주식수
2025-11-24,10911216986500,1178683,556527894000,24883049
2025-11-25,8348262939500,1690325,613035784250,24883049
2025-11-26,9032546787000,2178506,802280452000,24883049
2025-11-27,10811684790500,2858529,1202736593750,24883049
2025-11-28,10674828021000,1666338,743170953750,24883049
2025-12-01,9903453502000,884247,358469039250,24883049
2025-12-02,10998307658000,1923357,825303470750,24883049
2025-12-03,13660793901000,3759058,1927954398250,24883049
2025-12-04,13859858293000,1946500,1082462589000,24883049
2025-12-05,12814770235000,1284866,713923188500,24883049
2025-12-08,12814770235000,681006,354015190500,24883049
2025-12-09,14307753175000,2149855,1210428916500,24883049
2025-12-10,14058922685000,634546,358843095000,24883049
2025-12-11,14158454881000,1277380,746774950500,24883049
2025-12-12,16447695389000,2493488,1587698699500,24883049
2025-12-15,17642081741000,1591265,1098578077500,24883049
2025-12-16,17716730888000,1281265,935233070000,24883049
2025-12-17,16572110634000,741249,506747649000,24883049
2025-12-18,16920473320000,1039039,720805735500,24883049
2025-12-19,16746291977000,433458,293930089500,24883049
2025-12-22,16497461487000,411969,273981691500,24883049
2025-12-23,16223747948000,411504,269988559500,24883049
2025-12-24,15875385262000,391074,253298444500,24883049
2025-12-26,16920473320000,919960,623403951500,24883049
2025-12-29,18388573211000,741759,531545566000,24883049
2025-12-30,18488105407000,676279,506346856000,24883049
2026-01-02,17791380035000,378185,277650336000,24883049
2026-01-05,17542549545000,216659,153227780000,24883049
2026-01-06,17169303810000,283375,200352906500,24883049
2026-01-07,17343485153000,192050,133197601500,24883049
2026-01-08,17144420761000,230302,160152048000,24883049
2026-01-09,17119537712000,181703,124267493000,24883049
2026-01-12,16497461487000,201774,135874158500,24883049
2026-01-13,16621876732000,163472,109877957000,24883049
2026-01-14,16223747948000,145336,94902822500,24883049
2026-01-15,17044888565000,246587,166882069500,24883049
2026-01-16,16198864899000,214930,141536280000,24883049
2026-01-19,15676320870000,193226,122854080500,24883049
2026-01-20,15726086968000,174733,112077718500,24883049
2026-01-21,15303075135000,234171,143066140000,24883049
2026-01-22,15925151360000,273481,174562247500,24883049
2026-01-23,15875385262000,131560,83419783500,24883049
2026-01-26,15925151360000,137985,88043726000,24883049
2026-01-27,15228425988000,211411,129360698210,24883049
2026-01-28,15626554772000,178384,112379050500,24883049
2026-01-29,15402607331000,103248,64012655500,24883049
2026-01-30,15079127694000,100234,61214712500,24883049
2026-02-02,14531700616000,129758,77390836000,24883049
2026-02-03,14880063302000,81560,48668278500,24883049
2026-02-04,15104010743000,74476,44742953000,24883049
2026-02-05,14457051469000,94551,56328798000,24883049
2026-02-06,13884741342000,93670,52248248500,24883049
2026-02-09,14880063302000,101481,60152386000,24883049
2026-02-10,15303075135000,119603,72560075000,24883049
2026-02-11,15303075135000,201687,127118833500,24883049
2026-02-12,15178659890000,92185,56216787000,24883049
2026-02-13,15004478547000,63139,38285693500,24883049
2026-02-19,15452373429000,93336,57514521000,24883049
2026-02-20,15253309037000,56875,35127889000,24883049
2026-02-23,16298397095000,250538,161853563500,24883049
2026-02-24,16771175026000,194455,130456225000,24883049
2026-02-25,16746291977000,104405,70232273000,24883049
2026-02-26,16945356369000,178537,120977752000,24883049
2026-02-27,16796058075000,901378,607268481000,24883049
2026-03-03,14880063302000,240182,149235459000,24883049
2026-03-04,13063600725000,108486,58863117000,24883049
2026-03-05,13959390489000,76218,42925581500,24883049
2026-03-06,13536378656000,113066,60924326000,24883049
2026-03-09,12690354990000,84696,42494848000,24883049
2026-03-10,13237782068000,56517,30123439500,24883049
